LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Surulere2,Oke-Ero,2020,Surulere2,0.8,0.8,0.8,0.8,1,july,0.412184156,0.9,0.94,186,IG2 & PBO (2020)
Surulere2,Oke-Ero,2023,Surulere2,0.8,0.8,0.8,0.8,2,july,0.412184156,0.9,0.94,1281,IG2 & PBO (2020)
Surulere2,Oke-Ero,2026,Surulere2,0.8,0.8,0.8,0.8,3,july,0.412184156,0.9,0.94,2376,IG2 & PBO (2020)
Surulere2,Oke-Ero,2029,Surulere2,0.8,0.8,0.8,0.8,4,july,0.412184156,0.9,0.94,3471,IG2 & PBO (2020)
Tafa,Oke-Ero,2022,Tafa,0.8,0.8,0.8,0.8,1,july,0.544339269,0.748100929,0.718587654,916,PBO (2021)
Tafa,Oke-Ero,2025,Tafa,0.8,0.8,0.8,0.8,2,july,0.544339269,0.748100929,0.718587654,2011,PBO (2021)
Tafa,Oke-Ero,2028,Tafa,0.8,0.8,0.8,0.8,3,july,0.544339269,0.748100929,0.718587654,3106,PBO (2021)
Tafawa-Balewa,Alkaleri,2021,Tafawa-Balewa,0.8,0.8,0.8,0.8,1,july,0.531148459,0.561175608,0.601298661,551,Pyrethroid (2020)
Tafawa-Balewa,Alkaleri,2024,Tafawa-Balewa,0.8,0.8,0.8,0.8,2,july,0.531148459,0.561175608,0.601298661,1646,Pyrethroid (2020)
Tafawa-Balewa,Alkaleri,2027,Tafawa-Balewa,0.8,0.8,0.8,0.8,3,july,0.531148459,0.561175608,0.601298661,2741,Pyrethroid (2020)
Tafawa-Balewa,Alkaleri,2030,Tafawa-Balewa,0.8,0.8,0.8,0.8,4,july,0.531148459,0.561175608,0.601298661,3836,Pyrethroid (2020)
Tai,Nsit Ubium,2020,Tai,0.8,0.8,0.8,0.8,1,june,0.305338962,0.725525368,0.65,162,PBO (2021)
Tai,Nsit Ubium,2023,Tai,0.8,0.8,0.8,0.8,2,june,0.305338962,0.725525368,0.65,1257,PBO (2021)
Tai,Nsit Ubium,2026,Tai,0.8,0.8,0.8,0.8,3,june,0.305338962,0.725525368,0.65,2352,PBO (2021)
Tai,Nsit Ubium,2029,Tai,0.8,0.8,0.8,0.8,4,june,0.305338962,0.725525368,0.65,3447,PBO (2021)
Takali,Takali,2022,Takali,0.8,0.8,0.8,0.8,1,september,0.795192474,0.75175662,0.921202863,980,PBO (2021)
Takali,Takali,2025,Takali,0.8,0.8,0.8,0.8,2,september,0.795192474,0.75175662,0.921202863,2075,PBO (2021)
Takali,Takali,2028,Takali,0.8,0.8,0.8,0.8,3,september,0.795192474,0.75175662,0.921202863,3170,PBO (2021)
Takum,Keana,2022,Takum,0.8,0.8,0.8,0.8,1,august,0.408710545,0.74098691,0.65,953,PBO (2021)
Takum,Keana,2025,Takum,0.8,0.8,0.8,0.8,2,august,0.408710545,0.74098691,0.65,2048,PBO (2021)
Takum,Keana,2028,Takum,0.8,0.8,0.8,0.8,3,august,0.408710545,0.74098691,0.65,3143,PBO (2021)
Talata Mafara,Darazo,2020,Talata Mafara,0.8,0.8,0.8,0.8,1,july,0.728240789,0.679747419,0.850507895,186,Pyrethroid (2020)
Talata Mafara,Darazo,2023,Talata Mafara,0.8,0.8,0.8,0.8,2,july,0.728240789,0.679747419,0.850507895,1281,Pyrethroid (2020)
Talata Mafara,Darazo,2026,Talata Mafara,0.8,0.8,0.8,0.8,3,july,0.728240789,0.679747419,0.850507895,2376,Pyrethroid (2020)
Talata Mafara,Darazo,2029,Talata Mafara,0.8,0.8,0.8,0.8,4,july,0.728240789,0.679747419,0.850507895,3471,Pyrethroid (2020)
Tambuwal,Birnin Kebbi,2020,Tambuwal,0.8,0.8,0.8,0.808849393,1,august,0.771427002,0.751594181,0.911338552,223,PBO (2021)
Tambuwal,Birnin Kebbi,2023,Tambuwal,0.8,0.8,0.8,0.808849393,2,august,0.771427002,0.751594181,0.911338552,1318,PBO (2021)
Tambuwal,Birnin Kebbi,2026,Tambuwal,0.8,0.8,0.8,0.808849393,3,august,0.771427002,0.751594181,0.911338552,2413,PBO (2021)
Tambuwal,Birnin Kebbi,2029,Tambuwal,0.8,0.8,0.8,0.808849393,4,august,0.771427002,0.751594181,0.911338552,3508,PBO (2021)
Tangaza,Gawabawa,2020,Tangaza,0.8,0.8,0.8,0.8,1,august,0.75519424,0.751470797,0.903863016,223,PBO (2021)
Tangaza,Gawabawa,2023,Tangaza,0.8,0.8,0.8,0.8,2,august,0.75519424,0.751470797,0.903863016,1318,PBO (2021)
Tangaza,Gawabawa,2026,Tangaza,0.8,0.8,0.8,0.8,3,august,0.75519424,0.751470797,0.903863016,2413,PBO (2021)
Tangaza,Gawabawa,2029,Tangaza,0.8,0.8,0.8,0.8,4,august,0.75519424,0.751470797,0.903863016,3508,PBO (2021)
Tarauni,Alkaleri,2022,Tarauni,0.8,0.8,0.8,0.8,1,july,0.628535688,0.749990791,0.817372224,916,PBO (2021)
Tarauni,Alkaleri,2025,Tarauni,0.8,0.8,0.8,0.8,2,july,0.628535688,0.749990791,0.817372224,2011,PBO (2021)
Tarauni,Alkaleri,2028,Tarauni,0.8,0.8,0.8,0.8,3,july,0.628535688,0.749990791,0.817372224,3106,PBO (2021)
Tarka,Keana,2020,Tarka,0.88,0.8,0.8,0.8,1,august,0.339520975,0.410062837,0.53,223,Pyrethroid (2020)
Tarka,Keana,2023,Tarka,0.88,0.8,0.8,0.8,2,august,0.339520975,0.410062837,0.53,1318,Pyrethroid (2020)
Tarka,Keana,2026,Tarka,0.88,0.8,0.8,0.8,3,august,0.339520975,0.410062837,0.53,2413,Pyrethroid (2020)
Tarka,Keana,2029,Tarka,0.88,0.8,0.8,0.8,4,august,0.339520975,0.410062837,0.53,3508,Pyrethroid (2020)
Tarmua,Rimi,2022,Tarmua,0.8,0.8,0.8,0.8,1,march,0.741653475,0.751359204,0.897122399,800,PBO (2021)
Tarmua,Rimi,2025,Tarmua,0.8,0.8,0.8,0.8,2,march,0.741653475,0.751359204,0.897122399,1895,PBO (2021)
Tarmua,Rimi,2028,Tarmua,0.8,0.8,0.8,0.8,3,march,0.741653475,0.751359204,0.897122399,2990,PBO (2021)
Taura,Taura,2021,Taura,0.822222222,0.8,0.8,0.841269841,1,july,0.802187286,0.751800708,0.923881864,551,PBO (2021)
Taura,Taura,2024,Taura,0.822222222,0.8,0.8,0.841269841,2,july,0.802187286,0.751800708,0.923881864,1646,PBO (2021)
Taura,Taura,2027,Taura,0.822222222,0.8,0.8,0.841269841,3,july,0.802187286,0.751800708,0.923881864,2741,PBO (2021)
Taura,Taura,2030,Taura,0.822222222,0.8,0.8,0.841269841,4,july,0.802187286,0.751800708,0.923881864,3836,PBO (2021)
Tofa,Taura,2022,Tofa,0.8,0.8,0.8,0.8,1,july,0.825591067,0.751937242,0.932173642,916,PBO (2021)
Tofa,Taura,2025,Tofa,0.8,0.8,0.8,0.8,2,july,0.825591067,0.751937242,0.932173642,2011,PBO (2021)
Tofa,Taura,2028,Tofa,0.8,0.8,0.8,0.8,3,july,0.825591067,0.751937242,0.932173642,3106,PBO (2021)
Toro,Giwa,2021,Toro,0.8,0.8,0.8,0.8,1,august,0.625332185,0.623800515,0.751890584,588,Pyrethroid (2020)
