LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,adm1,llins1
Damboa,Darazo,2026,Damboa,0.8,0.8,0.8,0.8,0.695319136,0.750906341,0.870063415,3,july,2376,Borno,PBO
Damboa,Darazo,2029,Damboa,0.8,0.8,0.8,0.8,0.695319136,0.750906341,0.870063415,4,july,3471,Borno,PBO
Dan Musa,Rimi,2021,Dan Musa,0.954545455,0.818181818,0.826923077,0.873239437,0.814381216,0.751873872,0.928326675,1,march,435,Katsina,PBO
Dan Musa,Rimi,2024,Dan Musa,0.954545455,0.818181818,0.826923077,0.873239437,0.814381216,0.751873872,0.928326675,2,march,1530,Katsina,PBO
Dan Musa,Rimi,2027,Dan Musa,0.954545455,0.818181818,0.826923077,0.873239437,0.814381216,0.751873872,0.928326675,3,march,2625,Katsina,PBO
Dan Musa,Rimi,2030,Dan Musa,0.954545455,0.818181818,0.826923077,0.873239437,0.814381216,0.751873872,0.928326675,4,march,3720,Katsina,PBO
Dandi,Birnin Kebbi,2021,Dandi,0.865663905,0.82922218,0.8,0.8,0.635354493,0.750102541,0.823639768,1,august,588,Kebbi,PBO
Dandi,Birnin Kebbi,2024,Dandi,0.865663905,0.82922218,0.8,0.8,0.635354493,0.750102541,0.823639768,2,august,1683,Kebbi,PBO
Dandi,Birnin Kebbi,2027,Dandi,0.865663905,0.82922218,0.8,0.8,0.635354493,0.750102541,0.823639768,3,august,2778,Kebbi,PBO
Dandi,Birnin Kebbi,2030,Dandi,0.865663905,0.82922218,0.8,0.8,0.635354493,0.750102541,0.823639768,4,august,3873,Kebbi,PBO
Dandume,Giwa,2021,Dandume,0.8,0.8,0.8,0.8,0.480345251,0.745674804,0.65,1,august,588,Katsina,PBO
Dandume,Giwa,2024,Dandume,0.8,0.8,0.8,0.8,0.480345251,0.745674804,0.65,2,august,1683,Katsina,PBO
Dandume,Giwa,2027,Dandume,0.8,0.8,0.8,0.8,0.480345251,0.745674804,0.65,3,august,2778,Katsina,PBO
Dandume,Giwa,2030,Dandume,0.8,0.8,0.8,0.8,0.480345251,0.745674804,0.65,4,august,3873,Katsina,PBO
Dange-Shnsi,Gawabawa,2020,Dange-Shnsi,0.8,0.8,0.8,0.827586207,0.776225122,0.75162864,0.913429569,1,august,223,Sokoto,PBO
Dange-Shnsi,Gawabawa,2023,Dange-Shnsi,0.8,0.8,0.8,0.827586207,0.776225122,0.75162864,0.913429569,2,august,1318,Sokoto,PBO
Dange-Shnsi,Gawabawa,2026,Dange-Shnsi,0.8,0.8,0.8,0.827586207,0.776225122,0.75162864,0.913429569,3,august,2413,Sokoto,PBO
Dange-Shnsi,Gawabawa,2029,Dange-Shnsi,0.8,0.8,0.8,0.827586207,0.776225122,0.75162864,0.913429569,4,august,3508,Sokoto,PBO
Danja,Giwa,2021,Danja,0.8,0.8,0.8,0.8,0.615786128,0.749768295,0.805035477,1,august,588,Katsina,PBO
Danja,Giwa,2024,Danja,0.8,0.8,0.8,0.8,0.615786128,0.749768295,0.805035477,2,august,1683,Katsina,PBO
Danja,Giwa,2027,Danja,0.8,0.8,0.8,0.8,0.615786128,0.749768295,0.805035477,3,august,2778,Katsina,PBO
Danja,Giwa,2030,Danja,0.8,0.8,0.8,0.8,0.615786128,0.749768295,0.805035477,4,august,3873,Katsina,PBO
Darazo,Darazo,2021,Darazo,0.8,0.8,0.8,0.8,0.786253294,0.751697891,0.917634707,1,july,551,Bauchi,PBO
Darazo,Darazo,2024,Darazo,0.8,0.8,0.8,0.8,0.786253294,0.751697891,0.917634707,2,july,1646,Bauchi,PBO
Darazo,Darazo,2027,Darazo,0.8,0.8,0.8,0.8,0.786253294,0.751697891,0.917634707,3,july,2741,Bauchi,PBO
Darazo,Darazo,2030,Darazo,0.8,0.8,0.8,0.8,0.786253294,0.751697891,0.917634707,4,july,3836,Bauchi,PBO
Dass,Alkaleri,2021,Dass,0.861111111,0.8,0.8,0.8,0.466190501,0.744955755,0.65,1,july,551,Bauchi,PBO
Dass,Alkaleri,2024,Dass,0.861111111,0.8,0.8,0.8,0.466190501,0.744955755,0.65,2,july,1646,Bauchi,PBO
Dass,Alkaleri,2027,Dass,0.861111111,0.8,0.8,0.8,0.466190501,0.744955755,0.65,3,july,2741,Bauchi,PBO
Dass,Alkaleri,2030,Dass,0.861111111,0.8,0.8,0.8,0.466190501,0.744955755,0.65,4,july,3836,Bauchi,PBO
Daura,Babura,2021,Daura,0.8,0.8,0.8,0.8,0.575080323,0.748918986,0.75969419,1,may,496,Katsina,PBO
Daura,Babura,2024,Daura,0.8,0.8,0.8,0.8,0.575080323,0.748918986,0.75969419,2,may,1591,Katsina,PBO
Daura,Babura,2027,Daura,0.8,0.8,0.8,0.8,0.575080323,0.748918986,0.75969419,3,may,2686,Katsina,PBO
Daura,Babura,2030,Daura,0.8,0.8,0.8,0.8,0.575080323,0.748918986,0.75969419,4,may,3781,Katsina,PBO
Dawakin Kudu,Gwarzo,2022,Dawakin Kudu,0.85,0.8,0.8,0.8,0.806145696,0.751824962,0.925355527,1,august,953,Kano,PBO
Dawakin Kudu,Gwarzo,2025,Dawakin Kudu,0.85,0.8,0.8,0.8,0.806145696,0.751824962,0.925355527,2,august,2048,Kano,PBO
Dawakin Kudu,Gwarzo,2028,Dawakin Kudu,0.85,0.8,0.8,0.8,0.806145696,0.751824962,0.925355527,3,august,3143,Kano,PBO
Dawakin Tofa,Taura,2022,Dawakin Tofa,0.829268293,0.8,0.8,0.8,0.798723746,0.751779077,0.922567458,1,july,916,Kano,PBO
Dawakin Tofa,Taura,2025,Dawakin Tofa,0.829268293,0.8,0.8,0.8,0.798723746,0.751779077,0.922567458,2,july,2011,Kano,PBO
Dawakin Tofa,Taura,2028,Dawakin Tofa,0.829268293,0.8,0.8,0.8,0.798723746,0.751779077,0.922567458,3,july,3106,Kano,PBO
Degema,Ahoada West,2020,Degema,0.8,0.8,0.8,0.8,0.284841623,0.719969096,0.65,1,may,131,Rivers,PBO
Degema,Ahoada West,2023,Degema,0.8,0.8,0.8,0.8,0.284841623,0.719969096,0.65,2,may,1226,Rivers,PBO
Degema,Ahoada West,2026,Degema,0.8,0.8,0.8,0.8,0.284841623,0.719969096,0.65,3,may,2321,Rivers,PBO
Degema,Ahoada West,2029,Degema,0.8,0.8,0.8,0.8,0.284841623,0.719969096,0.65,4,may,3416,Rivers,PBO
Dekina,Owan East,2020,Dekina,0.8,0.8,0.8,0.8,0.371777405,0.737136714,0.65,1,march,70,Kogi,PBO
Dekina,Owan East,2023,Dekina,0.8,0.8,0.8,0.8,0.371777405,0.737136714,0.65,2,march,1165,Kogi,PBO
Dekina,Owan East,2026,Dekina,0.8,0.8,0.8,0.8,0.371777405,0.737136714,0.65,3,march,2260,Kogi,PBO
Dekina,Owan East,2029,Dekina,0.8,0.8,0.8,0.8,0.371777405,0.737136714,0.65,4,march,3355,Kogi,PBO
Demsa,Alkaleri,2020,Demsa,0.8,0.8,0.8,0.8,0.495212973,0.74634808,0.65,1,july,186,Adamawa,PBO
Demsa,Alkaleri,2023,Demsa,0.8,0.8,0.8,0.8,0.495212973,0.74634808,0.65,2,july,1281,Adamawa,PBO
Demsa,Alkaleri,2026,Demsa,0.8,0.8,0.8,0.8,0.495212973,0.74634808,0.65,3,july,2376,Adamawa,PBO
Demsa,Alkaleri,2029,Demsa,0.8,0.8,0.8,0.8,0.495212973,0.74634808,0.65,4,july,3471,Adamawa,PBO
Dikwa,Darazo,2020,Dikwa,0.8,0.8,0.8,0.8,0.719398758,0.751156548,0.884947607,1,july,186,Borno,PBO
Dikwa,Darazo,2023,Dikwa,0.8,0.8,0.8,0.8,0.719398758,0.751156548,0.884947607,2,july,1281,Borno,PBO
Dikwa,Darazo,2026,Dikwa,0.8,0.8,0.8,0.8,0.719398758,0.751156548,0.884947607,3,july,2376,Borno,PBO
Dikwa,Darazo,2029,Dikwa,0.8,0.8,0.8,0.8,0.719398758,0.751156548,0.884947607,4,july,3471,Borno,PBO
Doguwa,Giwa,2022,Doguwa,0.8,0.8,0.8,0.816091954,0.698189254,0.750938028,0.871938315,1,august,953,Kano,PBO
Doguwa,Giwa,2025,Doguwa,0.8,0.8,0.8,0.816091954,0.698189254,0.750938028,0.871938315,2,august,2048,Kano,PBO
Doguwa,Giwa,2028,Doguwa,0.8,0.8,0.8,0.816091954,0.698189254,0.750938028,0.871938315,3,august,3143,Kano,PBO
Doma,Keana,2021,Doma,0.8,0.8,0.8,0.8,0.39040939,0.739242706,0.65,1,august,588,Nasarawa,PBO
Doma,Keana,2024,Doma,0.8,0.8,0.8,0.8,0.39040939,0.739242706,0.65,2,august,1683,Nasarawa,PBO
Doma,Keana,2027,Doma,0.8,0.8,0.8,0.8,0.39040939,0.739242706,0.65,3,august,2778,Nasarawa,PBO
Doma,Keana,2030,Doma,0.8,0.8,0.8,0.8,0.39040939,0.739242706,0.65,4,august,3873,Nasarawa,PBO
Donga,Keana,2022,Donga,0.8,0.8,0.8,0.8,0.45406133,0.7442705,0.65,1,august,953,Taraba,PBO
Donga,Keana,2025,Donga,0.8,0.8,0.8,0.8,0.45406133,0.7442705,0.65,2,august,2048,Taraba,PBO
Donga,Keana,2028,Donga,0.8,0.8,0.8,0.8,0.45406133,0.7442705,0.65,3,august,3143,Taraba,PBO
Dukku,Darazo,2021,Dukku,0.8,0.8,0.8,0.8,0.67468816,0.75066207,0.855717164,1,july,551,Gombe,PBO
Dukku,Darazo,2024,Dukku,0.8,0.8,0.8,0.8,0.67468816,0.75066207,0.855717164,2,july,1646,Gombe,PBO
Dukku,Darazo,2027,Dukku,0.8,0.8,0.8,0.8,0.67468816,0.75066207,0.855717164,3,july,2741,Gombe,PBO
Dukku,Darazo,2030,Dukku,0.8,0.8,0.8,0.8,0.67468816,0.75066207,0.855717164,4,july,3836,Gombe,PBO
Dunukofia,Uzo-Uwani,2020,Dunukofia,0.8,0.8,0.8,0.8,0.421451191,0.742042811,0.65,1,june,162,Anambra,PBO
Dunukofia,Uzo-Uwani,2023,Dunukofia,0.8,0.8,0.8,0.8,0.421451191,0.742042811,0.65,2,june,1257,Anambra,PBO
Dunukofia,Uzo-Uwani,2026,Dunukofia,0.8,0.8,0.8,0.8,0.421451191,0.742042811,0.65,3,june,2352,Anambra,PBO
Dunukofia,Uzo-Uwani,2029,Dunukofia,0.8,0.8,0.8,0.8,0.421451191,0.742042811,0.65,4,june,3447,Anambra,PBO
Dutse,Takali,2021,Dutse,0.8,0.8758553,0.8,0.8,0.790579855,0.751726658,0.919382366,1,september,615,Jigawa,PBO
Dutse,Takali,2024,Dutse,0.8,0.8758553,0.8,0.8,0.790579855,0.751726658,0.919382366,2,september,1710,Jigawa,PBO
Dutse,Takali,2027,Dutse,0.8,0.8758553,0.8,0.8,0.790579855,0.751726658,0.919382366,3,september,2805,Jigawa,PBO
Dutse,Takali,2030,Dutse,0.8,0.8758553,0.8,0.8,0.790579855,0.751726658,0.919382366,4,september,3900,Jigawa,PBO
Dutsi,Rimi,2021,Dutsi,0.8,0.8,0.8,0.8,0.62280068,0.749892964,0.811924626,1,march,435,Katsina,PBO
Dutsi,Rimi,2024,Dutsi,0.8,0.8,0.8,0.8,0.62280068,0.749892964,0.811924626,2,march,1530,Katsina,PBO
Dutsi,Rimi,2027,Dutsi,0.8,0.8,0.8,0.8,0.62280068,0.749892964,0.811924626,3,march,2625,Katsina,PBO
Dutsi,Rimi,2030,Dutsi,0.8,0.8,0.8,0.8,0.62280068,0.749892964,0.811924626,4,march,3720,Katsina,PBO
Dutsin-Ma,Rimi,2021,Dutsin-Ma,0.8,0.8,0.8,0.8,0.731600297,0.751270782,0.891798731,1,march,435,Katsina,PBO
Dutsin-Ma,Rimi,2024,Dutsin-Ma,0.8,0.8,0.8,0.8,0.731600297,0.751270782,0.891798731,2,march,1530,Katsina,PBO
Dutsin-Ma,Rimi,2027,Dutsin-Ma,0.8,0.8,0.8,0.8,0.731600297,0.751270782,0.891798731,3,march,2625,Katsina,PBO
Dutsin-Ma,Rimi,2030,Dutsin-Ma,0.8,0.8,0.8,0.8,0.731600297,0.751270782,0.891798731,4,march,3720,Katsina,PBO
Eastern Obolo,Nsit Ubium,2021,Eastern Obolo,0.8,0.8,0.8,0.8,0.178491572,0.655833513,0.65,1,june,527,Akwa Ibom,PBO
Eastern Obolo,Nsit Ubium,2024,Eastern Obolo,0.8,0.8,0.8,0.8,0.178491572,0.655833513,0.65,2,june,1622,Akwa Ibom,PBO
Eastern Obolo,Nsit Ubium,2027,Eastern Obolo,0.8,0.8,0.8,0.8,0.178491572,0.655833513,0.65,3,june,2717,Akwa Ibom,PBO
Eastern Obolo,Nsit Ubium,2030,Eastern Obolo,0.8,0.8,0.8,0.8,0.178491572,0.655833513,0.65,4,june,3812,Akwa Ibom,PBO
Ebonyi,Owan East,2020,Ebonyi,0.8,0.8,0.8,0.8,0.429410898,0.742645095,0.65,1,march,70,Ebonyi,PBO
Ebonyi,Owan East,2023,Ebonyi,0.8,0.8,0.8,0.8,0.429410898,0.742645095,0.65,2,march,1165,Ebonyi,PBO
Ebonyi,Owan East,2026,Ebonyi,0.8,0.8,0.8,0.8,0.429410898,0.742645095,0.65,3,march,2260,Ebonyi,PBO
Ebonyi,Owan East,2029,Ebonyi,0.8,0.8,0.8,0.8,0.429410898,0.742645095,0.65,4,march,3355,Ebonyi,PBO
Edati,Oke-Ero,2022,Edati,0.8,0.8,0.8,0.8,0.417118573,0.741696977,0.65,1,july,916,Niger,PBO
Edati,Oke-Ero,2025,Edati,0.8,0.8,0.8,0.8,0.417118573,0.741696977,0.65,2,july,2011,Niger,PBO
Edati,Oke-Ero,2028,Edati,0.8,0.8,0.8,0.8,0.417118573,0.741696977,0.65,3,july,3106,Niger,PBO
Ede North,Akinyele,2020,Ede North,0.8,0.8,0.8,0.8,0.389785625,0.739177967,0.65,1,may,131,Osun,PBO
Ede North,Akinyele,2023,Ede North,0.8,0.8,0.8,0.8,0.389785625,0.739177967,0.65,2,may,1226,Osun,PBO
Ede North,Akinyele,2026,Ede North,0.8,0.8,0.8,0.8,0.389785625,0.739177967,0.65,3,may,2321,Osun,PBO
Ede North,Akinyele,2029,Ede North,0.8,0.8,0.8,0.8,0.389785625,0.739177967,0.65,4,may,3416,Osun,PBO
Ede South,Akinyele,2020,Ede South,0.8,0.8,0.8,0.8,0.412666127,0.741327563,0.65,1,may,131,Osun,PBO
Ede South,Akinyele,2023,Ede South,0.8,0.8,0.8,0.8,0.412666127,0.741327563,0.65,2,may,1226,Osun,PBO
Ede South,Akinyele,2026,Ede South,0.8,0.8,0.8,0.8,0.412666127,0.741327563,0.65,3,may,2321,Osun,PBO
Ede South,Akinyele,2029,Ede South,0.8,0.8,0.8,0.8,0.412666127,0.741327563,0.65,4,may,3416,Osun,PBO
Edu,Oke-Ero,2020,Edu,0.8,0.8,0.8,0.8,0.339359862,0.732438241,0.65,1,july,186,Kwara,PBO
Edu,Oke-Ero,2023,Edu,0.8,0.8,0.8,0.8,0.339359862,0.732438241,0.65,2,july,1281,Kwara,PBO
Edu,Oke-Ero,2026,Edu,0.8,0.8,0.8,0.8,0.339359862,0.732438241,0.65,3,july,2376,Kwara,PBO
Edu,Oke-Ero,2029,Edu,0.8,0.8,0.8,0.8,0.339359862,0.732438241,0.65,4,july,3471,Kwara,PBO
Efon-Alayee,Oke-Ero,2020,Efon-Alayee,0.8,0.8,0.8,0.8,0.32342441,0.729504192,0.65,1,july,186,Ekiti,PBO
Efon-Alayee,Oke-Ero,2023,Efon-Alayee,0.8,0.8,0.8,0.8,0.32342441,0.729504192,0.65,2,july,1281,Ekiti,PBO
Efon-Alayee,Oke-Ero,2026,Efon-Alayee,0.8,0.8,0.8,0.8,0.32342441,0.729504192,0.65,3,july,2376,Ekiti,PBO
Efon-Alayee,Oke-Ero,2029,Efon-Alayee,0.8,0.8,0.8,0.8,0.32342441,0.729504192,0.65,4,july,3471,Ekiti,PBO
Egbado North,Owan East,2021,Egbado North,0.8,0.8,0.8,0.8,0.310892073,0.726829353,0.65,1,march,435,Ogun,PBO
Egbado North,Owan East,2024,Egbado North,0.8,0.8,0.8,0.8,0.310892073,0.726829353,0.65,2,march,1530,Ogun,PBO
Egbado North,Owan East,2027,Egbado North,0.8,0.8,0.8,0.8,0.310892073,0.726829353,0.65,3,march,2625,Ogun,PBO
Egbado North,Owan East,2030,Egbado North,0.8,0.8,0.8,0.8,0.310892073,0.726829353,0.65,4,march,3720,Ogun,PBO
Egbado South,Uzo-Uwani,2021,Egbado South,0.8,0.8,0.8,0.8,0.38366582,0.738522561,0.65,1,june,527,Ogun,PBO
Egbado South,Uzo-Uwani,2024,Egbado South,0.8,0.8,0.8,0.8,0.38366582,0.738522561,0.65,2,june,1622,Ogun,PBO
Egbado South,Uzo-Uwani,2027,Egbado South,0.8,0.8,0.8,0.8,0.38366582,0.738522561,0.65,3,june,2717,Ogun,PBO
Egbado South,Uzo-Uwani,2030,Egbado South,0.8,0.8,0.8,0.8,0.38366582,0.738522561,0.65,4,june,3812,Ogun,PBO
Egbeda,Akinyele,2020,Egbeda,0.8,0.8,0.8,0.8,0.298595531,0.7238332,0.65,1,may,131,Oyo,Urban areas
Egbeda,Akinyele,2023,Egbeda,0.8,0.8,0.8,0.8,0.298595531,0.7238332,0.65,2,may,1226,Oyo,Urban areas
Egbeda,Akinyele,2026,Egbeda,0.8,0.8,0.8,0.8,0.298595531,0.7238332,0.65,3,may,2321,Oyo,Urban areas
Egbeda,Akinyele,2029,Egbeda,0.8,0.8,0.8,0.8,0.298595531,0.7238332,0.65,4,may,3416,Oyo,Urban areas
Egbedore,Akinyele,2020,Egbedore,0.8,0.8,0.8,0.8,0.43475278,0.743026704,0.65,1,may,131,Osun,PBO
Egbedore,Akinyele,2023,Egbedore,0.8,0.8,0.8,0.8,0.43475278,0.743026704,0.65,2,may,1226,Osun,PBO
Egbedore,Akinyele,2026,Egbedore,0.8,0.8,0.8,0.8,0.43475278,0.743026704,0.65,3,may,2321,Osun,PBO
Egbedore,Akinyele,2029,Egbedore,0.8,0.8,0.8,0.8,0.43475278,0.743026704,0.65,4,may,3416,Osun,PBO
Egor,Uzo-Uwani,2020,Egor,0.8,0.8,0.8,0.8,0.42209808,0.74209333,0.65,1,june,162,Edo,Urban areas
Egor,Uzo-Uwani,2023,Egor,0.8,0.8,0.8,0.8,0.42209808,0.74209333,0.65,2,june,1257,Edo,Urban areas
Egor,Uzo-Uwani,2026,Egor,0.8,0.8,0.8,0.8,0.42209808,0.74209333,0.65,3,june,2352,Edo,Urban areas
Egor,Uzo-Uwani,2029,Egor,0.8,0.8,0.8,0.8,0.42209808,0.74209333,0.65,4,june,3447,Edo,Urban areas
Ehime-Mbano,Ngor-Okpala,2020,Ehime-Mbano,0.8,0.8,0.8,0.8,0.459803075,0.744603378,0.65,1,june,162,Imo,PBO
Ehime-Mbano,Ngor-Okpala,2023,Ehime-Mbano,0.8,0.8,0.8,0.8,0.459803075,0.744603378,0.65,2,june,1257,Imo,PBO
Ehime-Mbano,Ngor-Okpala,2026,Ehime-Mbano,0.8,0.8,0.8,0.8,0.459803075,0.744603378,0.65,3,june,2352,Imo,PBO
Ehime-Mbano,Ngor-Okpala,2029,Ehime-Mbano,0.8,0.8,0.8,0.8,0.459803075,0.744603378,0.65,4,june,3447,Imo,PBO
Ejigbo,Akinyele,2020,Ejigbo,0.8,0.8,0.8,0.8,0.431935286,0.742827611,0.65,1,may,131,Osun,PBO
Ejigbo,Akinyele,2023,Ejigbo,0.8,0.8,0.8,0.8,0.431935286,0.742827611,0.65,2,may,1226,Osun,PBO
Ejigbo,Akinyele,2026,Ejigbo,0.8,0.8,0.8,0.8,0.431935286,0.742827611,0.65,3,may,2321,Osun,PBO
Ejigbo,Akinyele,2029,Ejigbo,0.8,0.8,0.8,0.8,0.431935286,0.742827611,0.65,4,may,3416,Osun,PBO
Ekeremor,Ahoada West,2020,Ekeremor,0.8,0.8,0.8,0.8,0.323932604,0.729605404,0.65,1,may,131,Bayelsa,PBO
Ekeremor,Ahoada West,2023,Ekeremor,0.8,0.8,0.8,0.8,0.323932604,0.729605404,0.65,2,may,1226,Bayelsa,PBO
Ekeremor,Ahoada West,2026,Ekeremor,0.8,0.8,0.8,0.8,0.323932604,0.729605404,0.65,3,may,2321,Bayelsa,PBO
Ekeremor,Ahoada West,2029,Ekeremor,0.8,0.8,0.8,0.8,0.323932604,0.729605404,0.65,4,may,3416,Bayelsa,PBO
Eket,Nsit Ubium,2021,Eket,0.8,0.8,0.8,0.8,0.238612216,0.701507165,0.65,1,june,527,Akwa Ibom,PBO
Eket,Nsit Ubium,2024,Eket,0.8,0.8,0.8,0.8,0.238612216,0.701507165,0.65,2,june,1622,Akwa Ibom,PBO
Eket,Nsit Ubium,2027,Eket,0.8,0.8,0.8,0.8,0.238612216,0.701507165,0.65,3,june,2717,Akwa Ibom,PBO
Eket,Nsit Ubium,2030,Eket,0.8,0.8,0.8,0.8,0.238612216,0.701507165,0.65,4,june,3812,Akwa Ibom,PBO
Ekiti,Oke-Ero,2020,Ekiti,0.8,0.8,0.8,0.8,0.316166435,0.727998342,0.65,1,july,186,Kwara,PBO
Ekiti,Oke-Ero,2023,Ekiti,0.8,0.8,0.8,0.8,0.316166435,0.727998342,0.65,2,july,1281,Kwara,PBO
Ekiti,Oke-Ero,2026,Ekiti,0.8,0.8,0.8,0.8,0.316166435,0.727998342,0.65,3,july,2376,Kwara,PBO
Ekiti,Oke-Ero,2029,Ekiti,0.8,0.8,0.8,0.8,0.316166435,0.727998342,0.65,4,july,3471,Kwara,PBO
Ekiti East,Oke-Ero,2020,Ekiti East,0.8,0.8,0.8,0.8,0.342294717,0.73292846,0.65,1,july,186,Ekiti,PBO
Ekiti East,Oke-Ero,2023,Ekiti East,0.8,0.8,0.8,0.8,0.342294717,0.73292846,0.65,2,july,1281,Ekiti,PBO
Ekiti East,Oke-Ero,2026,Ekiti East,0.8,0.8,0.8,0.8,0.342294717,0.73292846,0.65,3,july,2376,Ekiti,PBO
Ekiti East,Oke-Ero,2029,Ekiti East,0.8,0.8,0.8,0.8,0.342294717,0.73292846,0.65,4,july,3471,Ekiti,PBO
Ekiti South West,Oke-Ero,2020,Ekiti South West,0.8,0.8,0.8,0.8,0.434979733,0.743042533,0.65,1,july,186,Ekiti,PBO
Ekiti South West,Oke-Ero,2023,Ekiti South West,0.8,0.8,0.8,0.8,0.434979733,0.743042533,0.65,2,july,1281,Ekiti,PBO
Ekiti South West,Oke-Ero,2026,Ekiti South West,0.8,0.8,0.8,0.8,0.434979733,0.743042533,0.65,3,july,2376,Ekiti,PBO
Ekiti South West,Oke-Ero,2029,Ekiti South West,0.8,0.8,0.8,0.8,0.434979733,0.743042533,0.65,4,july,3471,Ekiti,PBO
Ekiti West,Oke-Ero,2020,Ekiti West,0.8,0.8,0.8,0.8,0.332828195,0.731293374,0.65,1,july,186,Ekiti,PBO
Ekiti West,Oke-Ero,2023,Ekiti West,0.8,0.8,0.8,0.8,0.332828195,0.731293374,0.65,2,july,1281,Ekiti,PBO
Ekiti West,Oke-Ero,2026,Ekiti West,0.8,0.8,0.8,0.8,0.332828195,0.731293374,0.65,3,july,2376,Ekiti,PBO
Ekiti West,Oke-Ero,2029,Ekiti West,0.8,0.8,0.8,0.8,0.332828195,0.731293374,0.65,4,july,3471,Ekiti,PBO
Ekwusigo,Oru West,2020,Ekwusigo,0.8,0.8,0.8,0.8,0.255572543,0.70945305,0.65,1,june,162,Anambra,PBO
Ekwusigo,Oru West,2023,Ekwusigo,0.8,0.8,0.8,0.8,0.255572543,0.70945305,0.65,2,june,1257,Anambra,PBO
Ekwusigo,Oru West,2026,Ekwusigo,0.8,0.8,0.8,0.8,0.255572543,0.70945305,0.65,3,june,2352,Anambra,PBO
Ekwusigo,Oru West,2029,Ekwusigo,0.8,0.8,0.8,0.8,0.255572543,0.70945305,0.65,4,june,3447,Anambra,PBO
Eleme,Ahoada West,2020,Eleme,0.8,0.8,0.8,0.8,0.25030862,0.707154794,0.65,1,may,131,Rivers,Urban areas
Eleme,Ahoada West,2023,Eleme,0.8,0.8,0.8,0.8,0.25030862,0.707154794,0.65,2,may,1226,Rivers,Urban areas
Eleme,Ahoada West,2026,Eleme,0.8,0.8,0.8,0.8,0.25030862,0.707154794,0.65,3,may,2321,Rivers,Urban areas
Eleme,Ahoada West,2029,Eleme,0.8,0.8,0.8,0.8,0.25030862,0.707154794,0.65,4,may,3416,Rivers,Urban areas
Emohua,Ahoada West,2020,Emohua,0.8,0.8,0.8,0.8,0.246521171,0.705410924,0.65,1,may,131,Rivers,PBO
Emohua,Ahoada West,2023,Emohua,0.8,0.8,0.8,0.8,0.246521171,0.705410924,0.65,2,may,1226,Rivers,PBO
Emohua,Ahoada West,2026,Emohua,0.8,0.8,0.8,0.8,0.246521171,0.705410924,0.65,3,may,2321,Rivers,PBO
Emohua,Ahoada West,2029,Emohua,0.8,0.8,0.8,0.8,0.246521171,0.705410924,0.65,4,may,3416,Rivers,PBO
Emure,Oke-Ero,2020,Emure,0.8,0.8,0.8,0.8,0.372039671,0.737169001,0.65,1,july,186,Ekiti,PBO
Emure,Oke-Ero,2023,Emure,0.8,0.8,0.8,0.8,0.372039671,0.737169001,0.65,2,july,1281,Ekiti,PBO
Emure,Oke-Ero,2026,Emure,0.8,0.8,0.8,0.8,0.372039671,0.737169001,0.65,3,july,2376,Ekiti,PBO
Emure,Oke-Ero,2029,Emure,0.8,0.8,0.8,0.8,0.372039671,0.737169001,0.65,4,july,3471,Ekiti,PBO
Enugu East,Uzo-Uwani,2020,Enugu East,0.8,0.8,0.8,0.8,0.392074002,0.73941366,0.65,1,june,162,Enugu,Urban areas
Enugu East,Uzo-Uwani,2023,Enugu East,0.8,0.8,0.8,0.8,0.392074002,0.73941366,0.65,2,june,1257,Enugu,Urban areas
Enugu East,Uzo-Uwani,2026,Enugu East,0.8,0.8,0.8,0.8,0.392074002,0.73941366,0.65,3,june,2352,Enugu,Urban areas
Enugu East,Uzo-Uwani,2029,Enugu East,0.8,0.8,0.8,0.8,0.392074002,0.73941366,0.65,4,june,3447,Enugu,Urban areas
Enugu North,Uzo-Uwani,2020,Enugu North,0.8,0.8,0.8,0.8,0.420714903,0.741984962,0.65,1,june,162,Enugu,Urban areas
Enugu North,Uzo-Uwani,2023,Enugu North,0.8,0.8,0.8,0.8,0.420714903,0.741984962,0.65,2,june,1257,Enugu,Urban areas
Enugu North,Uzo-Uwani,2026,Enugu North,0.8,0.8,0.8,0.8,0.420714903,0.741984962,0.65,3,june,2352,Enugu,Urban areas
Enugu North,Uzo-Uwani,2029,Enugu North,0.8,0.8,0.8,0.8,0.420714903,0.741984962,0.65,4,june,3447,Enugu,Urban areas
Enugu South,Uzo-Uwani,2020,Enugu South,0.8,0.8,0.8,0.8,0.479661177,0.745641892,0.613966307,1,june,162,Enugu,Urban areas
Enugu South,Uzo-Uwani,2023,Enugu South,0.8,0.8,0.8,0.8,0.479661177,0.745641892,0.613966307,2,june,1257,Enugu,Urban areas
Enugu South,Uzo-Uwani,2026,Enugu South,0.8,0.8,0.8,0.8,0.479661177,0.745641892,0.613966307,3,june,2352,Enugu,Urban areas
Enugu South,Uzo-Uwani,2029,Enugu South,0.8,0.8,0.8,0.8,0.479661177,0.745641892,0.613966307,4,june,3447,Enugu,Urban areas
Epe,Uzo-Uwani,2020,Epe,0.8,0.8,0.8,0.8,0.40174632,0.740357052,0.65,1,june,162,Lagos,PBO
Epe,Uzo-Uwani,2023,Epe,0.8,0.8,0.8,0.8,0.40174632,0.740357052,0.65,2,june,1257,Lagos,PBO
