,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
229,Gamawa,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
230,Ganaye,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
231,Ganjuwa,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
232,Garki,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
233,Garko,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
234,Garum Mallam,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
235,Gashaka,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
236,Gassol,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
237,Gawabawa,Gawabawa,Sokoto,0,1095,2010,0,0
238,Gaya,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
239,Gbako,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
240,Gboko,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
241,Gboyin,Obubra,Cross River,0,1095,2010,0,0
242,Geidam,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
243,Gezawa,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
244,Giade,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
245,Gireri,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
246,Giwa,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
247,Gokana,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
248,Gombe,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
249,Gombi,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
250,Goronyo,Gawabawa,Sokoto,0,1095,2010,0,0
251,Gubio,Gawabawa,Sokoto,0,1095,2010,0,0
252,Gudu,Gawabawa,Sokoto,0,1095,2010,0,0
253,Gujba,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
254,Gulani,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
255,Guma,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
256,Gumel,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
257,Gummi,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
258,Gurara,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
259,Guri,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
260,Gusau,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
261,Guyuk,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
262,Guzamala,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
263,Gwagwalada,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
264,Gwale,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
265,Gwandu,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
266,Gwaram,Takali,Kano,0,1095,2010,0.041618192,0.041618192
267,Gwarzo,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
268,Gwer East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
269,Gwer West,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
270,Gwiwa,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
271,Gwoza,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
272,Hadejia,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
273,Hawul,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
274,Hong,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
275,Ibadan North,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
276,Ibadan North East,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
277,Ibadan North West,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
278,Ibadan South East,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
279,Ibadan South West,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
280,Ibaji,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
281,Ibarapa Central,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
282,Ibarapa East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
283,Ibarapa North,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
