,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
297,Buji,Takali,0.101449555,0.05735459,0.045574567,0.089767787
298,Jahun,Taura,0.298077926,0.22595755,0.200634618,0.320345196
299,Dutse,Takali,0.170038204,0.104424611,0.062194321,0.100436137
300,Gagarawa,Taura,0.166666667,0.142857143,0.09375,0.139784946
301,Kafin Hausa,Taura,0.076923077,0.038461538,0.035714286,0.06122449
302,Garki,Babura,0.084019284,0.048532657,0.053251464,0.085591563
303,Gumel,Babura,0.084019284,0.048532657,0.053251464,0.085591563
304,Guri,Taura,0.181535236,0.11021374,0.086236149,0.171748891
305,Gwaram,Takali,0.074025307,0.039461133,0.024431606,0.081041242
306,Gwiwa,Babura,0.084019284,0.048532657,0.053251464,0.085591563
307,Hadejia,Taura,0.181535236,0.11021374,0.086236149,0.171748891
308,Kaugama,Taura,0.204907377,0.169346671,0.115436069,0.238266348
309,Kazaure,Babura,0.084019284,0.048532657,0.053251464,0.085591563
310,Kiri Kasamma,Taura,0.181535236,0.11021374,0.086236149,0.171748891
311,Tsanyawa,Gwarzo,0.035714286,0.051418292,0.048921788,0.102362205
312,Miga,Taura,0.152542373,0.083333333,0.042553191,0.111111111
313,Ringim,Taura,0.466219067,0.228229454,0.171041205,0.381227087
314,Roni,Babura,0.084019284,0.048532657,0.053251464,0.085591563
315,Taura,Taura,0.436619718,0.270833333,0.255813953,0.324074074
316,Yankwashi,Babura,0.084019284,0.048532657,0.053251464,0.085591563
317,kiyawa,Takali,0.101449555,0.05735459,0.045574567,0.089767787
318,Dutsi,Rimi,0.046153846,0.076654309,0.06497504,0.081632653
319,Birnin-Gwari,Giwa,0.121879542,0.030391049,0.037849606,0.130529471
320,Kajuru,Soba,0.014285714,0.040816327,0.038801897,0.007874016
321,Chikun,Soba,0.084514479,0.057166697,0.028258158,0.040329367
322,Giwa,Giwa,0.121879542,0.030391049,0.037849606,0.022222222
323,Koko/Besse,Birnin Kebbi,0.079365079,0.0625,0.065217391,0.088235294
324,Igabi,Soba,0.096774194,0.033333333,0.038801897,0.054945055
325,Ikara,Soba,0.088270237,0.074787831,0.038801897,0.072875205
326,Jaba,Oke-Ero,0.111111111,0.038461538,0.078409211,0.017391304
327,Ogori/Mangongo,Owan East,0.190417906,0.133905361,0.099953742,0.141747932
328,Jema'a,Soba,0.088270237,0.074787831,0.038801897,0.072875205
329,Kachia,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
330,Kaduna North,Soba,0.088270237,0.074787831,0.038801897,0.072875205
331,Kudan,Giwa,0.121879542,0.030391049,0.037849606,0.130529471
332,Kagarko,Oke-Ero,0.015625,0.105193908,0.078409211,0.038167939
333,Kaura,Soba,0.111111111,0.115384615,0.039215686,0.094339623
334,Kauru,Soba,0.088270237,0.074787831,0.038801897,0.072875205
335,Kubau,Soba,0.018254305,0.04553392,0.026239759,0.009071521
336,Lere,Soba,0.088270237,0.111111111,0.01369863,0.023255814
337,Markafi,Gwarzo,0.10299885,0.051418292,0.048921788,0.116298868
338,Sabon-Gari,Soba,0.024143643,0.038229445,0.014415251,0.002880883
339,Sanga,Soba,0.088270237,0.074787831,0.076923077,0.049382716
340,Soba,Soba,0.019546976,0.065035629,0.011301658,0.021348467
341,Zango-Kataf,Soba,0.145833333,0.090909091,0.027027027,0.131313131
342,Zaria,Soba,0.088270237,0.074787831,0.038801897,0.072875205
343,Kaduna South,Soba,0.166666667,0.1875,0.027777778,0.090909091
344,Bichi,Gwarzo,0.10299885,0.051418292,0.048921788,0.116298868
345,Ajingi,Taura,0.181535236,0.11021374,0.021276596,0.009803922
346,Albasu,Takali,0.101449555,0.05735459,0.045574567,0.089767787
347,Bagwai,Babura,0.084019284,0.048532657,0.053251464,0.085591563
348,Bebeji,Gwarzo,0.10299885,0.051418292,0.048921788,0.116298868
349,Dambatta,Babura,0.019607843,0.048532657,0.053251464,0.009708738
350,Dawakin Kudu,Gwarzo,0.057692308,0.051418292,0.048921788,0.024096386
351,Dawakin Tofa,Taura,0.00609207,0.11021374,0.086236149,0.012779617
352,Doguwa,Giwa,0.121879542,0.030391049,0.037849606,0.130529471
353,Gabasawa,Taura,0.181535236,0.11021374,0.086236149,0.171748891
354,Garko,Gwarzo,0.159090909,0.071428571,0.05,0.076923077
355,Garum Mallam,Gwarzo,0.192982456,0.083333333,0.170731707,0.153846154
