LGA,repDS
Ese-Odo,Owan East
Idanre,Akinyele
Idanre,Akinyele
Ifedore,Oke-Ero
Ifedore,Oke-Ero
Ile-Oluji-Okeigbo,Akinyele
Ile-Oluji-Okeigbo,Akinyele
Irele,Akinyele
Irele,Akinyele
Odigbo,Akinyele
Odigbo,Akinyele
Ifelodun2,Akinyele
Ifelodun2,Akinyele
Okitipupa,Owan East
Okitipupa,Owan East
Ondo East,Akinyele
Ondo East,Akinyele
Ondo West,Akinyele
Ondo West,Akinyele
Ose,Owan East
Ose,Owan East
Owo,Owan East
Owo,Owan East
Aiyedade,Akinyele
Aiyedade,Akinyele
Aiyedire,Akinyele
Aiyedire,Akinyele
Atakumosa East,Oke-Ero
Atakumosa East,Oke-Ero
Orolu,Oke-Ero
Orolu,Oke-Ero
Atakumosa West,Akinyele
Atakumosa West,Akinyele
Boluwaduro,Akinyele
Boluwaduro,Akinyele
Boripe,Akinyele
Boripe,Akinyele
Ede North,Akinyele
Ede North,Akinyele
Ede South,Akinyele
Ede South,Akinyele
Egbedore,Akinyele
Egbedore,Akinyele
Ejigbo,Akinyele
Ejigbo,Akinyele
Ife Central,Akinyele
Ife Central,Akinyele
Ife East,Akinyele
Ife East,Akinyele
Ife North,Akinyele
Ife North,Akinyele
Ife South,Akinyele
Ife South,Akinyele
Ila,Oke-Ero
Ila,Oke-Ero
Ilesha East,Owan East
Ilesha East,Owan East
Ilesha West,Akinyele
Ilesha West,Akinyele
Irepodun2,Akinyele
Irepodun2,Akinyele
Irewole,Akinyele
Irewole,Akinyele
Isokan,Akinyele
Isokan,Akinyele
Iwo,Akinyele
Iwo,Akinyele
Osogbo,Owan East
Osogbo,Owan East
Obokun,Akinyele
Obokun,Akinyele
Odo-Otin,Oke-Ero
Odo-Otin,Oke-Ero
Ola-oluwa,Akinyele
Ola-oluwa,Akinyele
Olorunda,Akinyele
Olorunda,Akinyele
Oriade,Oke-Ero
Oriade,Oke-Ero
Ibadan South East,Akinyele
Ibadan South East,Akinyele
Afijio,Akinyele
Afijio,Akinyele
Akinyele,Akinyele
Akinyele,Akinyele
Atiba,Akinyele
Atiba,Akinyele
Egbeda,Akinyele
Egbeda,Akinyele
Ibadan North,Owan East
Ibadan North,Owan East
Ibadan North East,Owan East
Ibadan North East,Owan East
Ibadan North West,Owan East
Ibadan North West,Owan East
Ibarapa Central,Akinyele
Ibarapa Central,Akinyele
Ibarapa East,Oke-Ero
Ibarapa East,Oke-Ero
Ibarapa North,Oke-Ero
Ibarapa North,Oke-Ero
Ido,Akinyele
Ido,Akinyele
Irepo,Oke-Ero
Irepo,Oke-Ero
Ogo Oluwa,Oke-Ero
Ogo Oluwa,Oke-Ero
Olorunsogo,Oke-Ero
Olorunsogo,Oke-Ero
Oluyole,Oke-Ero
Oluyole,Oke-Ero
Ona-Ara,Akinyele
Ona-Ara,Akinyele
Orelope,Oke-Ero
Orelope,Oke-Ero
Ori Ire,Oke-Ero
Ori Ire,Oke-Ero
Oyo West,Akinyele
Oyo West,Akinyele
Saki East,Oke-Ero
Saki East,Oke-Ero
Saki West,Akinyele
Saki West,Akinyele
Surulere2,Oke-Ero
Surulere2,Oke-Ero
Barikin Ladi,Soba
Barikin Ladi,Soba
Bassa2,Soba
Bassa2,Soba
Bokkos,Giwa
Bokkos,Giwa
Jos East,Soba
Jos East,Soba
Jos North,Soba
Jos North,Soba
Jos South,Soba
Jos South,Soba
Kanam,Alkaleri
Kanam,Alkaleri
Kanke,Alkaleri
Kanke,Alkaleri
Langtang North,Alkaleri
Langtang North,Alkaleri
Langtang South,Keana
Langtang South,Keana
Mangu,Darazo
Mangu,Darazo
Mikang,Alkaleri
Mikang,Alkaleri
Abua-Odual,Ahoada West
Abua-Odual,Ahoada West
Pankshin,Alkaleri
Pankshin,Alkaleri
Qua'an Pan,Keana
Qua'an Pan,Keana
Riyom,Soba
Riyom,Soba
Shendam,Keana
Shendam,Keana
Wase,Alkaleri
Wase,Alkaleri
Ahoada East,Ahoada West
Ahoada East,Ahoada West
Ahoada West,Ahoada West
Ahoada West,Ahoada West
Andoni,Nsit Ubium
Andoni,Nsit Ubium
Asari-Toru,Ahoada West
Asari-Toru,Ahoada West
Bonny,Nsit Ubium
Bonny,Nsit Ubium
Eleme,Ahoada West
Eleme,Ahoada West
Emohua,Ahoada West
Emohua,Ahoada West
Etche,Ngor-Okpala
Etche,Ngor-Okpala
Gokana,Nsit Ubium
Gokana,Nsit Ubium
Ikwerre,Oru West
Ikwerre,Oru West
Khana,Nsit Ubium
Khana,Nsit Ubium
Obia-Akpor,Ahoada West
Obia-Akpor,Ahoada West
Ogba-Egbema-Ndoni,Ahoada West
Ogba-Egbema-Ndoni,Ahoada West
Ogu-Bolo,Nsit Ubium
Ogu-Bolo,Nsit Ubium
Okrika,Nsit Ubium
Okrika,Nsit Ubium
Omumma,Ngor-Okpala
Omumma,Ngor-Okpala
Opobo-Nkoro,Nsit Ubium
Opobo-Nkoro,Nsit Ubium
Oyigbo,Nsit Ubium
Oyigbo,Nsit Ubium
Port-Harcourt,Ahoada West
Port-Harcourt,Ahoada West
Tai,Nsit Ubium
Tai,Nsit Ubium
Binji,Gawabawa
Binji,Gawabawa
Bodinga,Gawabawa
Bodinga,Gawabawa
Dange-Shnsi,Gawabawa
Dange-Shnsi,Gawabawa
Akuku Toru,Ahoada West
Akuku Toru,Ahoada West
Goronyo,Gawabawa
Goronyo,Gawabawa
Gawabawa,Gawabawa
Gawabawa,Gawabawa
Illela,Gawabawa
Illela,Gawabawa
Isa,Rimi
Isa,Rimi
Kebbe,Birnin Kebbi
Kebbe,Birnin Kebbi
Kware,Gawabawa
Kware,Gawabawa
Rabah,Gawabawa
Rabah,Gawabawa
Shagari,Birnin Kebbi
Shagari,Birnin Kebbi
Mubi South,Darazo
Mubi South,Darazo
Silame,Gawabawa
Silame,Gawabawa
Sokoto North,Gawabawa
Sokoto North,Gawabawa
Sokoto South,Birnin Kebbi
Sokoto South,Birnin Kebbi
Tambuwal,Birnin Kebbi
Tambuwal,Birnin Kebbi
Tureta,Birnin Kebbi
Tureta,Birnin Kebbi
Wamako,Gawabawa
Wamako,Gawabawa
Wurno,Gawabawa
Wurno,Gawabawa
Yabo,Gawabawa
Yabo,Gawabawa
Ardo-Kola,Keana
Ardo-Kola,Keana
Gassol,Keana
Gassol,Keana
Bali,Keana
Bali,Keana
Donga,Keana
Donga,Keana
Ibi,Keana
Ibi,Keana
Jalingo,Keana
Jalingo,Keana
Yorro,Alkaleri
Yorro,Alkaleri
Potiskum,Darazo
Potiskum,Darazo
Karin-Lamido,Alkaleri
Karin-Lamido,Alkaleri
Lau,Alkaleri
Lau,Alkaleri
Wukari,Keana
Wukari,Keana
Zing,Alkaleri
Zing,Alkaleri
Bade,Taura
Bade,Taura
Nguru,Taura
Nguru,Taura
Bursari,Taura
Bursari,Taura
Damaturu,Darazo
Damaturu,Darazo
Fika,Darazo
Fika,Darazo
Gujba,Darazo
Gujba,Darazo
Fune,Darazo
Fune,Darazo
Gulani,Alkaleri
Gulani,Alkaleri
Geidam,Babura
Geidam,Babura
Nangere,Darazo
Nangere,Darazo
Jakusko,Taura
Jakusko,Taura
Karasuwa,Taura
Karasuwa,Taura
Tarmua,Rimi
Tarmua,Rimi
Anka,Darazo
Anka,Darazo
Bakura,Darazo
Bakura,Darazo
Birnin Magaji,Rimi
Birnin Magaji,Rimi
Bukkuyum,Alkaleri
Bukkuyum,Alkaleri
Bungudu,Takali
Bungudu,Takali
Gummi,Birnin Kebbi
Gummi,Birnin Kebbi
Ipokia,Uzo-Uwani
Ipokia,Uzo-Uwani
Gusau,Darazo
Gusau,Darazo
Kaura-Namoda,Rimi
Kaura-Namoda,Rimi
Maradun,Darazo
Maradun,Darazo
Tsafe,Takali
Tsafe,Takali
Maru,Giwa
Maru,Giwa
Shinkafi,Rimi
Shinkafi,Rimi
Talata Mafara,Darazo
Talata Mafara,Darazo
Zurmi,Rimi
Zurmi,Rimi
Mbo,Nsit Ubium
Mbo,Nsit Ubium
Oron,Nsit Ubium
Oron,Nsit Ubium
Udung Uko,Nsit Ubium
Udung Uko,Nsit Ubium
Calabar South,Nsit Ubium
Calabar South,Nsit Ubium
Ibeno,Nsit Ubium
Ibeno,Nsit Ubium
Eastern Obolo,Nsit Ubium
Eastern Obolo,Nsit Ubium
Degema,Ahoada West
Degema,Ahoada West
Brass,Ahoada West
Brass,Ahoada West
Southern Ijaw,Ahoada West
Southern Ijaw,Ahoada West
Ekeremor,Ahoada West
Ekeremor,Ahoada West
Burutu,Isoko South
Burutu,Isoko South
Warri South West,Isoko South
Warri South West,Isoko South
Warri North,Owan East
Warri North,Owan East
Ilaje,Owan East
Ilaje,Owan East
Ibeju-Lekki,Uzo-Uwani
Ibeju-Lekki,Uzo-Uwani
Amuwo-Odofin,Isoko South
Amuwo-Odofin,Isoko South
Badagry,Uzo-Uwani
Badagry,Uzo-Uwani
Egbado North,Owan East
Egbado North,Owan East
Imeko-Afon,Oke-Ero
Imeko-Afon,Oke-Ero
Iwajowa,Oke-Ero
Iwajowa,Oke-Ero
Atigbo,Oke-Ero
Atigbo,Oke-Ero
Baruten,Oke-Ero
Baruten,Oke-Ero
Borgu,Oke-Ero
Borgu,Oke-Ero
Bagudo,Birnin Kebbi
Bagudo,Birnin Kebbi
Dandi,Birnin Kebbi
Dandi,Birnin Kebbi
Arewa-Dandi,Birnin Kebbi
Arewa-Dandi,Birnin Kebbi
Gudu,Gawabawa
Gudu,Gawabawa
Tangaza,Gawabawa
Tangaza,Gawabawa
Gada,Gawabawa
Gada,Gawabawa
Sabon Birni,Gawabawa
Sabon Birni,Gawabawa
kaita,Rimi
kaita,Rimi
Jibia,Rimi
Jibia,Rimi
Mashi,Rimi
Mashi,Rimi
Mai'Adua,Rimi
Mai'Adua,Rimi
Zango,Babura
Zango,Babura
Baure,Babura
Baure,Babura
Sule-Tankarkar,Babura
Sule-Tankarkar,Babura
Maigatari,Babura
Maigatari,Babura
Ussa,Oru West
Ussa,Oru West
Machina,Taura
Machina,Taura
Yusufari,Taura
Yusufari,Taura
Shomolu,Isoko South
Shomolu,Isoko South
Yunusari,Babura
Yunusari,Babura
Monguno,Babura
Monguno,Babura
Mobbar,Babura
Mobbar,Babura
Ngala,Taura
Ngala,Taura
Abadam,Babura
Abadam,Babura
Kukawa,Babura
Kukawa,Babura
Kala-Balge,Darazo
Kala-Balge,Darazo
Bama,Darazo
Bama,Darazo
Gwoza,Darazo
Gwoza,Darazo
Madagali,Darazo
Madagali,Darazo
Michika,Darazo
Michika,Darazo
Mubi North,Darazo
Mubi North,Darazo
Maiha,Alkaleri
Maiha,Alkaleri
Fufore,Alkaleri
Fufore,Alkaleri
Jada,Alkaleri
Jada,Alkaleri
Ganaye,Alkaleri
Ganaye,Alkaleri
Toungo,Keana
Toungo,Keana
Kurmi,Oru West
Kurmi,Oru West
Gashaka,Oru West
Gashaka,Oru West
Sardauna,Oru West
Sardauna,Oru West
Takum,Keana
Takum,Keana
Kwande,Oke-Ero
Kwande,Oke-Ero
Obanliku,Obubra
Obanliku,Obubra
Boki,Obubra
Boki,Obubra
Etung,Obubra
Etung,Obubra
Akamkpa,Ngor-Okpala
Akamkpa,Ngor-Okpala
Bakassi,Obubra
Bakassi,Obubra
Akpabuyo,Nsit Ubium
Akpabuyo,Nsit Ubium
Eti-Osa,Isoko South
Eti-Osa,Isoko South
Ikorodu,Uzo-Uwani
Ikorodu,Uzo-Uwani
Kosofe,Isoko South
Kosofe,Isoko South
Lagos Island,Isoko South
Lagos Island,Isoko South
Lagos Mainland,Isoko South
Lagos Mainland,Isoko South
