LGA,LGA_old,repDS,simday,duration,year,mortality_rate,kill_rate,block_initial,U5_ITN_use_m,U5201.repDS,U5_ITN_use_l,U5_ITN_use,six_nine_ITN_use_m,six_nine_ITN_use_l,six_nine_ITN_use,six_n.year,ten_eighteen_ITN_use_m,ten_eighteen_ITN_use_l,ten_eighteen_ITN_use,ten_e.year,over_eighteen_ITN_use_m,over_eighteen_ITN_use_l,over_eighteen_ITN_use,over_.year
Giade,Giade,Darazo,0,1095,2010,0.730326034,0.680743195,0.852004738,0.16,Darazo,0.028279,0.291721,0.313975754,0.21240455,0.415546958,2010,0.226588337,0.14060185,0.312574825,2010,0.347826087,0.210577195,0.485074979,2010
Itas-Gadau,Itas/Gadau,Taura,0,1095,2010,0.742973977,0.686667971,0.860740455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Katagum,Katagum,Gwarzo,0,1095,2010,0.74547039,0.687814164,0.862397166,0.1,Gwarzo,0,0.264731476,0.095238095,0,0.22266859,2010,0.166666667,0.0782736,0.255059734,2010,0.102564103,0,0.235656603,2010
Kirfi,Kirfi,Alkaleri,0,1095,2010,0.704749265,0.668154735,0.832458934,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Misau,Misau,Darazo,0,1095,2010,0.803277912,0.712271562,0.895292482,0.605263158,Darazo,0.473542158,0.736984158,0.523809524,0.42223832,0.625380728,2010,0.363636364,0.277649876,0.449622851,2010,0.522727273,0.385478381,0.659976164,2010
Ningi,Ningi,Takali,0,1095,2010,0.6738636,0.651854983,0.805057422,0.565217391,Takali,0.34507554,0.785359242,0.37037037,0.192132477,0.548608264,2010,0.45,0.309684134,0.590315866,2010,0.515151515,0.318358068,0.711944963,2010
Ukum,Ukum,Keana,0,1095,2010,0.383970395,0.446657171,0.53,0.02,Keana,0,0.069333985,0.045651648,0.017206844,0.074096451,2010,0.033072808,0.007256859,0.058888757,2010,0.017857143,0,0.056720278,2010
Shira,Shira,Takali,0,1095,2010,0.742991291,0.686675947,0.86075202,0.258064516,Takali,0.037922665,0.478206367,0.148148148,0,0.326386042,2010,0.296296296,0.15598043,0.436612162,2010,0.396551724,0.199758277,0.593345172,2010
Tafawa-Balewa,Tafawa-Balewa,Alkaleri,0,1095,2010,0.531148459,0.561175608,0.601298661,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Toro,Toro,Giwa,0,1095,2010,0.625332185,0.623800515,0.751890584,0.134165323,Giwa,0,0.336964622,0.082396302,0,0.195834853,2010,0.070950298,0,0.154991341,2010,0.163309298,0,0.375596048,2010
Warji,Warji,Takali,0,1095,2010,0.680001753,0.655190649,0.810864418,0.400642128,Takali,0.180500277,0.620783978,0.283668296,0.105430402,0.461906189,2010,0.217614664,0.077298798,0.35793053,2010,0.436970727,0.240177279,0.633764175,2010
Zaki,Zaki,Taura,0,1095,2010,0.753604356,0.69149605,0.867647129,0.53646592,Taura,0.403199959,0.66973188,0.440114892,0.320991916,0.559237868,2010,0.368967436,0.268285002,0.469649871,2010,0.583396689,0.479944718,0.68684866,2010
Kolokuma-Opokuma,Kolokuma/Opokuma,Ahoada West,0,1095,2010,0.224180225,0.31668418,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nembe,Nembe,Ahoada West,0,1095,2010,0.273335383,0.35581817,0.53,0.297457865,Ahoada West,0.136798716,0.458117013,0.282724371,0.09837586,0.467072881,2010,0.103882524,0.049526012,0.158239037,2010,0.235336962,0.125250178,0.345423745,2010
