,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
156,Yakurr,Obubra,0.276762984,0.182743565,0.131962766,0.21025261
157,Ogbomosho North,Akinyele,0.030541734,0.009079867,0.003972784,0.019339683
158,Yala,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
159,Aniocha North,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
160,Aniocha South,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
161,Ibadan South West,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
162,Ethiope East,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
163,Ethiope West,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
164,Ika North East,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
165,Ika South,Uzo-Uwani,0.055800861,0.032126915,0.067921762,0.005797746
166,Isoko North,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
167,Ogbomosho South,Akinyele,0.030541734,0.009079867,0.003972784,0.019339683
168,Isoko South,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
169,Ndokwa East,Ahoada West,0.297457865,0.282724371,0.103882524,0.235336962
170,Ndokwa West,Isoko South,0.166666667,0.25,0.052631579,0.078431373
171,Okpe,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
172,Oshimili North,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
173,Oshimili South,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
174,Patani,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
175,Sapele,Isoko South,0.230769231,0.263157895,0.148148148,0.134615385
176,Udu,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
177,Ughelli North,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
178,Ughelli South,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
179,Ukwuani,Uzo-Uwani,0.029411765,0.045454545,0.067921762,0.047619048
180,Uvwie,Isoko South,0.127069006,0.150563576,0.056750149,0.070841701
181,Warri South,Isoko South,0.060606061,0.150563576,0.076923077,0.070841701
182,Ohaozara,Obubra,0.210526316,0.272727273,0.178571429,0.296296296
183,Abakaliki,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
184,Afikpo North,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
185,Afikpo South,Ngor-Okpala,0.111873819,0.111111111,0.070636395,0.049180328
186,Ebonyi,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
187,Ezza North,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
188,Ezza South,Obubra,0.276762984,0.182743565,0.131962766,0.21025261
189,Ikwo,Obubra,0.277474196,0.141109767,0.122418109,0.171930518
190,Ishielu,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
191,Ivo,Ngor-Okpala,0.125,0.083333333,0.130434783,0.094339623
192,Izzi,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
193,Ohaukwu,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
194,Onicha,Obubra,0.129032258,0.071428571,0.105263158,0.079365079
195,Akoko-Edo,Owan East,0.217391304,0.152454404,0.041666667,0.125
196,Egor,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
197,Esan North East,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
198,Esan Central,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
199,Esan South East,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
200,Esan West,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
201,Etsako Central,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
202,Etsako East,Owan East,0.086956522,0.152454404,0.09921015,0.037735849
203,Etsako West,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
204,Igueben,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
205,Ikpoba-Okha,Uzo-Uwani,0.166666667,0.083333333,0.067921762,0.035714286
206,Aninri,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
207,Oredo,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
208,Orhionmwon,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
209,Ovia North East,Owan East,0.133333333,0.152454404,0.09921015,0.128205128
210,Ovia South West,Akinyele,0.030541734,0.009079867,0.003972784,0.019339683
211,Owan East,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
212,Owan West,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
213,Uhunmwonde,Owan East,0.032258065,0.083333333,0.09921015,0.016393443
214,Ado Ekiti,Owan East,0.066666667,0.333333333,0.09921015,0.071428571
215,Efon-Alayee,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
216,Ekiti East,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
217,Ekiti South West,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
218,Awgu,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
219,Ekiti West,Oke-Ero,0.083333333,0.138120033,0.087266194,0.254545455
220,Emure,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
221,Gboyin,Obubra,0.276762984,0.182743565,0.131962766,0.21025261
222,Idosi-Osi,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
223,Ijero,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
224,Ikere,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
225,Ikole,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
226,Ilemeji,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
227,Irepodun/Ifelodun,Oke-Ero,0.201898974,0.216382906,0.138669989,0.144519845
228,Ise/Orun,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
229,Moba,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
230,Oye,Oke-Ero,0.270838415,0.138120033,0.087266194,0.23846713
231,Ezeagu,Uzo-Uwani,0.235294118,0.074567206,0.067921762,0.048387097
232,Igbo-Etiti,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
233,Igbo-Eze North,Uzo-Uwani,0.12,0.074567206,0.034482759,0.080523576
234,Igbo-Eze South,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
235,Isi-Uzo,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
236,Nkanu East,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
237,Nkanu West,Uzo-Uwani,0.117528001,0.074567206,0.067921762,0.026732782
238,Nsukka,Uzo-Uwani,0.085714286,0.074567206,0.067921762,0.014492754
239,Oji-River,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
240,Udenu,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
241,Udi,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
242,Uzo-Uwani,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
243,Ahiazu-Mbaise,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
244,Abaji,Keana,0.086924687,0.045651648,0.033072808,0.087141812
245,Bwari,Giwa,0.134165323,0.082396302,0.070950298,0.163309298
246,Gwagwalada,Keana,0.086924687,0.045651648,0.064516129,0.050847458
247,Kuje,Keana,0.086924687,0.045651648,0.033072808,0.087141812
248,Kwali,Keana,0.086924687,0.045651648,0.033072808,0.087141812
249,Bunkure,Gwarzo,0.420322503,0.246546353,0.19216149,0.376232249
250,Abuja Municipal,Keana,0.086924687,0.045651648,0.033072808,0.012632636
251,Akko,Alkaleri,0.511627907,0.266666667,0.230769231,0.630769231
252,Balanga,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
253,Billiri,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
254,Dukku,Darazo,0.567231922,0.209456943,0.123894573,0.688717245
255,Funakaye,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
256,Gombe,Alkaleri,0.7,0.666666667,0.705882353,0.568965517
257,Kaltungo,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
258,Kwami,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
259,Dala,Alkaleri,0.34375,0.217391304,0.136363636,0.257575758
260,Nafada,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
261,Shomgom,Alkaleri,0.847457627,0.636363636,0.5,0.8125
262,Yamaltu/Deba,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
263,Aboh-Mbaise,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
264,Fagge,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
265,Ehime-Mbano,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
266,Ezinihitte,Ngor-Okpala,0.045454545,0.10469624,0.070636395,0.034482759
267,Ideato North,Oru West,0.343098592,0.295986276,0.219999637,0.019230769
268,Ideato South,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
269,Ihitte/Uboma,Ngor-Okpala,0.111873819,0.10469624,0.166666667,0.013157895
270,Ikeduru,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
271,Isiala Mbano,Ngor-Okpala,0.051155652,0.131218225,0.034098256,0.060692501
272,Isu,Ngor-Okpala,0.181818182,0.076923077,0.070636395,0.043478261
273,Mbaitoli,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
274,Obowo,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
275,Ngor-Okpala,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
276,Njaba,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
277,Nkwerre,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
278,Nwangele,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
279,Oyo East,Akinyele,0.030541734,0.009079867,0.003972784,0.019339683
280,Oguta,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
281,Ohaji/Egbema,Oru West,0.238095238,0.111111111,0.142857143,0.363636364
282,Okigwe,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
283,Orlu,Oru West,0.028571429,0.295986276,0.219999637,0.304709624
284,Orsu,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
285,Oru East,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
286,Oru West,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
287,Owerri-Municipal,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
288,Tofa,Taura,0.605263158,0.2,0.206896552,0.507692308
289,Owerri North,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
290,Owerri West,Ngor-Okpala,0.043478261,0.111111111,0.153846154,0.042553191
291,Unuimo,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
292,Auyo,Taura,0.53646592,0.440114892,0.368967436,0.583396689
293,Babura,Babura,0.375325174,0.214522186,0.126023075,0.350839769
294,Biriniwa,Taura,0.53646592,0.440114892,0.368967436,0.583396689
295,Malam Madori,Taura,0.673913043,0.454545455,0.454545455,0.75
296,Birni Kudu,Takali,0.736842105,0.555555556,0.214285714,0.745762712
297,Buji,Takali,0.400642128,0.283668296,0.217614664,0.436970727
298,Jahun,Taura,0.53646592,0.440114892,0.368967436,0.583396689
299,Dutse,Takali,0.400642128,0.283668296,0.217614664,0.436970727
300,Gagarawa,Taura,0.53646592,0.440114892,0.368967436,0.583396689
301,Kafin Hausa,Taura,0.28125,0.315789474,0.238095238,0.480769231
302,Garki,Babura,0.375325174,0.214522186,0.126023075,0.350839769
303,Gumel,Babura,0.375325174,0.214522186,0.126023075,0.350839769
304,Guri,Taura,0.53646592,0.440114892,0.368967436,0.583396689
305,Gwaram,Takali,0.756756757,0.47826087,0.321428571,0.775510204
306,Gwiwa,Babura,0.375325174,0.214522186,0.126023075,0.350839769
307,Hadejia,Taura,0.53646592,0.440114892,0.368967436,0.583396689
308,Kaugama,Taura,0.53646592,0.440114892,0.368967436,0.583396689
309,Kazaure,Babura,0.375325174,0.214522186,0.126023075,0.350839769
310,Kiri Kasamma,Taura,0.53646592,0.440114892,0.368967436,0.583396689
311,Tsanyawa,Gwarzo,0.420322503,0.246546353,0.19216149,0.376232249
312,Miga,Taura,0.53646592,0.440114892,0.368967436,0.583396689
