LGA,pop,anc_total,preg_llin,coverage,block_initial,kill_rate,simday,duration,year,type
Akko,493042.26,59005,5460,0.092535,0.53,0.484262319,2920,-1,2018,antenatal
Akoko North East,250091.29,15673,2797,0.17846,0.53,0.415864752,2920,-1,2018,antenatal
Akoko North West,304816.27,7953,2466,0.310072,0.53,0.391306023,2920,-1,2018,antenatal
Akoko South East,117519.77,4449,1609,0.361654,0.53,0.416261699,2920,-1,2018,antenatal
Akoko South West,327192.16,20126,4045,0.200984,0.53,0.402871779,2920,-1,2018,antenatal
Akoko-Edo,360851.83,10320,1751,0.169671,0.53,0.381512482,2920,-1,2018,antenatal
Akpabuyo,382460.28,6770,2912,0.430133,0.53,0.473654536,2920,-1,2018,antenatal
Akuku Toru,233017.09,754,321,0.425729,0.53,0.383835506,2920,-1,2018,antenatal
Akure North,187611.6,18727,3491,0.186415,0.53,0.408011613,2920,-1,2018,antenatal
Akure South,503594.43,73995,3489,0.047152,0.53,0.377201065,2920,-1,2018,antenatal
Akwanga,161724.06,20757,1008,0.048562,0.53,0.545084849,2920,-1,2018,antenatal
Albasu,280741.77,21509,4972,0.231159,0.53,0.70899614,2920,-1,2018,antenatal
Aleiro,95163.458,9822,1000,0.101812,0.53,0.6684684,2920,-1,2018,antenatal
Alimosho,1864618.6,144151,3281,0.022761,0.53,0.485561977,2920,-1,2018,antenatal
Alkaleri,492041.46,62781,5920,0.094296,0.53,0.588317246,2920,-1,2018,antenatal
Amuwo-Odofin,464312.24,43673,754,0.017265,0.53,0.471534679,2920,-1,2018,antenatal
Anambra East,213573.49,8604,2381,0.276732,0.53,0.439848897,2920,-1,2018,antenatal
Anambra West,233192.37,7367,2201,0.298765,0.53,0.453035277,2920,-1,2018,antenatal
Anaocha,396976.94,10268,1671,0.162739,0.53,0.476153753,2920,-1,2018,antenatal
Andoni,315171.87,969,81,0.083591,0.53,0.28881499,2920,-1,2018,antenatal
Aninri,190657.02,1608,0,0,0.53,0.484335586,2920,-1,2018,antenatal
Aniocha North,152808.91,4226,962,0.227638,0.53,0.434693912,2920,-1,2018,antenatal
Aniocha South,205188.99,6121,553,0.090345,0.53,0.387055583,2920,-1,2018,antenatal
