,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
291,Unuimo,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
292,Auyo,Taura,0.489361702,0.5,0.461538462,0.630769231
293,Babura,Babura,0.912280702,0.769230769,0.875,0.893939394
294,Biriniwa,Taura,0.662736395,0.562919518,0.547008309,0.677597534
295,Malam Madori,Taura,0.785714286,0.615384615,0.575757576,0.867924528
296,Birni Kudu,Takali,0.478910289,0.359165368,0.355340039,0.45642551
297,Buji,Takali,0.478910289,0.359165368,0.355340039,0.45642551
298,Jahun,Taura,0.662736395,0.562919518,0.547008309,0.677597534
299,Dutse,Takali,0.638888889,0.823529412,0.615384615,0.628571429
300,Gagarawa,Taura,0.662736395,0.562919518,0.547008309,0.677597534
301,Kafin Hausa,Taura,0.662736395,0.562919518,0.547008309,0.677597534
302,Garki,Babura,0.848484848,0.772727273,0.815789474,0.736842105
303,Gumel,Babura,0.724492218,0.689711847,0.730814444,0.700536218
304,Guri,Taura,0.8,0.8,0.714285714,0.84
305,Gwaram,Takali,0.478910289,0.359165368,0.355340039,0.45642551
306,Gwiwa,Babura,0.724492218,0.689711847,0.730814444,0.700536218
307,Hadejia,Taura,0.662736395,0.562919518,0.547008309,0.677597534
308,Kaugama,Taura,0.662736395,0.562919518,0.547008309,0.677597534
309,Kazaure,Babura,0.711864407,0.648648649,0.592592593,0.720588235
310,Kiri Kasamma,Taura,0.662736395,0.562919518,0.547008309,0.677597534
311,Tsanyawa,Gwarzo,0.768688329,0.578433589,0.500204141,0.5987864
312,Miga,Taura,0.662736395,0.562919518,0.547008309,0.677597534
313,Ringim,Taura,0.662736395,0.562919518,0.547008309,0.677597534
314,Roni,Babura,0.76744186,0.85,0.84,0.850746269
315,Taura,Taura,0.662736395,0.562919518,0.547008309,0.677597534
316,Yankwashi,Babura,0.724492218,0.689711847,0.730814444,0.700536218
317,kiyawa,Takali,0.478910289,0.359165368,0.355340039,0.45642551
318,Dutsi,Rimi,0.57241651,0.492015646,0.485688185,0.573568788
319,Birnin-Gwari,Giwa,0.668094454,0.548522993,0.476187241,0.566872238
320,Kajuru,Soba,0.676617347,0.627099248,0.519917641,0.564798617
321,Chikun,Soba,0.676617347,0.627099248,0.519917641,0.564798617
322,Giwa,Giwa,0.668094454,0.548522993,0.476187241,0.566872238
323,Koko/Besse,Birnin Kebbi,0.395379477,0.281900326,0.286395337,0.414711526
324,Igabi,Soba,0.707317073,0.473684211,0.32,0.611111111
325,Ikara,Soba,0.676617347,0.627099248,0.519917641,0.564798617
326,Jaba,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
327,Ogori/Mangongo,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
328,Jema'a,Soba,0.676617347,0.627099248,0.519917641,0.564798617
329,Kachia,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
330,Kaduna North,Soba,0.586206897,0.5625,0.269230769,0.360655738
331,Kudan,Giwa,0.668094454,0.548522993,0.476187241,0.566872238
332,Kagarko,Oke-Ero,0.409090909,0.736842105,0.64516129,0.708333333
333,Kaura,Soba,0.676617347,0.627099248,0.519917641,0.564798617
334,Kauru,Soba,0.676617347,0.627099248,0.519917641,0.564798617
335,Kubau,Soba,0.676617347,0.627099248,0.519917641,0.564798617
336,Lere,Soba,0.676617347,0.627099248,0.519917641,0.564798617
