"","LGA","p_test","se","Number of Participants"
"257","Ifelodun1",0.257048916407154,0.1121753095186,27
"258","Ifelodun2",0.5,0,2
"259","Ifo",0.0431260134113237,0.0442073428654344,23
"260","Igabi",0.496021617034354,0.0615869087637454,108
"261","Igalamela-Odolu",0,0,7
"262","Igbo-Etiti",0.0704982326344883,0.0196701088564774,20
"263","Igbo-Eze North",0.372722177890449,0.0425394847060764,7
"264","Igbo-Eze South",0.125143074462309,0.0883882318508049,5
"265","Igueben",0.656132136885235,0.151854926873071,2
"266","Ihiala",0.269230785098821,0.143825936210818,15
"267","Ijebu East",0.25,0,6
"268","Ijebu North",0.226366568076454,0.0176248484181351,8
"269","Ijebu North East",0.4,2.77555756156289e-17,3
"270","Ijebu ode",0,0,14
"271","Ijero",0.286077416499859,0.0289326269645972,8
"272","Ijumu",0.333333333333333,5.55111512312578e-17,2
"273","Ika North East",0.25,2.77555756156289e-17,4
"274","Ika South",0,0,4
"275","Ikara",0.511111136064623,0.131484525479837,26
"276","Ikeduru",0.228339104031763,0.179782354722846,3
"277","Ikeja",0,0,6
"278","Ikenne",0.111111111111111,0,6
"279","Ikere",0.4,1.38777878078145e-17,3
"280","Ikole",0.259453084765579,0.0558833183819671,12
"281","Ikom",0,0,3
"282","Ikono",0,0,6
"283","Ikorodu",0,0,36
"284","Ikot Abasi",0.25,2.77555756156289e-17,7
"285","Ikot Ekpene",0.202159277359436,0.112506567902621,7
"286","Ikpoba-Okha",0,0,10
"287","Ikwerre",0.375325070550174,0.173954689458704,33
"288","Ikwo",0.130608004032259,0.0833660818439018,34
"289","Ikwuano",0,0,1
"290","Ila",0.400028934129873,0.0565767191989595,11
"291","Ilaje",0.2,2.77555756156289e-17,5
"292","Ile-Oluji-Okeigbo",0.307302383793513,0.167489376108694,9
"293","Ilemeji",0.6,2.77555756156289e-17,1
"294","Ilesha East",0.333333333333333,5.55111512312579e-17,3
"295","Ilesha West",0,0,13
"296","Illela",0.377949746588332,0.0869354967827133,27
"297","Ilorin East",0,0,9
"298","Ilorin West",0.152173882138915,0.13075024814834,18
"299","Imeko-Afon",0.75,0,1
"300","Ingawa",0.111111111111111,0,12
"301","Ini",0.333333333333333,5.55111512312578e-17,5
"302","Ipokia",0.75,0,10
"303","Irele",0.333333333333333,5.55111512312578e-17,2
"304","Irepodun/Ifelodun",0,0,1
"305","Irepodun1",0,0,1
"306","Irepodun2",0.166666666666667,1.38777878078145e-17,11
"307","Irewole",0.274261598610584,0.0112123086978824,12
"308","Isa",0,0,7
"309","Ise/Orun",0.75,7.93813708422322e-17,10
"310","Iseyin",0.154255344058759,0.109970611840552,34
"311","Ishielu",0.303977112271709,0.0496106963851342,23
