,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
127,Gwer West,Keana,2020,Gwer West,0.8,0.8,0.866666667,0.8,1,august,223,Standard 2020,0.423749809,0.478971197,0.53
128,Gwer West,Keana,2023,Gwer West,0.8,0.8,0.866666667,0.8,2,august,1318,Standard 2020,0.423749809,0.478971197,0.53
129,Katsina-Ala,Keana,2020,Katsina-Ala,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.338062239,0.408859386,0.53
130,Katsina-Ala,Keana,2023,Katsina-Ala,0.8,0.8,0.8,0.8,2,august,1318,Standard 2020,0.338062239,0.408859386,0.53
131,Konshisha,Oke-Ero,2020,Konshisha,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.393916167,0.45479219,0.53
132,Konshisha,Oke-Ero,2023,Konshisha,0.8,0.8,0.8,0.8,2,july,1281,Standard 2020,0.393916167,0.45479219,0.53
133,Logo,Keana,2020,Logo,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.41751013,0.473946946,0.53
134,Logo,Keana,2023,Logo,0.8,0.8,0.8,0.8,2,august,1318,Standard 2020,0.41751013,0.473946946,0.53
135,Makurdi,Keana,2020,Makurdi,0.805491132,0.8,0.8,0.8,1,august,223,Standard 2020,0.369068798,0.434420372,0.53
136,Makurdi,Keana,2023,Makurdi,0.805491132,0.8,0.8,0.8,2,august,1318,Standard 2020,0.369068798,0.434420372,0.53
137,Obi1,Keana,2020,Obi1,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.390472194,0.451978665,0.53
138,Obi1,Keana,2023,Obi1,0.8,0.8,0.8,0.8,2,august,1318,Standard 2020,0.390472194,0.451978665,0.53
139,Ogbadibo,Owan East,2020,Ogbadibo,0.8,0.8,0.8,0.8,1,march,131,Standard 2020,0.336392711,0.407482111,0.53
140,Ogbadibo,Owan East,2023,Ogbadibo,0.8,0.8,0.8,0.8,2,march,1226,Standard 2020,0.336392711,0.407482111,0.53
141,Ohimini,Akinyele,2020,Ohimini,0.8,0.8,0.8,0.8,1,may,131,Standard 2020,0.349595567,0.418374369,0.53
142,Ohimini,Akinyele,2023,Ohimini,0.8,0.8,0.8,0.8,2,may,1226,Standard 2020,0.349595567,0.418374369,0.53
143,Oju,Oke-Ero,2020,Oju,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.409720848,0.467648858,0.53
144,Oju,Oke-Ero,2023,Oju,0.8,0.8,0.8,0.8,2,july,1281,Standard 2020,0.409720848,0.467648858,0.53
145,Okpokwu,Akinyele,2020,Okpokwu,0.8,0.8,0.8,0.8,1,may,131,Standard 2020,0.347201019,0.416399046,0.53
146,Okpokwu,Akinyele,2023,Okpokwu,0.8,0.8,0.8,0.8,2,may,1226,Standard 2020,0.347201019,0.416399046,0.53
147,Oturkpo,Owan East,2020,Oturkpo,0.8,0.8,0.8,0.8,1,march,131,Standard 2020,0.406479871,0.465020433,0.53
148,Oturkpo,Owan East,2023,Oturkpo,0.8,0.8,0.8,0.8,2,march,1226,Standard 2020,0.406479871,0.465020433,0.53
