adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Borno,Ngala,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Borno,Ngala,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Borno,Nganzai,SMC,Gawabawa,august,579,2021,1,-1,1,0.6,5
Borno,Nganzai,SMC,Gawabawa,august,609,2021,2,-1,1,0.6,5
Borno,Nganzai,SMC,Gawabawa,august,639,2021,3,-1,1,0.6,5
Borno,Nganzai,SMC,Gawabawa,august,669,2021,4,-1,1,0.6,5
Borno,Shani,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Borno,Shani,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Borno,Shani,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Borno,Shani,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Jigawa,Auyo,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Auyo,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Auyo,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Auyo,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Babura,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Babura,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Babura,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Babura,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Biriniwa,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Biriniwa,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Biriniwa,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Biriniwa,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Birni Kudu,SMC,Takali,september,610,2021,1,-1,1,0.6,5
Jigawa,Birni Kudu,SMC,Takali,september,640,2021,2,-1,1,0.6,5
Jigawa,Birni Kudu,SMC,Takali,september,670,2021,3,-1,1,0.6,5
Jigawa,Birni Kudu,SMC,Takali,september,700,2021,4,-1,1,0.6,5
Jigawa,Buji,SMC,Takali,september,610,2021,1,-1,1,0.6,5
Jigawa,Buji,SMC,Takali,september,640,2021,2,-1,1,0.6,5
Jigawa,Buji,SMC,Takali,september,670,2021,3,-1,1,0.6,5
Jigawa,Buji,SMC,Takali,september,700,2021,4,-1,1,0.6,5
Jigawa,Dutse,SMC,Takali,september,610,2021,1,-1,1,0.6,5
Jigawa,Dutse,SMC,Takali,september,640,2021,2,-1,1,0.6,5
Jigawa,Dutse,SMC,Takali,september,670,2021,3,-1,1,0.6,5
Jigawa,Dutse,SMC,Takali,september,700,2021,4,-1,1,0.6,5
Jigawa,Gagarawa,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Gagarawa,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Gagarawa,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Gagarawa,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Garki,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Garki,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Garki,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Garki,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Gumel,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Gumel,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Gumel,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Gumel,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Guri,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Guri,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Guri,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Guri,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Gwaram,SMC,Takali,september,610,2021,1,-1,1,0.6,5
Jigawa,Gwaram,SMC,Takali,september,640,2021,2,-1,1,0.6,5
Jigawa,Gwaram,SMC,Takali,september,670,2021,3,-1,1,0.6,5
Jigawa,Gwaram,SMC,Takali,september,700,2021,4,-1,1,0.6,5
Jigawa,Gwiwa,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Gwiwa,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Gwiwa,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Gwiwa,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Hadejia,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Hadejia,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Hadejia,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Hadejia,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Jahun,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Jahun,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Jahun,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Jahun,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Kafin Hausa,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Kafin Hausa,SMC,Taura,july,580,2021,2,-1,1,0.6,5
