LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Funtua,Gwarzo,0.223824311,0.223824311,0.637,0,-1,2018
Gabasawa,Taura,0.227406453,0.227406453,0.637,0,-1,2018
Gada,Gawabawa,0.138620877,0.138620877,0.637,0,-1,2018
Gagarawa,Taura,0.227406453,0.227406453,0.637,0,-1,2018
Gamawa,Gwarzo,0.223824311,0.223824311,0.637,0,-1,2018
Ganaye,Alkaleri,0.304365819,0.304365819,0.637,0,-1,2018
Ganjuwa,Darazo,0.132374108,0.132374108,0.637,0,-1,2018
Garki,Babura,0.8,0.8,0.637,0,-1,2018
Garko,Gwarzo,0.223824311,0.223824311,0.637,0,-1,2018
Garum Mallam,Gwarzo,0.2,0.2,0.637,0,-1,2018
Gashaka,Oru West,0.534400656,0.534400656,0.637,0,-1,2018
Gassol,Keana,0.111977379,0.111977379,0.637,0,-1,2018
Gawabawa,Gawabawa,0.138620877,0.138620877,0.637,0,-1,2018
Gaya,Gwarzo,0.216666667,0.216666667,0.637,0,-1,2018
Gbako,Oke-Ero,0.600000001,0.600000001,0.637,0,-1,2018
Gboko,Keana,0.182365732,0.182365732,0.637,0,-1,2018
Gboyin,Obubra,0.570053375,0.570053375,0.637,0,-1,2018
Geidam,Babura,0.454060567,0.454060567,0.637,0,-1,2018
Gezawa,Gwarzo,0.325,0.325,0.637,0,-1,2018
Giade,Darazo,0.185714286,0.185714286,0.637,0,-1,2018
Gireri,Darazo,0.105289757,0.105289757,0.637,0,-1,2018
Giwa,Giwa,0.169660832,0.169660832,0.637,0,-1,2018
Gokana,Nsit Ubium,0.236745016,0.236745016,0.637,0,-1,2018
Gombe,Alkaleri,0.151020422,0.151020422,0.637,0,-1,2018
Gombi,Alkaleri,0.27148585,0.27148585,0.637,0,-1,2018
Goronyo,Gawabawa,0.138620877,0.138620877,0.637,0,-1,2018
Gubio,Gawabawa,0.138620877,0.138620877,0.637,0,-1,2018
Gudu,Gawabawa,0.138620877,0.138620877,0.637,0,-1,2018
Gujba,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Gulani,Alkaleri,0.304365819,0.304365819,0.637,0,-1,2018
Guma,Keana,0.410103138,0.410103138,0.637,0,-1,2018
Gumel,Babura,0.325,0.325,0.637,0,-1,2018
Gummi,Birnin Kebbi,0.548932384,0.548932384,0.637,0,-1,2018
Gurara,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Guri,Taura,0.227406453,0.227406453,0.637,0,-1,2018
Gusau,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Guyuk,Alkaleri,0.624918265,0.624918265,0.637,0,-1,2018
Guzamala,Babura,0.454060567,0.454060567,0.637,0,-1,2018
Gwagwalada,Keana,0.087907694,0.087907694,0.637,0,-1,2018
Gwale,Alkaleri,0.597307971,0.597307971,0.637,0,-1,2018
Gwandu,Birnin Kebbi,0.688235295,0.688235295,0.637,0,-1,2018
Gwaram,Takali,0.290548352,0.290548352,0.637,0,-1,2018
Gwarzo,Gwarzo,0.52,0.52,0.637,0,-1,2018
Gwer East,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Gwer West,Keana,0.433333333,0.433333333,0.637,0,-1,2018
Gwiwa,Babura,0.433333333,0.433333333,0.637,0,-1,2018
Gwoza,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Hadejia,Taura,0.227406453,0.227406453,0.637,0,-1,2018
Hawul,Darazo,0.288000001,0.288000001,0.637,0,-1,2018
