LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Tsafe,Takali,NA,0.040981187,0.040981187,0.588,0,-1,2018
Tsanyawa,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Tudun Wada,Gwarzo,NA,0.105488321,0.105488321,0.588,0,-1,2018
Tureta,Birnin Kebbi,NA,0.127089654,0.127089654,0.588,0,-1,2018
Udenu,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018
Udi,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Udu,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Udung Uko,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Ughelli North,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Ughelli South,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Ugwunagbo,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Uhunmwonde,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ukanafun,Nsit Ubium,NA,0.48,0.48,0.588,0,-1,2018
Ukum,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Ukwa East,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Ukwa West,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Ukwuani,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Umuahia North,Oru West,NA,0.76911474,0.76911474,0.588,0,-1,2018
Umuahia South,Ngor-Okpala,NA,0.6,0.6,0.588,0,-1,2018
Umu-Neochi,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Ungogo,Taura,NA,0.428936119,0.428936119,0.588,0,-1,2018
Unuimo,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Uruan,Nsit Ubium,NA,0.8,0.8,0.588,0,-1,2018
Urue-Offong-Oruko,Nsit Ubium,NA,0.48,0.48,0.588,0,-1,2018
Ushongo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ussa,Oru West,NA,0.3,0.3,0.588,0,-1,2018
Uvwie,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Uyo,Nsit Ubium,NA,0.474294368,0.474294368,0.588,0,-1,2018
Uzo-Uwani,Uzo-Uwani,NA,0.259452626,0.259452626,0.588,0,-1,2018
Vandeikya,Oke-Ero,NA,0.152042611,0.152042611,0.588,0,-1,2018
Wamako,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Wamba,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Warawa,Gwarzo,NA,0.063157895,0.063157895,0.588,0,-1,2018
Warji,Takali,NA,0.184615385,0.184615385,0.588,0,-1,2018
Warri North,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Warri South,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Warri South West,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Wasagu-Danko,Alkaleri,NA,0.514285715,0.514285715,0.588,0,-1,2018
Wase,Alkaleri,NA,0.055813933,0.055813933,0.588,0,-1,2018
Wudil,Gwarzo,NA,0.148192445,0.148192445,0.588,0,-1,2018
Wukari,Keana,NA,0.277651556,0.277651556,0.588,0,-1,2018
Wurno,Gawabawa,NA,0.070844068,0.070844068,0.588,0,-1,2018
Wushishi,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Yabo,Gawabawa,NA,0.211764706,0.211764706,0.588,0,-1,2018
Yagba East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Yagba West,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Yakurr,Obubra,NA,0.45483864,0.45483864,0.588,0,-1,2018
Yala,Oke-Ero,NA,0.352112677,0.352112677,0.588,0,-1,2018
Yamaltu-Deba,Alkaleri,NA,0.194164403,0.194164403,0.588,0,-1,2018
Yankwashi,Babura,NA,0.571689839,0.571689839,0.588,0,-1,2018
Yauri,Birnin Kebbi,NA,0.799716618,0.799716618,0.588,0,-1,2018
Yenegoa,Isoko South,NA,0.656371691,0.656371691,0.588,0,-1,2018
Yola North,Alkaleri,NA,0.178527602,0.178527602,0.588,0,-1,2018
Yola South,Alkaleri,NA,0.3,0.3,0.588,0,-1,2018
Yorro,Alkaleri,NA,0.129100423,0.129100423,0.588,0,-1,2018
Yunusari,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018
Yusufari,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Zaki,Taura,NA,0.350476201,0.350476201,0.588,0,-1,2018
Zango,Babura,NA,0.423529411,0.423529411,0.588,0,-1,2018
Zango-Kataf,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Zaria,Soba,NA,0.06421701,0.06421701,0.588,0,-1,2018
Zing,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Zurmi,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Zuru,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
