LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday
Birnin Magaji,Zamfara,2023,3,-1,1,0.937605396,5,9,1342
Birnin Magaji,Zamfara,2023,4,-1,1,0.268128162,5,10,1370
Birnin Magaji,Zamfara,2024,1,-1,1,0.854974705,5,7,1646
Birnin Magaji,Zamfara,2024,2,-1,1,0.927487352,5,8,1674
Birnin Magaji,Zamfara,2024,3,-1,1,0.937605396,5,9,1702
Birnin Magaji,Zamfara,2024,4,-1,1,0.268128162,5,10,1730
Birnin Magaji,Zamfara,2025,1,-1,1,0.854974705,5,7,2014
Birnin Magaji,Zamfara,2025,2,-1,1,0.927487352,5,8,2042
Birnin Magaji,Zamfara,2025,3,-1,1,0.937605396,5,9,2070
Birnin Magaji,Zamfara,2025,4,-1,1,0.268128162,5,10,2098
Birni Kudu,Jigawa,2020,2,-1,1,0.973782772,5,8,214
Birni Kudu,Jigawa,2020,3,-1,1,0.975655431,5,9,242
Birni Kudu,Jigawa,2020,4,-1,1,0.653558052,5,10,270
Birni Kudu,Jigawa,2021,2,-1,1,0.973782772,5,8,578
Birni Kudu,Jigawa,2021,3,-1,1,0.975655431,5,9,606
Birni Kudu,Jigawa,2021,4,-1,1,0.653558052,5,10,634
Birni Kudu,Jigawa,2022,2,-1,1,0.973782772,5,8,943
Birni Kudu,Jigawa,2022,3,-1,1,0.975655431,5,9,971
Birni Kudu,Jigawa,2022,4,-1,1,0.653558052,5,10,999
Birni Kudu,Jigawa,2023,2,-1,1,0.973782772,5,8,1314
Birni Kudu,Jigawa,2023,3,-1,1,0.975655431,5,9,1342
Birni Kudu,Jigawa,2023,4,-1,1,0.653558052,5,10,1370
Birni Kudu,Jigawa,2024,2,-1,1,0.973782772,5,8,1674
Birni Kudu,Jigawa,2024,3,-1,1,0.975655431,5,9,1702
Birni Kudu,Jigawa,2024,4,-1,1,0.653558052,5,10,1730
Birni Kudu,Jigawa,2025,2,-1,1,0.973782772,5,8,2042
Birni Kudu,Jigawa,2025,3,-1,1,0.975655431,5,9,2070
Birni Kudu,Jigawa,2025,4,-1,1,0.653558052,5,10,2098
Bodinga,Sokoto,2020,1,-1,1,0.969736842,5,7,186
Bodinga,Sokoto,2020,2,-1,1,0.994736842,5,8,214
Bodinga,Sokoto,2020,3,-1,1,0.992105263,5,9,242
Bodinga,Sokoto,2020,4,-1,1,0.45,5,10,270
Bodinga,Sokoto,2021,1,-1,1,0.969736842,5,7,550
Bodinga,Sokoto,2021,2,-1,1,0.994736842,5,8,578
Bodinga,Sokoto,2021,3,-1,1,0.992105263,5,9,606
Bodinga,Sokoto,2021,4,-1,1,0.45,5,10,634
Bodinga,Sokoto,2022,1,-1,1,0.969736842,5,7,915
Bodinga,Sokoto,2022,2,-1,1,0.994736842,5,8,943
Bodinga,Sokoto,2022,3,-1,1,0.992105263,5,9,971
Bodinga,Sokoto,2022,4,-1,1,0.45,5,10,999
Bodinga,Sokoto,2023,1,-1,1,0.969736842,5,7,1286
Bodinga,Sokoto,2023,2,-1,1,0.994736842,5,8,1314
Bodinga,Sokoto,2023,3,-1,1,0.992105263,5,9,1342
Bodinga,Sokoto,2023,4,-1,1,0.45,5,10,1370
Bodinga,Sokoto,2024,1,-1,1,0.969736842,5,7,1646
Bodinga,Sokoto,2024,2,-1,1,0.994736842,5,8,1674
Bodinga,Sokoto,2024,3,-1,1,0.992105263,5,9,1702
Bodinga,Sokoto,2024,4,-1,1,0.45,5,10,1730
Bodinga,Sokoto,2025,1,-1,1,0.969736842,5,7,2014
Bodinga,Sokoto,2025,2,-1,1,0.994736842,5,8,2042
Bodinga,Sokoto,2025,3,-1,1,0.992105263,5,9,2070
Bodinga,Sokoto,2025,4,-1,1,0.45,5,10,2098
Buji,Jigawa,2020,1,-1,1,0.934456929,5,7,186
Buji,Jigawa,2020,2,-1,1,0.973782772,5,8,214
Buji,Jigawa,2020,3,-1,1,0.975655431,5,9,242
Buji,Jigawa,2020,4,-1,1,0.653558052,5,10,270
Buji,Jigawa,2021,1,-1,1,0.934456929,5,7,550
Buji,Jigawa,2021,2,-1,1,0.973782772,5,8,578
Buji,Jigawa,2021,3,-1,1,0.975655431,5,9,606
Buji,Jigawa,2021,4,-1,1,0.653558052,5,10,634
Buji,Jigawa,2022,1,-1,1,0.934456929,5,7,915
Buji,Jigawa,2022,2,-1,1,0.973782772,5,8,943
Buji,Jigawa,2022,3,-1,1,0.975655431,5,9,971
Buji,Jigawa,2022,4,-1,1,0.653558052,5,10,999
Buji,Jigawa,2023,1,-1,1,0.934456929,5,7,1286
Buji,Jigawa,2023,2,-1,1,0.973782772,5,8,1314
Buji,Jigawa,2023,3,-1,1,0.975655431,5,9,1342
Buji,Jigawa,2023,4,-1,1,0.653558052,5,10,1370
Buji,Jigawa,2024,1,-1,1,0.934456929,5,7,1646
Buji,Jigawa,2024,2,-1,1,0.973782772,5,8,1674
Buji,Jigawa,2024,3,-1,1,0.975655431,5,9,1702
Buji,Jigawa,2024,4,-1,1,0.653558052,5,10,1730
Buji,Jigawa,2025,1,-1,1,0.934456929,5,7,2014
Buji,Jigawa,2025,2,-1,1,0.973782772,5,8,2042
Buji,Jigawa,2025,3,-1,1,0.975655431,5,9,2070
Buji,Jigawa,2025,4,-1,1,0.653558052,5,10,2098
Bukkuyum,Zamfara,2020,1,-1,1,0.854974705,5,7,186
Bukkuyum,Zamfara,2020,2,-1,1,0.927487352,5,8,214
Bukkuyum,Zamfara,2020,3,-1,1,0.937605396,5,9,242
Bukkuyum,Zamfara,2020,4,-1,1,0.268128162,5,10,270
Bukkuyum,Zamfara,2021,1,-1,1,0.854974705,5,7,550
Bukkuyum,Zamfara,2021,2,-1,1,0.927487352,5,8,578
Bukkuyum,Zamfara,2021,3,-1,1,0.937605396,5,9,606
Bukkuyum,Zamfara,2021,4,-1,1,0.268128162,5,10,634
Bukkuyum,Zamfara,2022,1,-1,1,0.854974705,5,7,915
Bukkuyum,Zamfara,2022,2,-1,1,0.927487352,5,8,943
Bukkuyum,Zamfara,2022,3,-1,1,0.937605396,5,9,971
Bukkuyum,Zamfara,2022,4,-1,1,0.268128162,5,10,999
Bukkuyum,Zamfara,2023,1,-1,1,0.854974705,5,7,1286
Bukkuyum,Zamfara,2023,2,-1,1,0.927487352,5,8,1314
