"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"84","Ikot Abasi","Nsit Ubium",2024,"Ikot Abasi",0.452173913,0.600000001,0.39,0.16,2,"june","PBO",0.194063012,0.671004892,0.65,1622
"85","Ikot Ekpene","Ngor-Okpala",2021,"Ikot Ekpene",0.072870837,0.346415832,0.260624165,0.151940481,1,"june","PBO",0.356519334,0.735110776,0.65,527
"86","Ikot Ekpene","Ngor-Okpala",2024,"Ikot Ekpene",0.072870837,0.346415832,0.260624165,0.151940481,2,"june","PBO",0.356519334,0.735110776,0.65,1622
"87","Ini","Ngor-Okpala",2021,"Ini",0.8,0.464285714,0.693333333,0.663265307,1,"june","PBO",0.395911217,0.739797918,0.65,527
"88","Ini","Ngor-Okpala",2024,"Ini",0.8,0.464285714,0.693333333,0.663265307,2,"june","PBO",0.395911217,0.739797918,0.65,1622
"89","Mkpat Enin","Nsit Ubium",2021,"Mkpat Enin",0.783696696,0.493144436,0.437211502,0.494340915,1,"june","PBO",0.225930858,0.694424558,0.65,527
"90","Mkpat Enin","Nsit Ubium",2024,"Mkpat Enin",0.783696696,0.493144436,0.437211502,0.494340915,2,"june","PBO",0.225930858,0.694424558,0.65,1622
"91","Nsit Atai","Nsit Ubium",2021,"Nsit Atai",0.434804084,0.382450966,0.263339795,0.296168328,1,"june","PBO",0.243345201,0.703887208,0.65,527
"92","Nsit Atai","Nsit Ubium",2024,"Nsit Atai",0.434804084,0.382450966,0.263339795,0.296168328,2,"june","PBO",0.243345201,0.703887208,0.65,1622
"93","Nsit Ibom","Nsit Ubium",2021,"Nsit Ibom",0.26,0.1,0.263339795,0.22,1,"june","PBO",0.357951303,0.735313932,0.65,527
"94","Nsit Ibom","Nsit Ubium",2024,"Nsit Ibom",0.26,0.1,0.263339795,0.22,2,"june","PBO",0.357951303,0.735313932,0.65,1622
"95","Nsit Ubium","Nsit Ubium",2021,"Nsit Ubium",0.382352941,0.709090909,0.177272727,0.381034482,1,"june","PBO",0.247213687,0.705735631,0.65,527
"96","Nsit Ubium","Nsit Ubium",2024,"Nsit Ubium",0.382352941,0.709090909,0.177272727,0.381034482,2,"june","PBO",0.247213687,0.705735631,0.65,1622
"97","Awka South","Uzo-Uwani",2020,"Awka South",0.15,0.291338145,0.208065627,0.072222223,1,"june","PBO",0.431794981,0.74281757,0.65,162
"98","Awka South","Uzo-Uwani",2023,"Awka South",0.15,0.291338145,0.208065627,0.072222223,2,"june","PBO",0.431794981,0.74281757,0.65,1257
"99","Obot Akara","Ngor-Okpala",2021,"Obot Akara",0.458823529,0.577777777,0.3,0.387719298,1,"june","PBO",0.376065149,0.737654581,0.65,527
"100","Obot Akara","Ngor-Okpala",2024,"Obot Akara",0.458823529,0.577777777,0.3,0.387719298,2,"june","PBO",0.376065149,0.737654581,0.65,1622
"101","Okobo","Nsit Ubium",2021,"Okobo",0.39,0.288888889,0.590909092,0.378181818,1,"june","PBO",0.269257198,0.714808808,0.65,527
"102","Okobo","Nsit Ubium",2024,"Okobo",0.39,0.288888889,0.590909092,0.378181818,2,"june","PBO",0.269257198,0.714808808,0.65,1622
"103","Onna","Nsit Ubium",2021,"Onna",0.539971558,0.535370736,0.285721925,0.533783515,1,"june","PBO",0.191877243,0.66904259,0.65,527
"104","Onna","Nsit Ubium",2024,"Onna",0.539971558,0.535370736,0.285721925,0.533783515,2,"june","PBO",0.191877243,0.66904259,0.65,1622
"105","Oruk Anam","Nsit Ubium",2021,"Oruk Anam",0.448920832,0.561052652,0.310869493,0.369731111,1,"june","PBO",0.312496984,0.727192018,0.65,527
"106","Oruk Anam","Nsit Ubium",2024,"Oruk Anam",0.448920832,0.561052652,0.310869493,0.369731111,2,"june","PBO",0.312496984,0.727192018,0.65,1622
"107","Ukanafun","Nsit Ubium",2021,"Ukanafun",0.345088415,0.370625384,0.133362423,0.181576126,1,"june","PBO",0.340679142,0.732660403,0.65,527
"108","Ukanafun","Nsit Ubium",2024,"Ukanafun",0.345088415,0.370625384,0.133362423,0.181576126,2,"june","PBO",0.340679142,0.732660403,0.65,1622
"109","Uruan","Nsit Ubium",2021,"Uruan",0.436332247,0.393421106,0.280698006,0.338138865,1,"june","PBO",0.401030149,0.74029001,0.65,527
"110","Uruan","Nsit Ubium",2024,"Uruan",0.436332247,0.393421106,0.280698006,0.338138865,2,"june","PBO",0.401030149,0.74029001,0.65,1622
"111","Urue-Offong/Oruko","Nsit Ubium",2021,"Urue-Offong-Oruko",0.547368422,0.4,0.270833333,0.417857142,1,"june","PBO",0.204236897,0.679485559,0.65,527
"112","Urue-Offong/Oruko","Nsit Ubium",2024,"Urue-Offong-Oruko",0.547368422,0.4,0.270833333,0.417857142,2,"june","PBO",0.204236897,0.679485559,0.65,1622
"113","Ayamelum","Uzo-Uwani",2020,"Ayamelum",0.293800001,0.117254903,0.072994656,0.193366833,1,"june","PBO",0.436497382,0.743147601,0.65,162
"114","Ayamelum","Uzo-Uwani",2023,"Ayamelum",0.293800001,0.117254903,0.072994656,0.193366833,2,"june","PBO",0.436497382,0.743147601,0.65,1257
"115","Uyo","Nsit Ubium",2021,"Uyo",0.246854347,0.100732273,0.141726694,0.160119395,1,"june","PBO",0.399966547,0.74018964,0.65,527
"116","Uyo","Nsit Ubium",2024,"Uyo",0.246854347,0.100732273,0.141726694,0.160119395,2,"june","PBO",0.399966547,0.74018964,0.65,1622
"117","Aguata","Oru West",2020,"Aguata",0.332605612,0.503144816,0.311535632,0.308966046,1,"june","PBO",0.454034567,0.744268911,0.65,162
"118","Aguata","Oru West",2023,"Aguata",0.332605612,0.503144816,0.311535632,0.308966046,2,"june","PBO",0.454034567,0.744268911,0.65,1257
"119","Anambra East","Uzo-Uwani",2020,"Anambra East",0.139285714,0.291338145,0.13,0.045614035,1,"june","PBO",0.375672105,0.737607983,0.65,162
"120","Anambra East","Uzo-Uwani",2023,"Anambra East",0.139285714,0.291338145,0.13,0.045614035,2,"june","PBO",0.375672105,0.737607983,0.65,1257
"121","Anambra West","Uzo-Uwani",2020,"Anambra West",0.422041503,0.481244804,0.345280242,0.361916955,1,"june","PBO",0.39176502,0.739382126,0.65,162
"122","Anambra West","Uzo-Uwani",2023,"Anambra West",0.422041503,0.481244804,0.345280242,0.361916955,2,"june","PBO",0.39176502,0.739382126,0.65,1257
"123","Anaocha","Oru West",2020,"Anaocha",0.23543038,0.161015183,0.198594629,0.136520803,1,"june","PBO",0.420247823,0.741948071,0.65,162
"124","Anaocha","Oru West",2023,"Anaocha",0.23543038,0.161015183,0.198594629,0.136520803,2,"june","PBO",0.420247823,0.741948071,0.65,1257
"125","Dunukofia","Uzo-Uwani",2020,"Dunukofia",0.359432533,0.291338145,0.208065627,0.245494842,1,"june","PBO",0.421451191,0.742042811,0.65,162
"126","Dunukofia","Uzo-Uwani",2023,"Dunukofia",0.359432533,0.291338145,0.208065627,0.245494842,2,"june","PBO",0.421451191,0.742042811,0.65,1257
"127","Ekwusigo","Oru West",2020,"Ekwusigo",0.476666667,0.108333333,0.054166667,0.26440678,1,"june","PBO",0.255572543,0.70945305,0.65,162
"128","Ekwusigo","Oru West",2023,"Ekwusigo",0.476666667,0.108333333,0.054166667,0.26440678,2,"june","PBO",0.255572543,0.70945305,0.65,1257
"129","Idemili North","Uzo-Uwani",2020,"Idemili North",0.381084781,0.284705503,0.14193595,0.252460138,1,"june","PBO",0.422797782,0.742147653,0.65,162
"130","Idemili North","Uzo-Uwani",2023,"Idemili North",0.381084781,0.284705503,0.14193595,0.252460138,2,"june","PBO",0.422797782,0.742147653,0.65,1257
"131","Idemili South","Oru West",2020,"Idemili South",0.239639397,0.152341933,0.118958562,0.212286478,1,"june","PBO",0.377378695,0.737809061,0.65,162
"132","Idemili South","Oru West",2023,"Idemili South",0.239639397,0.152341933,0.118958562,0.212286478,2,"june","PBO",0.377378695,0.737809061,0.65,1257
"133","Ihiala","Oru West",2020,"Ihiala",0.261214948,0.299731905,0.244017562,0.398529411,1,"june","PBO",0.199598953,0.675748907,0.65,162
"134","Ihiala","Oru West",2023,"Ihiala",0.261214948,0.299731905,0.244017562,0.398529411,2,"june","PBO",0.199598953,0.675748907,0.65,1257
"135","Njikoka","Uzo-Uwani",2020,"Njikoka",0.371428572,0.217106305,0.253546055,0.195237212,1,"june","PBO",0.436915256,0.743176293,0.65,162
"136","Njikoka","Uzo-Uwani",2023,"Njikoka",0.371428572,0.217106305,0.253546055,0.195237212,2,"june","PBO",0.436915256,0.743176293,0.65,1257
"137","Nnewi North","Oru West",2020,"Nnewi North",0.328758242,0.293730562,0.198594629,0.282944862,1,"june","PBO",0.308642745,0.726310499,0.65,162
"138","Nnewi North","Oru West",2023,"Nnewi North",0.328758242,0.293730562,0.198594629,0.282944862,2,"june","PBO",0.308642745,0.726310499,0.65,1257
"139","Nnewi South","Oru West",2020,"Nnewi South",0.499671908,0.557142858,0.31806626,0.326634515,1,"june","PBO",0.303374646,0.725045144,0.65,162
"140","Nnewi South","Oru West",2023,"Nnewi South",0.499671908,0.557142858,0.31806626,0.326634515,2,"june","PBO",0.303374646,0.725045144,0.65,1257
"141","Ogbaru","Ahoada West",2020,"Ogbaru",0.45,0.346666667,0.472727273,0.286764706,1,"may","PBO",0.230996863,0.697383872,0.65,131
"142","Ogbaru","Ahoada West",2023,"Ogbaru",0.45,0.346666667,0.472727273,0.286764706,2,"may","PBO",0.230996863,0.697383872,0.65,1226
"143","Onitsha North","Uzo-Uwani",2020,"Onitsha North",0.039393939,0.291338145,0.208065627,0.03880597,1,"june","PBO",0.382531956,0.738396974,0.65,162
"144","Onitsha North","Uzo-Uwani",2023,"Onitsha North",0.039393939,0.291338145,0.208065627,0.03880597,2,"june","PBO",0.382531956,0.738396974,0.65,1257
