LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round
Batagarawa,Rimi,NA,0.396349649,0.396349649,468,821,2021,1
Batagarawa,Rimi,NA,0.419622373,0.419622373,1289,762,2023,2
Batagarawa,Rimi,NA,0.442895096,0.442895096,2051,140,2025,3
Batsari,Rimi,NA,0.356606056,0.356606056,468,821,2021,1
Batsari,Rimi,NA,0.37987878,0.37987878,1289,762,2023,2
Batsari,Rimi,NA,0.403151503,0.403151503,2051,140,2025,3
Bauchi,Alkaleri,NA,0.067120208,0.067120208,468,821,2021,1
Bauchi,Alkaleri,NA,0.107162924,0.107162924,1289,762,2023,2
Bauchi,Alkaleri,NA,0.14720564,0.14720564,2051,140,2025,3
Baure,Babura,NA,0.422760995,0.422760995,468,821,2021,1
Baure,Babura,NA,0.488379132,0.488379132,1289,762,2023,2
Baure,Babura,NA,0.55399727,0.55399727,2051,140,2025,3
Bayo,Alkaleri,NA,0.540042716,0.540042716,468,821,2021,1
Bayo,Alkaleri,NA,0.580085432,0.580085432,1289,762,2023,2
Bayo,Alkaleri,NA,0.620128148,0.620128148,2051,140,2025,3
Bebeji,Gwarzo,NA,0.208235286,0.208235286,468,821,2021,1
Bebeji,Gwarzo,NA,0.244298024,0.244298024,1289,762,2023,2
Bebeji,Gwarzo,NA,0.280360763,0.280360763,2051,140,2025,3
Bekwara,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Bekwara,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Bekwara,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Bende,Ngor-Okpala,NA,0.229047005,0.229047005,468,821,2021,1
Bende,Ngor-Okpala,NA,0.282168206,0.282168206,1289,762,2023,2
Bende,Ngor-Okpala,NA,0.335289407,0.335289407,2051,140,2025,3
Biase,Ngor-Okpala,NA,0.641149512,0.641149512,468,821,2021,1
Biase,Ngor-Okpala,NA,0.694270713,0.694270713,1289,762,2023,2
Biase,Ngor-Okpala,NA,0.747391914,0.747391914,2051,140,2025,3
Bichi,Gwarzo,NA,0.208235286,0.208235286,468,821,2021,1
Bichi,Gwarzo,NA,0.244298024,0.244298024,1289,762,2023,2
Bichi,Gwarzo,NA,0.280360763,0.280360763,2051,140,2025,3
Bida,Oke-Ero,NA,0.530944588,0.530944588,468,821,2021,1
Bida,Oke-Ero,NA,0.561889176,0.561889176,1289,762,2023,2
Bida,Oke-Ero,NA,0.592833764,0.592833764,2051,140,2025,3
Billiri,Alkaleri,NA,0.373376049,0.373376049,468,821,2021,1
Billiri,Alkaleri,NA,0.413418765,0.413418765,1289,762,2023,2
Billiri,Alkaleri,NA,0.453461481,0.453461481,2051,140,2025,3
Bindawa,Rimi,NA,0.123272723,0.123272723,468,821,2021,1
Bindawa,Rimi,NA,0.146545447,0.146545447,1289,762,2023,2
Bindawa,Rimi,NA,0.16981817,0.16981817,2051,140,2025,3
Binji,Gawabawa,NA,0.262277906,0.262277906,468,821,2021,1
Binji,Gawabawa,NA,0.274555812,0.274555812,1289,762,2023,2
Binji,Gawabawa,NA,0.286833718,0.286833718,2051,140,2025,3
Biriniwa,Taura,NA,0.197111833,0.197111833,468,821,2021,1
Biriniwa,Taura,NA,0.227556999,0.227556999,1289,762,2023,2
Biriniwa,Taura,NA,0.258002165,0.258002165,2051,140,2025,3
Birni Kudu,Takali,NA,0.262119609,0.262119609,468,821,2021,1
Birni Kudu,Takali,NA,0.300256135,0.300256135,1289,762,2023,2
Birni Kudu,Takali,NA,0.338392661,0.338392661,2051,140,2025,3
Birnin Kebbi,Birnin Kebbi,NA,0.636570518,0.636570518,468,821,2021,1
Birnin Kebbi,Birnin Kebbi,NA,0.70020133,0.70020133,1289,762,2023,2
Birnin Kebbi,Birnin Kebbi,NA,0.763832141,0.763832141,2051,140,2025,3
Birnin Magaji,Rimi,NA,0.233268295,0.233268295,468,821,2021,1
Birnin Magaji,Rimi,NA,0.256541019,0.256541019,1289,762,2023,2
Birnin Magaji,Rimi,NA,0.279813742,0.279813742,2051,140,2025,3
Birnin-Gwari,Giwa,NA,0.167464844,0.167464844,468,821,2021,1
Birnin-Gwari,Giwa,NA,0.204421355,0.204421355,1289,762,2023,2
Birnin-Gwari,Giwa,NA,0.241377867,0.241377867,2051,140,2025,3
Biu,Darazo,NA,0.522999037,0.522999037,468,821,2021,1
Biu,Darazo,NA,0.545998075,0.545998075,1289,762,2023,2
Biu,Darazo,NA,0.568997112,0.568997112,2051,140,2025,3
