LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,start_day_override 
Abeokuta North,Owan East,NA,0.568121164,0.568121164,1077,219,2023,1
Abeokuta North,Owan East,NA,0.578450639,0.578450639,1296,136,2023,1
Abeokuta North,Owan East,NA,0.774710678,0.774710678,1432,218,2024,1
Abeokuta North,Owan East,NA,0.8,0.8,1650,151,2024,1
Abeokuta North,Owan East,NA,0.8,0.8,1801,185,2025,1
Abeokuta North,Owan East,NA,0.8,0.8,1986,183,2025,1
Abeokuta South,Uzo-Uwani,NA,0.793442604,0.793442604,0,196,2020,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,196,154,2020,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,350,212,2020,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,562,154,2021,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,716,202,2022,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,918,159,2022,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1077,219,2023,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1296,136,2023,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1432,218,2024,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,1
Abi,Obubra,NA,0.145161293,0.145161293,0,196,2020,1
Abi,Obubra,NA,0.304838715,0.304838715,196,154,2020,1
Abi,Obubra,NA,0.769354853,0.769354853,350,212,2020,1
Abi,Obubra,NA,0.8,0.8,562,154,2021,1
Abi,Obubra,NA,0.8,0.8,716,202,2022,1
Abi,Obubra,NA,0.8,0.8,918,159,2022,1
Abi,Obubra,NA,0.8,0.8,1077,219,2023,1
Abi,Obubra,NA,0.8,0.8,1296,136,2023,1
Abi,Obubra,NA,0.8,0.8,1432,218,2024,1
Abi,Obubra,NA,0.8,0.8,1650,151,2024,1
Abi,Obubra,NA,0.8,0.8,1801,185,2025,1
Abi,Obubra,NA,0.8,0.8,1986,183,2025,1
Aboh-Mbaise,Ngor-Okpala,NA,0.375,0.375,0,196,2020,1
Aboh-Mbaise,Ngor-Okpala,NA,0.39375,0.39375,196,154,2020,1
Aboh-Mbaise,Ngor-Okpala,NA,0.3975,0.3975,350,212,2020,1
Aboh-Mbaise,Ngor-Okpala,NA,0.40125,0.40125,562,154,2021,1
Aboh-Mbaise,Ngor-Okpala,NA,0.405,0.405,716,202,2022,1
Aboh-Mbaise,Ngor-Okpala,NA,0.40875,0.40875,918,159,2022,1
Aboh-Mbaise,Ngor-Okpala,NA,0.4125,0.4125,1077,219,2023,1
