,LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round
170,Ado,Akinyele,NA,0.171296311,0.171296311,0.49,0,196,2020,1,1
171,Ado,Akinyele,NA,0.368715309,0.368715309,0.539,196,154,2020,1,2
172,Ado,Akinyele,NA,0.374042625,0.374042625,0.588,350,212,2021,1,3
173,Ado,Akinyele,NA,0.562691252,0.562691252,0.637,562,154,2021,1,4
174,Ado,Akinyele,NA,0.569800049,0.569800049,0.686,716,202,2022,1,5
175,Ado,Akinyele,NA,0.576943105,0.576943105,0.735,918,159,2022,1,6
176,Ado,Akinyele,NA,0.772546363,0.772546363,0.784,1077,219,2023,1,7
177,Ado,Akinyele,NA,0.790429697,0.790429697,0.8,1296,136,2023,1,8
178,Ado,Akinyele,NA,0.8,0.8,0.8,1432,218,2024,1,9
179,Ado,Akinyele,NA,0.8,0.8,0.8,1650,151,2024,1,10
180,Ado,Akinyele,NA,0.8,0.8,0.8,1801,185,2025,1,11
181,Ado,Akinyele,NA,0.8,0.8,0.8,1986,183,2025,1,12
182,Ado,Akinyele,NA,0.8,0.8,0.8,0,-1,2025,1,13
183,Ado Ekiti,Owan East,NA,0.278942779,0.278942779,0.49,0,196,2020,1,1
184,Ado Ekiti,Owan East,NA,0.292889918,0.292889918,0.539,196,154,2020,1,2
185,Ado Ekiti,Owan East,NA,0.295679346,0.295679346,0.588,350,212,2021,1,3
186,Ado Ekiti,Owan East,NA,0.298468774,0.298468774,0.637,562,154,2021,1,4
187,Ado Ekiti,Owan East,NA,0.301258201,0.301258201,0.686,716,202,2022,1,5
188,Ado Ekiti,Owan East,NA,0.304047629,0.304047629,0.735,918,159,2022,1,6
189,Ado Ekiti,Owan East,NA,0.306837057,0.306837057,0.784,1077,219,2023,1,7
190,Ado Ekiti,Owan East,NA,0.312415912,0.312415912,0.8,1296,136,2023,1,8
191,Ado Ekiti,Owan East,NA,0.418414169,0.418414169,0.8,1432,218,2024,1,9
192,Ado Ekiti,Owan East,NA,0.557885558,0.557885558,0.8,1650,151,2024,1,10
193,Ado Ekiti,Owan East,NA,0.697356948,0.697356948,0.8,1801,185,2025,1,11
194,Ado Ekiti,Owan East,NA,0.8,0.8,0.8,1986,183,2025,1,12
195,Ado Ekiti,Owan East,NA,0.8,0.8,0.8,0,-1,2025,1,13
196,Ado-Odo-Ota,Uzo-Uwani,NA,0.420192485,0.420192485,0.49,0,196,2020,1,1
197,Ado-Odo-Ota,Uzo-Uwani,NA,0.441202109,0.441202109,0.539,196,154,2020,1,2
198,Ado-Odo-Ota,Uzo-Uwani,NA,0.445404034,0.445404034,0.588,350,212,2021,1,3
199,Ado-Odo-Ota,Uzo-Uwani,NA,0.449605959,0.449605959,0.637,562,154,2021,1,4
200,Ado-Odo-Ota,Uzo-Uwani,NA,0.453807884,0.453807884,0.686,716,202,2022,1,5
201,Ado-Odo-Ota,Uzo-Uwani,NA,0.458009809,0.458009809,0.735,918,159,2022,1,6
202,Ado-Odo-Ota,Uzo-Uwani,NA,0.462211734,0.462211734,0.784,1077,219,2023,1,7
203,Ado-Odo-Ota,Uzo-Uwani,NA,0.470615583,0.470615583,0.8,1296,136,2023,1,8
204,Ado-Odo-Ota,Uzo-Uwani,NA,0.630288728,0.630288728,0.8,1432,218,2024,1,9
205,Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,0.8,1650,151,2024,1,10
206,Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,0.8,1801,185,2025,1,11
207,Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,0.8,1986,183,2025,1,12
208,Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,0.8,0,-1,2025,1,13
209,Afijio,Akinyele,NA,0.154926235,0.154926235,0.49,0,196,2020,1,1
210,Afijio,Akinyele,NA,0.325345094,0.325345094,0.539,196,154,2020,1,2
211,Afijio,Akinyele,NA,0.8,0.8,0.588,350,212,2021,1,3
212,Afijio,Akinyele,NA,0.8,0.8,0.637,562,154,2021,1,4
213,Afijio,Akinyele,NA,0.8,0.8,0.686,716,202,2022,1,5
214,Afijio,Akinyele,NA,0.8,0.8,0.735,918,159,2022,1,6
215,Afijio,Akinyele,NA,0.8,0.8,0.784,1077,219,2023,1,7
216,Afijio,Akinyele,NA,0.8,0.8,0.8,1296,136,2023,1,8
217,Afijio,Akinyele,NA,0.8,0.8,0.8,1432,218,2024,1,9
218,Afijio,Akinyele,NA,0.8,0.8,0.8,1650,151,2024,1,10
219,Afijio,Akinyele,NA,0.8,0.8,0.8,1801,185,2025,1,11
220,Afijio,Akinyele,NA,0.8,0.8,0.8,1986,183,2025,1,12
221,Afijio,Akinyele,NA,0.8,0.8,0.8,0,-1,2025,1,13
222,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.49,0,196,2020,1,1
223,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.539,196,154,2020,1,2
224,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.588,350,212,2021,1,3
225,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.637,562,154,2021,1,4
226,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.686,716,202,2022,1,5
227,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.735,918,159,2022,1,6
228,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.784,1077,219,2023,1,7
229,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.8,1296,136,2023,1,8
230,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.8,1432,218,2024,1,9
231,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.8,1650,151,2024,1,10
232,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.8,1801,185,2025,1,11
233,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.8,1986,183,2025,1,12
234,Afikpo North,Oru West,NA,0.863945585,0.863945585,0.8,0,-1,2025,1,13
235,Afikpo South,Ngor-Okpala,NA,0.470951796,0.470951796,0.49,0,196,2020,1,1
236,Afikpo South,Ngor-Okpala,NA,0.494499386,0.494499386,0.539,196,154,2020,1,2
237,Afikpo South,Ngor-Okpala,NA,0.499208904,0.499208904,0.588,350,212,2021,1,3
238,Afikpo South,Ngor-Okpala,NA,0.503918422,0.503918422,0.637,562,154,2021,1,4
239,Afikpo South,Ngor-Okpala,NA,0.50862794,0.50862794,0.686,716,202,2022,1,5
240,Afikpo South,Ngor-Okpala,NA,0.513337458,0.513337458,0.735,918,159,2022,1,6
241,Afikpo South,Ngor-Okpala,NA,0.518046976,0.518046976,0.784,1077,219,2023,1,7
242,Afikpo South,Ngor-Okpala,NA,0.527466012,0.527466012,0.8,1296,136,2023,1,8
243,Afikpo South,Ngor-Okpala,NA,0.706427694,0.706427694,0.8,1432,218,2024,1,9
244,Afikpo South,Ngor-Okpala,NA,0.8,0.8,0.8,1650,151,2024,1,10
245,Afikpo South,Ngor-Okpala,NA,0.8,0.8,0.8,1801,185,2025,1,11
246,Afikpo South,Ngor-Okpala,NA,0.8,0.8,0.8,1986,183,2025,1,12
247,Afikpo South,Ngor-Okpala,NA,0.8,0.8,0.8,0,-1,2025,1,13
248,Agaie,Oke-Ero,NA,0.246839589,0.246839589,0.49,0,196,2020,1,1
249,Agaie,Oke-Ero,NA,0.531322215,0.531322215,0.539,196,154,2020,1,2
250,Agaie,Oke-Ero,NA,0.538998927,0.538998927,0.588,350,212,2021,1,3
251,Agaie,Oke-Ero,NA,0.8,0.8,0.637,562,154,2021,1,4
252,Agaie,Oke-Ero,NA,0.8,0.8,0.686,716,202,2022,1,5
253,Agaie,Oke-Ero,NA,0.8,0.8,0.735,918,159,2022,1,6
254,Agaie,Oke-Ero,NA,0.8,0.8,0.784,1077,219,2023,1,7
255,Agaie,Oke-Ero,NA,0.8,0.8,0.8,1296,136,2023,1,8
256,Agaie,Oke-Ero,NA,0.8,0.8,0.8,1432,218,2024,1,9
257,Agaie,Oke-Ero,NA,0.8,0.8,0.8,1650,151,2024,1,10
258,Agaie,Oke-Ero,NA,0.8,0.8,0.8,1801,185,2025,1,11
259,Agaie,Oke-Ero,NA,0.8,0.8,0.8,1986,183,2025,1,12
260,Agaie,Oke-Ero,NA,0.8,0.8,0.8,0,-1,2025,1,13
261,Agatu,Keana,NA,0.177187213,0.177187213,0.49,0,196,2020,1,1
262,Agatu,Keana,NA,0.381395476,0.381395476,0.539,196,154,2020,1,2
263,Agatu,Keana,NA,0.386905998,0.386905998,0.588,350,212,2021,1,3
264,Agatu,Keana,NA,0.582042276,0.582042276,0.637,562,154,2021,1,4
