State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Bauchi,Ningi,Takali,september,2020,3,-1,1,0.6,5,310
Bauchi,Ningi,Takali,september,2020,4,-1,1,0.6,5,340
Katsina,Batagarawa,Rimi,march,2020,1,-1,1,0.6,5,131
Bauchi,Shira,Takali,september,2020,2,-1,1,0.6,5,280
Bauchi,Shira,Takali,september,2020,3,-1,1,0.6,5,310
Bauchi,Shira,Takali,september,2020,4,-1,1,0.6,5,340
Katsina,Batsari,Rimi,march,2020,1,-1,1,0.6,5,131
Bauchi,Tafawa-Balewa,Alkaleri,july,2020,2,-1,1,0.6,5,216
Bauchi,Tafawa-Balewa,Alkaleri,july,2020,3,-1,1,0.6,5,246
Bauchi,Tafawa-Balewa,Alkaleri,july,2020,4,-1,1,0.6,5,276
Bauchi,Bauchi,Alkaleri,july,2020,1,-1,1,0.6,5,186
Bauchi,Toro,Giwa,august,2020,2,-1,1,0.6,5,253
Bauchi,Toro,Giwa,august,2020,3,-1,1,0.6,5,283
Bauchi,Toro,Giwa,august,2020,4,-1,1,0.6,5,313
Katsina,Baure,Babura,may,2020,1,-1,1,0.975975976,5,186
Bauchi,Warji,Takali,september,2020,2,-1,1,0.6,5,280
Bauchi,Warji,Takali,september,2020,3,-1,1,0.6,5,310
Bauchi,Warji,Takali,september,2020,4,-1,1,0.6,5,340
Borno,Bayo,Alkaleri,july,2020,1,-1,1,0.6,5,186
Bauchi,Zaki,Taura,july,2020,2,-1,1,0.6,5,216
Bauchi,Zaki,Taura,july,2020,3,-1,1,0.6,5,246
Bauchi,Zaki,Taura,july,2020,4,-1,1,0.6,5,276
Kano,Bebeji,Gwarzo,august,2020,1,-1,1,0.6,5,223
Benue,Agatu,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Agatu,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Agatu,Keana,august,2020,4,-1,1,0.6,5,313
Cross River,Bekwara,Oke-Ero,july,2020,1,-1,1,0.6,5,186
Benue,Apa,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Apa,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Apa,Keana,august,2020,4,-1,1,0.6,5,313
Kano,Bichi,Gwarzo,august,2020,1,-1,1,0.6,5,223
Benue,Buruku,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Buruku,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Buruku,Keana,august,2020,4,-1,1,0.6,5,313
Niger,Bida,Oke-Ero,july,2020,1,-1,1,0.6,5,186
Benue,Gboko,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Gboko,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Gboko,Keana,august,2020,4,-1,1,0.6,5,313
Gombe,Billiri,Alkaleri,july,2020,1,-1,1,0.6,5,186
Benue,Guma,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Guma,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Guma,Keana,august,2020,4,-1,1,0.6,5,313
Katsina,Bindawa,Rimi,march,2020,1,-1,1,0.6,5,131
Benue,Gwer East,Oke-Ero,july,2020,2,-1,1,0.6,5,216
Benue,Gwer East,Oke-Ero,july,2020,3,-1,1,0.6,5,246
Benue,Gwer East,Oke-Ero,july,2020,4,-1,1,0.6,5,276
Sokoto,Binji,Gawabawa,august,2020,1,-1,1,0.969736842,5,186
Benue,Gwer West,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Gwer West,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Gwer West,Keana,august,2020,4,-1,1,0.6,5,313
Jigawa,Biriniwa,Taura,july,2020,1,-1,1,0.6,5,186
Benue,Konshisha,Oke-Ero,july,2020,2,-1,1,0.6,5,216
Benue,Konshisha,Oke-Ero,july,2020,3,-1,1,0.6,5,246
Benue,Konshisha,Oke-Ero,july,2020,4,-1,1,0.6,5,276
Jigawa,Birni Kudu,Takali,september,2020,1,-1,1,0.6,5,250
Benue,Kwande,Oke-Ero,july,2020,2,-1,1,0.6,5,216
Benue,Kwande,Oke-Ero,july,2020,3,-1,1,0.6,5,246
Benue,Kwande,Oke-Ero,july,2020,4,-1,1,0.6,5,276
Kebbi,Birnin Kebbi,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223
Benue,Logo,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Logo,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Logo,Keana,august,2020,4,-1,1,0.6,5,313
Zamfara,Birnin Magaji,Rimi,march,2020,1,-1,1,0.854974705,5,186
Benue,Makurdi,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Makurdi,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Makurdi,Keana,august,2020,4,-1,1,0.6,5,313
Kaduna,Birnin-Gwari,Giwa,august,2020,1,-1,1,0.6,5,223
Benue,Oturkpo,Owan East,march,2020,2,-1,1,0.6,5,161
Benue,Oturkpo,Owan East,march,2020,3,-1,1,0.6,5,191
Benue,Oturkpo,Owan East,march,2020,4,-1,1,0.6,5,221
Borno,Biu,Darazo,july,2020,1,-1,1,0.6,5,186
Benue,Tarka,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Tarka,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Tarka,Keana,august,2020,4,-1,1,0.6,5,313
Sokoto,Bodinga,Gawabawa,august,2020,1,-1,1,0.969736842,5,186
Benue,Ukum,Keana,august,2020,2,-1,1,0.6,5,253
Benue,Ukum,Keana,august,2020,3,-1,1,0.6,5,283
Benue,Ukum,Keana,august,2020,4,-1,1,0.6,5,313
Bauchi,Bogoro,Alkaleri,july,2020,1,-1,1,0.6,5,186
Benue,Ushongo,Oke-Ero,july,2020,2,-1,1,0.6,5,216
Benue,Ushongo,Oke-Ero,july,2020,3,-1,1,0.6,5,246
Benue,Ushongo,Oke-Ero,july,2020,4,-1,1,0.6,5,276
Plateau,Bokkos,Giwa,august,2020,1,-1,1,0.6,5,223
Benue,Vandeikya,Oke-Ero,july,2020,2,-1,1,0.6,5,216
Benue,Vandeikya,Oke-Ero,july,2020,3,-1,1,0.6,5,246
Benue,Vandeikya,Oke-Ero,july,2020,4,-1,1,0.6,5,276
Niger,Borgu,Oke-Ero,july,2020,1,-1,1,0.6,5,186
Borno,Abadam,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Abadam,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Abadam,Babura,may,2020,4,-1,1,0.6,5,221
Niger,Bosso,Keana,august,2020,1,-1,1,0.6,5,223
Borno,Askira-Uba,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Askira-Uba,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Askira-Uba,Darazo,july,2020,4,-1,1,0.6,5,276
Jigawa,Buji,Takali,september,2020,1,-1,1,0.934456929,5,186
Borno,Bama,Darazo,july,2020,2,-1,1,0.6,5,251
Borno,Bama,Darazo,july,2020,3,-1,1,0.6,5,279
Borno,Bama,Darazo,july,2020,4,-1,1,0.6,5,307
Zamfara,Bukkuyum,Alkaleri,july,2020,1,-1,1,0.854974705,5,186
Borno,Bayo,Alkaleri,july,2020,2,-1,1,0.6,5,216
Borno,Bayo,Alkaleri,july,2020,3,-1,1,0.6,5,246
Borno,Bayo,Alkaleri,july,2020,4,-1,1,0.6,5,276
Zamfara,Bungudu,Takali,september,2020,1,-1,1,0.854974705,5,186
Borno,Biu,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Biu,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Biu,Darazo,july,2020,4,-1,1,0.6,5,276
Kano,Bunkure,Gwarzo,august,2020,1,-1,1,0.6,5,223
Borno,Chibok,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Chibok,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Chibok,Darazo,july,2020,4,-1,1,0.6,5,276
Kebbi,Bunza,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223
Borno,Damboa,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Damboa,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Damboa,Darazo,july,2020,4,-1,1,0.6,5,276
Yobe,Bursari,Taura,july,2020,1,-1,1,0.6,5,186
Borno,Dikwa,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Dikwa,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Dikwa,Darazo,july,2020,4,-1,1,0.6,5,276
Benue,Buruku,Keana,august,2020,1,-1,1,0.6,5,223
Borno,Gubio,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Gubio,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Gubio,Gawabawa,august,2020,4,-1,1,0.6,5,313
Federal Capital Territory,Bwari,Giwa,august,2020,1,-1,1,0.6,5,223
