adm1,LGA,smc_plan1,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Gombe,Dukku,SMC in PAAR,Darazo,july,2020,1,-1,1,0.6,5,186
Gombe,Dukku,SMC in PAAR,Darazo,july,2020,2,-1,1,0.6,5,216
Gombe,Dukku,SMC in PAAR,Darazo,july,2020,3,-1,1,0.6,5,246
Gombe,Dukku,SMC in PAAR,Darazo,july,2020,4,-1,1,0.6,5,276
Gombe,Funakaye,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Funakaye,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Funakaye,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Funakaye,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Gombe,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Gombe,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Gombe,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Gombe,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Kaltungo,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Kaltungo,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Kaltungo,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Kaltungo,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Kwami,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
Gombe,Kwami,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216
Gombe,Kwami,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246
Gombe,Kwami,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Nafada,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186
