"","State","LGA","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"325","Borno","Ngala","Taura","july",2020,1,-1,1,0.6,5,223
"326","Borno","Ngala","Taura","july",2020,2,-1,1,0.6,5,251
"327","Borno","Ngala","Taura","july",2020,3,-1,1,0.6,5,279
"328","Borno","Ngala","Taura","july",2020,4,-1,1,0.6,5,307
"329","Borno","Nganzai","Gawabawa","august",2020,1,-1,1,0.6,5,223
"330","Borno","Nganzai","Gawabawa","august",2020,2,-1,1,0.6,5,253
"331","Borno","Nganzai","Gawabawa","august",2020,3,-1,1,0.6,5,283
"332","Borno","Nganzai","Gawabawa","august",2020,4,-1,1,0.6,5,313
"333","Borno","Shani","Alkaleri","july",2020,1,-1,1,0.6,5,186
"334","Borno","Shani","Alkaleri","july",2020,2,-1,1,0.6,5,216
"335","Borno","Shani","Alkaleri","july",2020,3,-1,1,0.6,5,246
"336","Borno","Shani","Alkaleri","july",2020,4,-1,1,0.6,5,276
"337","Cross River","Bekwara","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"338","Cross River","Bekwara","Oke-Ero","july",2020,2,-1,1,0.6,5,216
"339","Cross River","Bekwara","Oke-Ero","july",2020,3,-1,1,0.6,5,246
"340","Cross River","Bekwara","Oke-Ero","july",2020,4,-1,1,0.6,5,276
"341","Cross River","Obanliku","Obubra","june",2020,1,-1,1,0.6,5,162
"342","Cross River","Obanliku","Obubra","june",2020,2,-1,1,0.6,5,192
"343","Cross River","Obanliku","Obubra","june",2020,3,-1,1,0.6,5,222
"344","Cross River","Obanliku","Obubra","june",2020,4,-1,1,0.6,5,252
"345","Cross River","Obudu","Obubra","june",2020,1,-1,1,0.6,5,162
"346","Cross River","Obudu","Obubra","june",2020,2,-1,1,0.6,5,192
"347","Cross River","Obudu","Obubra","june",2020,3,-1,1,0.6,5,222
"348","Cross River","Obudu","Obubra","june",2020,4,-1,1,0.6,5,252
"349","Cross River","Ogoja","Obubra","june",2020,1,-1,1,0.6,5,162
"350","Cross River","Ogoja","Obubra","june",2020,2,-1,1,0.6,5,192
"351","Cross River","Ogoja","Obubra","june",2020,3,-1,1,0.6,5,222
"352","Cross River","Ogoja","Obubra","june",2020,4,-1,1,0.6,5,252
"353","Cross River","Yala","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"354","Cross River","Yala","Oke-Ero","july",2020,2,-1,1,0.6,5,216
