LGA,State,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Yankwashi,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Yankwashi,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Yankwashi,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Baure,Katsina,Babura,may,131,2020,1,-1,0.8,0.2,5
Baure,Katsina,Babura,may,161,2020,2,-1,0.8,0.2,5
Baure,Katsina,Babura,may,191,2020,3,-1,0.8,0.2,5
Baure,Katsina,Babura,may,221,2020,4,-1,0.8,0.2,5
Daura,Katsina,Babura,may,131,2020,1,-1,0.8,0.2,5
Daura,Katsina,Babura,may,161,2020,2,-1,0.8,0.2,5
Daura,Katsina,Babura,may,191,2020,3,-1,0.8,0.2,5
Daura,Katsina,Babura,may,221,2020,4,-1,0.8,0.2,5
Dutsi,Katsina,Rimi,march,70,2020,1,-1,0.8,0.2,5
Dutsi,Katsina,Rimi,march,100,2020,2,-1,0.8,0.2,5
Dutsi,Katsina,Rimi,march,130,2020,3,-1,0.8,0.2,5
Dutsi,Katsina,Rimi,march,160,2020,4,-1,0.8,0.2,5
Jibia,Katsina,Rimi,march,70,2020,1,-1,0.8,0.2,5
Jibia,Katsina,Rimi,march,100,2020,2,-1,0.8,0.2,5
Jibia,Katsina,Rimi,march,130,2020,3,-1,0.8,0.2,5
Jibia,Katsina,Rimi,march,160,2020,4,-1,0.8,0.2,5
kaita,Katsina,Rimi,march,70,2020,1,-1,0.8,0.2,5
kaita,Katsina,Rimi,march,100,2020,2,-1,0.8,0.2,5
kaita,Katsina,Rimi,march,130,2020,3,-1,0.8,0.2,5
kaita,Katsina,Rimi,march,160,2020,4,-1,0.8,0.2,5
Mai'Adua,Katsina,Rimi,march,70,2020,1,-1,0.8,0.2,5
Mai'Adua,Katsina,Rimi,march,100,2020,2,-1,0.8,0.2,5
Mai'Adua,Katsina,Rimi,march,130,2020,3,-1,0.8,0.2,5
Mai'Adua,Katsina,Rimi,march,160,2020,4,-1,0.8,0.2,5
Mashi,Katsina,Rimi,march,70,2020,1,-1,0.8,0.2,5
Mashi,Katsina,Rimi,march,100,2020,2,-1,0.8,0.2,5
Mashi,Katsina,Rimi,march,130,2020,3,-1,0.8,0.2,5
Mashi,Katsina,Rimi,march,160,2020,4,-1,0.8,0.2,5
Zango,Katsina,Babura,may,131,2020,1,-1,0.8,0.2,5
Zango,Katsina,Babura,may,161,2020,2,-1,0.8,0.2,5
Zango,Katsina,Babura,may,191,2020,3,-1,0.8,0.2,5
Zango,Katsina,Babura,may,221,2020,4,-1,0.8,0.2,5
Binji,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
Binji,Sokoto,Gawabawa,august,253,2020,2,-1,0.8,0.2,5
Binji,Sokoto,Gawabawa,august,283,2020,3,-1,0.8,0.2,5
Binji,Sokoto,Gawabawa,august,313,2020,4,-1,0.8,0.2,5
Bodinga,Sokoto,Gawabawa,august,223,2020,1,-1,0.8,0.2,5
