,adm1,adm2,year,llins_yn,llins_num,llin_month,mortality,Kill_rate
252,Niger,Chanchaga,2014,1.0,,12.0,0.40958070799999996,0.4675352978398599
253,Niger,Edati,2014,1.0,,12.0,0.404972395,0.4637963809656365
254,Niger,Gbako,2014,1.0,,12.0,0.407075532,0.4655038442432315
255,Niger,Gurara,2014,1.0,,12.0,0.452296326,0.5016786164616698
256,Niger,Katcha,2014,1.0,,12.0,0.44082383799999997,0.49261211272040734
257,Niger,Kontagora,2014,1.0,,12.0,0.43871221899999996,0.4909342449920846
258,Niger,Lapai,2014,1.0,,12.0,0.37104221600000004,0.4360435863340723
259,Niger,Lavun,2014,1.0,,12.0,0.335366565,0.4066356471855306
260,Niger,Magama,2014,1.0,,12.0,0.46360545200000003,0.5105284935546769
261,Niger,Mariga,2014,1.0,,12.0,0.5169816429999999,0.5509030678674103
262,Niger,Mashegu,2014,1.0,,12.0,0.34485263899999996,0.4144616359538372
263,Niger,Mokwa,2014,1.0,,12.0,0.34522446,0.4147683956957062
264,Niger,Muya,2014,1.0,,12.0,0.442740979,0.4941330708038264
265,Niger,Pailoro,2014,1.0,,12.0,0.494549687,0.5342387992244905
266,Niger,Rafi,2014,1.0,,12.0,0.504212499,0.5414747930571845
267,Niger,Rijau,2014,1.0,,12.0,0.525675829,0.5572313898896302
268,Niger,Shiroro,2014,1.0,,12.0,0.470352235,0.5157635696401023
269,Niger,Suleja,2014,1.0,,12.0,0.39150254700000003,0.45282080361596894
270,Niger,Tafa,2014,1.0,,12.0,0.39579833799999997,0.4563281529889366
271,Niger,Wushishi,2014,1.0,,12.0,0.36783483,0.4334050359967895
272,Ogun,Abeokuta North,2014,1.0,,3.0,0.244416745,0.33262016604023353
273,Ogun,Abeokuta South,2014,1.0,,3.0,0.240437438,0.3294651694785554
274,Ogun,Ado-Odo/Ota,2014,1.0,,3.0,0.35430591899999997,0.4222591865027056
275,Ogun,Egbado North,2014,1.0,,3.0,0.23575948,0.3257691815892756
