,State,LGA,area_sq_km
575,Katsina,Malumfashi,663.6399863
576,Delta,Aniocha South,870.3741582
577,Lagos,Alimosho,148.3935204
578,Kogi,Idah,47.95318452
579,Edo,Uhunmwonde,2032.186475
580,Taraba,Karin-Lamido,6917.005839
581,Zamfara,Tsafe,2064.676675
582,Kano,Dala,24.99926827
583,Niger,Shiroro,5286.90087
584,Anambra,Onitsha South,17.19746187
585,Abia,Umuahia South,131.5632299
586,Kaduna,Kaduna South,60.2471771
587,Edo,Akoko-Edo,1302.937906
588,Anambra,Orumba South,232.4384315
589,Taraba,Wukari,3809.884325
590,Borno,Maiduguri,131.5244993
591,Kwara,Ilorin West,98.6249657
592,Niger,Mashegu,9135.324176
593,Niger,Rafi,3516.827036
594,Osun,Isokan,196.8952652
595,Katsina,Bakori,670.5282495
596,Borno,Askira/Uba,2203.535603
597,Cross River,Bakassi,92.03162129
598,Bauchi,Toro,7127.154165
599,Sokoto,Isa,2087.583595
600,Oyo,Oyo West,527.4742134
601,Enugu,Nsukka,500.5076444
602,Lagos,Ojo,180.6168767
603,Kano,Fagge,27.72151219
604,Delta,Ethiope West,547.0077985
605,Edo,Oredo,263.0574891
606,Katsina,Batsari,1075.148622
607,Kano,Doguwa,1449.232208
608,Ondo,Akoko North West,552.4716226
609,Ogun,Odeda,1401.710505
610,Cross River,Obudu,381.837228
611,Kogi,Ajaokuta,1378.764803
612,Kano,Rogo,816.3677839
613,Kaduna,Kagarko,2240.106321
614,Akwa,Obot Akara,233.1536066
615,Anambra,Nnewi North,64.95014416
616,Niger,Tafa,139.3792376
617,Yobe,Gujba,3358.516149
618,Ekiti,Ado Ekiti,324.01013
619,Delta,Sapele,435.7090552
620,Lagos,Ajeromi-Ifelodun,11.66968394
621,Imo,Ahiazu-Mbaise,102.1023144
622,Imo,Owerri-Municipal,34.32089398
623,Bauchi,Bauchi,3985.758715
624,Bayelsa,Brass,1716.128634
625,Benue,Tarka,385.7537439
626,Adamawa,Yola South,371.0992664
627,Delta,Ughelli South,783.0751099
628,Kaduna,Kubau,2433.523107
629,Benue,Gwer West,1248.490042
630,Plateau,Barikin Ladi,857.9782099
631,Adamawa,Fufore,4279.921324
632,Rivers,Tai,101.9249615
633,Nasarawa,Toto,2743.919036
634,Kebbi,Suru,1291.246983
635,Kebbi,Bunza,810.6246308
636,Katsina,Sabuwa,667.227935
637,Benue,Ado,1049.205164
638,Kebbi,Koko/Besse,1312.404572
639,Yobe,Bursari,3898.401272
640,Plateau,Jos South,454.7799743
641,Adamawa,Jada,1780.010751
642,Yobe,Geidam,4313.491744
643,Lagos,Lagos Island,239.5269093
644,Bayelsa,Kolokuma/Opokuma,445.1192769
645,Edo,Ovia North East,2374.741233
646,Osun,Osogbo,55.81088342
647,Jigawa,Yankwashi,449.0641902
648,Borno,Dikwa,1795.363766
649,Sokoto,Sokoto South,30.41246086
650,Edo,Owan West,706.8882029
651,Zamfara,Maradun,2336.452026
652,Plateau,Jos East,804.3590215
653,Borno,Abadam,4030.591003
654,Borno,Kaga,2779.786979
655,Ekiti,Ekiti West,277.6409959
656,Oyo,Akinyele,481.5300978
657,Delta,Okpe,438.7940313
658,Osun,Irepodun2,65.87431088
659,Ebonyi,Ezza South,330.0623625
660,Sokoto,Tambuwal,2212.463015
661,Benue,Ushongo,1271.02418
662,Adamawa,Song,4334.316095
663,Anambra,Ayamelum,571.3204015
664,Kebbi,Shanga,1505.71109
665,Oyo,Lagelu,268.5814634
666,Plateau,Shendam,2507.12697
667,Akwa,Ibeno,211.4347268
668,Nasarawa,Awe,2633.661889
669,Bauchi,Misau,1219.486304
670,Akwa,Ikono,270.3587683
671,Edo,Etsako Central,683.9570648
672,Lagos,Agege,16.61248975
673,Kwara,Irepodun1,746.3833658
674,Akwa,Oron,81.85029792
675,Kogi,Mopa-Muro,880.7976529
676,Ebonyi,Afikpo South,332.2956122
677,Kebbi,Argungu,1210.511882
678,Bayelsa,Ekeremor,1807.706637
679,Katsina,Dutsi,289.3118488
680,Ebonyi,Izzi,1097.786921
681,Kano,Kumbotso,163.1751387
682,Kano,Makoda,404.487831
683,Benue,Apa,895.6059897
