LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday,coverage_high_access_per,coverage_low_access_per
Bade,Yobe,2027,2,-1,1,0.961810467,5,9,2806,100,96.2
Bade,Yobe,2027,3,-1,1,0.974540311,5,10,2834,100,97.5
Bade,Yobe,2027,4,-1,1,0.463932107,5,11,2862,100,46.4
Bade,Yobe,2028,1,-1,1,0.98019802,5,8,3143,100,98.0
Bade,Yobe,2028,2,-1,1,0.961810467,5,9,3171,100,96.2
Bade,Yobe,2028,3,-1,1,0.974540311,5,10,3199,100,97.5
Bade,Yobe,2028,4,-1,1,0.463932107,5,11,3227,100,46.4
Bade,Yobe,2029,1,-1,1,0.98019802,5,8,3508,100,98.0
Bade,Yobe,2029,2,-1,1,0.961810467,5,9,3536,100,96.2
Bade,Yobe,2029,3,-1,1,0.974540311,5,10,3564,100,97.5
Bade,Yobe,2029,4,-1,1,0.463932107,5,11,3592,100,46.4
Bade,Yobe,2030,1,-1,1,0.98019802,5,8,3873,100,98.0
Bade,Yobe,2030,2,-1,1,0.961810467,5,9,3901,100,96.2
Bade,Yobe,2030,3,-1,1,0.974540311,5,10,3929,100,97.5
Bade,Yobe,2030,4,-1,1,0.463932107,5,11,3957,100,46.4
Bakura,Zamfara,2020,1,-1,1,0.854974705,5,7,186,100,85.5
Bakura,Zamfara,2020,2,-1,1,0.927487352,5,8,214,100,92.7
Bakura,Zamfara,2020,3,-1,1,0.937605396,5,9,242,100,93.8
Bakura,Zamfara,2020,4,-1,1,0.268128162,5,10,270,100,26.8
Bakura,Zamfara,2021,1,-1,1,0.854974705,5,7,551,100,85.5
Bakura,Zamfara,2021,2,-1,1,0.927487352,5,8,579,100,92.7
Bakura,Zamfara,2021,3,-1,1,0.937605396,5,9,607,100,93.8
Bakura,Zamfara,2021,4,-1,1,0.268128162,5,10,635,100,26.8
Bakura,Zamfara,2022,1,-1,1,0.854974705,5,7,916,100,85.5
Bakura,Zamfara,2022,2,-1,1,0.927487352,5,8,944,100,92.7
Bakura,Zamfara,2022,3,-1,1,0.937605396,5,9,972,100,93.8
