,LGA,Rep_DS,State,simday,duration,year,U5_coverage_m,U5_coverage_l,U5_coverage,adult_coverage_m,adult_coverage_l,adult_coverage,severe_cases
124,Bosso,Keana,Nasarawa,0,1095,2010,0.003757889,2.00E-06,0.038083,0.003757889,2.00E-06,0.038083,0.49
125,Brass,Ahoada West,Rivers,0,1095,2010,0.244230555,0.139011,0.38041,0.244230555,0.139011,0.38041,0.49
126,Buji,Takali,Kano,0,1095,2010,0.041618192,0.017351,0.084126,0.041618192,0.017351,0.084126,0.49
127,Bukkuyum,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
128,Bungudu,Takali,Kano,0,1095,2010,0.041618192,0.017351,0.084126,0.041618192,0.017351,0.084126,0.49
129,Bunkure,Gwarzo,Kano,0,1095,2010,0.020151372,0.007362,0.044545,0.020151372,0.007362,0.044545,0.49
130,Bunza,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,5.50E-05,0.033146,0.005035576,5.50E-05,0.033146,0.49
131,Bursari,Taura,Jigawa,0,1095,2010,0.066097954,0.029,0.128142,0.066097954,0.029,0.128142,0.49
132,Buruku,Keana,Nasarawa,0,1095,2010,0.003757889,2.00E-06,0.038083,0.003757889,2.00E-06,0.038083,0.49
133,Burutu,Isoko South,Delta,0,1095,2010,0.102375399,0.051413,0.179891,0.102375399,0.051413,0.179891,0.49
134,Bwari,Giwa,Kaduna,0,1095,2010,0.018010707,0.002239,0.064588,0.018010707,0.002239,0.064588,0.49
135,Calabar South,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.049395,0.157392,0.092807342,0.049395,0.157392,0.49
136,Calabar-Municipal,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.049395,0.157392,0.092807342,0.049395,0.157392,0.49
137,Chanchaga,Keana,Nasarawa,0,1095,2010,0.003757889,2.00E-06,0.038083,0.003757889,2.00E-06,0.038083,0.49
138,Charanchi,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
139,Chibok,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
140,Chikun,Soba,Kaduna,0,1095,2010,0.076473462,0.034855,0.144206,0.076473462,0.034855,0.144206,0.49
141,Dala,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
142,Damaturu,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
143,Damban,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
144,Dambatta,Babura,Jigawa,0,1095,2010,0.053961815,0.02454,0.102781,0.053961815,0.02454,0.102781,0.49
145,Damboa,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
146,Dan Musa,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
147,Dandi,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,5.50E-05,0.033146,0.005035576,5.50E-05,0.033146,0.49
148,Dandume,Giwa,Kaduna,0,1095,2010,0.018010707,0.002239,0.064588,0.018010707,0.002239,0.064588,0.49
149,Dange-Shnsi,Gawabawa,Sokoto,0,1095,2010,0,0,0,0,0,0,0.49
150,Danja,Giwa,Kaduna,0,1095,2010,0.018010707,0.002239,0.064588,0.018010707,0.002239,0.064588,0.49
151,Darazo,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
152,Dass,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
153,Daura,Babura,Jigawa,0,1095,2010,0.053961815,0.02454,0.102781,0.053961815,0.02454,0.102781,0.49
154,Dawakin Kudu,Gwarzo,Kano,0,1095,2010,0.020151372,0.007362,0.044545,0.020151372,0.007362,0.044545,0.49
155,Dawakin Tofa,Taura,Jigawa,0,1095,2010,0.066097954,0.029,0.128142,0.066097954,0.029,0.128142,0.49
156,Degema,Ahoada West,Rivers,0,1095,2010,0.244230555,0.139011,0.38041,0.244230555,0.139011,0.38041,0.49
157,Dekina,Owan East,Edo,0,1095,2010,0.100639757,0.040692,0.20155,0.100639757,0.040692,0.20155,0.49
158,Demsa,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
159,Dikwa,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
160,Doguwa,Giwa,Kaduna,0,1095,2010,0.018010707,0.002239,0.064588,0.018010707,0.002239,0.064588,0.49
161,Doma,Keana,Nasarawa,0,1095,2010,0.003757889,2.00E-06,0.038083,0.003757889,2.00E-06,0.038083,0.49
162,Donga,Keana,Nasarawa,0,1095,2010,0.003757889,2.00E-06,0.038083,0.003757889,2.00E-06,0.038083,0.49
163,Dukku,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
164,Dunukofia,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
165,Dutse,Takali,Kano,0,1095,2010,0.041618192,0.017351,0.084126,0.041618192,0.017351,0.084126,0.49
166,Dutsi,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
167,Dutsin-Ma,Rimi,Katsina,0,1095,2010,0.096584862,0.052429,0.161449,0.096584862,0.052429,0.161449,0.49
168,Eastern Obolo,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.049395,0.157392,0.092807342,0.049395,0.157392,0.49
169,Ebonyi,Owan East,Edo,0,1095,2010,0.100639757,0.040692,0.20155,0.100639757,0.040692,0.20155,0.49
170,Edati,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
171,Ede North,Akinyele,Oyo,0,1095,2010,0.067262581,0.017876,0.16989,0.067262581,0.017876,0.16989,0.49
172,Ede South,Akinyele,Oyo,0,1095,2010,0.067262581,0.017876,0.16989,0.067262581,0.017876,0.16989,0.49
173,Edu,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
174,Efon-Alayee,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
175,Egbado North,Owan East,Edo,0,1095,2010,0.100639757,0.040692,0.20155,0.100639757,0.040692,0.20155,0.49
176,Egbado South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
177,Egbeda,Akinyele,Oyo,0,1095,2010,0.067262581,0.017876,0.16989,0.067262581,0.017876,0.16989,0.49
178,Egbedore,Akinyele,Oyo,0,1095,2010,0.067262581,0.017876,0.16989,0.067262581,0.017876,0.16989,0.49
179,Egor,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
180,Ehime-Mbano,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.014185,0.082396,0.038064811,0.014185,0.082396,0.49
181,Ejigbo,Akinyele,Oyo,0,1095,2010,0.067262581,0.017876,0.16989,0.067262581,0.017876,0.16989,0.49
182,Ekeremor,Ahoada West,Rivers,0,1095,2010,0.244230555,0.139011,0.38041,0.244230555,0.139011,0.38041,0.49
183,Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.049395,0.157392,0.092807342,0.049395,0.157392,0.49
184,Ekiti,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
185,Ekiti East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
186,Ekiti South West,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
187,Ekiti West,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
188,Ekwusigo,Oru West,Imo,0,1095,2010,0.175766728,0.101985,0.275321,0.175766728,0.101985,0.275321,0.49
