,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
188,Ekwusigo,Oru West,Imo,0,1095,2010,0.275321,0.275321
189,Eleme,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
190,Emohua,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
191,Emure,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
192,Enugu East,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
193,Enugu North,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
194,Enugu South,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
195,Epe,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
196,Esan Central,Owan East,Edo,0,1095,2010,0.20155,0.20155
197,Esan North East,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
198,Esan South East,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
199,Esan West,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
200,Ese-Odo,Owan East,Edo,0,1095,2010,0.20155,0.20155
201,Esit Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
202,Essien Udim,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
203,Etche,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
204,Ethiope East,Isoko South,Delta,0,1095,2010,0.179891,0.179891
205,Ethiope West,Isoko South,Delta,0,1095,2010,0.179891,0.179891
206,Eti-Osa,Isoko South,Delta,0,1095,2010,0.179891,0.179891
207,Etim Ekpo,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
208,Etinan,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
209,Etsako Central,Owan East,Edo,0,1095,2010,0.20155,0.20155
210,Etsako East,Owan East,Edo,0,1095,2010,0.20155,0.20155
211,Etsako West,Owan East,Edo,0,1095,2010,0.20155,0.20155
212,Etung,Obubra,Cross River,0,1095,2010,0,0
