LGA,Rep_DS,State,,,U5_coverage,adult_coverage,simday,duration,year
Guzamala,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Gwagwalada,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Gwale,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Gwandu,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Gwaram,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Gwarzo,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Gwer East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Gwer West,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Gwiwa,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Gwoza,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Hadejia,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Hawul,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Hong,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Ibadan North,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ibadan North East,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ibadan North West,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ibadan South East,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ibadan South West,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ibaji,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ibarapa Central,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ibarapa East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ibarapa North,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ibeju-Lekki,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ibeno,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Ibesikpo Asutan,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Ibi,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Ibiono Ibom,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Idah,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Idanre,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ideato North,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Ideato South,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Idemili North,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Idemili South,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Ido,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Idosi-Osi,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ifako-Ijaye,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ife Central,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ife East,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ife North,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ife South,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ifedayo,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ifedore,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ifelodun1,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ifelodun2,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ifo,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Igabi,Soba,Kaduna,,,0.076473462,0.076473462,0,1095,2010
Igalamela-Odolu,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Igbo-Etiti,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Igbo-Eze North,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Igbo-Eze South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Igueben,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ihiala,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Ihitte-Uboma,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ijebu East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ijebu North,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ijebu North East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ijebu ode,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ijero,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ijumu,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ika,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ika North East,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ika South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ikara,Soba,Kaduna,,,0.076473462,0.076473462,0,1095,2010
Ikeduru,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ikeja,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ikenne,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ikere,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ikole,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ikom,Obubra,Cross River,,,0,0,0,1095,2010
Ikono,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ikorodu,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ikot Abasi,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Ikot Ekpene,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ikpoba-Okha,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ikwerre,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Ikwo,Obubra,Cross River,,,0,0,0,1095,2010
Ikwuano,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ila,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ilaje,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ile-Oluji-Okeigbo,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ilemeji,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ilesha East,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
