,LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,year
227,Gada,Gawabawa,0.173913043,0.173913043,0.173913043,20,0.118620448,0.007795875,0.22944502,96,2015
228,Gagarawa,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
229,Gamawa,Gwarzo,0.071428571,-0.012583773,0.155440915,27,0.134624366,0.024162651,0.245086081,117,2015
230,Ganaye,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
231,Ganjuwa,Darazo,0.18452352,0,0,13,0.18452352,0.125860196,0.243186843,184,2015
232,Garki,Babura,0.138863542,0,0,9,0.138863542,0.087708523,0.190018562,94,2015
233,Garko,Gwarzo,0.333333333,0.333333333,0.333333333,25,0.134624366,0.024162651,0.245086081,117,2015
234,Garum Mallam,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
235,Gashaka,Oru West,0.366720487,NA,NA,NA,0.366720487,0.212880315,0.520560659,59,2015
236,Gassol,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
237,Gawabawa,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
238,Gaya,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
239,Gbako,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
240,Gboko,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
241,Gboyin,Obubra,0.666666667,0.666666667,0.666666667,2,0.249253657,0.064518084,0.43398923,49,2015
242,Geidam,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
243,Gezawa,Gwarzo,0.134624366,0,0,33,0.134624366,0.024162651,0.245086081,117,2015
244,Giade,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
245,Gireri,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
246,Giwa,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
247,Gokana,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
248,Gombe,Alkaleri,0.145645987,0,0,1,0.145645987,0.087804352,0.203487623,232,2015
249,Gombi,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
250,Goronyo,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
251,Gubio,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
252,Gudu,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
253,Gujba,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
254,Gulani,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
255,Guma,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
256,Gumel,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
257,Gummi,Birnin Kebbi,0.444444444,0.444444444,0.444444444,15,0.071887998,-0.033892332,0.177668327,104,2015
258,Gurara,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
259,Guri,Taura,0.13431021,0,0,12,0.13431021,0.058467978,0.210152443,151,2015
