LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Ughelli North,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ughelli South,Isoko South,0.136199054,0,0,1,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ukwuani,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Uvwie,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Warri South,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ohaozara,Obubra,0.074137482,-0.011769668,0.160044632,4,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Abakaliki,Owan East,0.131594514,0.001738629,0.2614504,18,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Afikpo North,Oru West,0.073689826,-0.043377905,0.190757558,21,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Afikpo South,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ebonyi,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ezza North,Owan East,0.044332263,0,0,5,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ezza South,Obubra,0.050301814,0,0,4,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Ikwo,Obubra,0.050301814,0,0,4,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Ishielu,Owan East,0.044332263,0,0,46,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ivo,Ngor-Okpala,0.040385726,0,0,16,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Izzi,Owan East,0.125,0.125,0.125,11,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ohaukwu,Owan East,0.044332263,0,0,15,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Onicha,Obubra,0.093322793,-0.020772758,0.207418344,19,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Akoko-Edo,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Egor,Uzo-Uwani,0.168990214,-0.191813053,0.52979348,4,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Esan North East,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Esan Central,Owan East,0.044332263,0,0,2,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Esan South East,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Esan West,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Etsako Central,Owan East,0.044332263,0,0,0,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Etsako East,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Etsako West,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Igueben,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ikpoba-Okha,Uzo-Uwani,0.145044221,0.027872406,0.262216035,6,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Aninri,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Oredo,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Orhionmwon,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ovia North East,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ovia South West,Akinyele,0.041444389,0,0,3,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Owan East,Owan East,0.044332263,0,0,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Owan West,Owan East,0.044332263,0,0,3,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Uhunmwonde,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ado Ekiti,Owan East,0.5,0.5,0.5,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Efon-Alayee,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ekiti East,Oke-Ero,0.09234703,-0.072504671,0.257198731,3,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ekiti South West,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Awgu,Oru West,0.049344359,0,0,9,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Ekiti West,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Emure,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
