LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Ngala,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Abadam,Babura,0.045372476,0,0,5,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Kukawa,Babura,0.045372476,0,0,4,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Kala/Balge,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Bama,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Gwoza,Darazo,0.013271123,0,0,4,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Madagali,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Michika,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Mubi North,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Maiha,Alkaleri,0.053619382,0,0,5,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Fufore,Alkaleri,0.053619382,0,0,10,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Jada,Alkaleri,0.053619382,0,0,2,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Ganaye,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Toungo,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Kurmi,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Gashaka,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Sardauna,Oru West,0.081749016,-0.012443519,0.17594155,21,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Takum,Keana,0.05092044,0,0,14,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Kwande,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Obanliku,Obubra,0.25,0.25,0.25,8,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Boki,Obubra,0.050301814,0,0,18,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Etung,Obubra,0.050301814,0,0,8,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Akamkpa,Ngor-Okpala,0.040385726,0,0,6,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Bakassi,Obubra,0.050301814,NA,NA,NA,0.050301814,-0.000413861,0.101017488,94,1095,730,2013
Akpabuyo,Nsit Ubium,0.116736022,0,0,3,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Eti-Osa,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ikorodu,Uzo-Uwani,0.618964545,-0.045219428,1.283148519,5,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Kosofe,Isoko South,0.136199054,0,0,5,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Lagos Island,Isoko South,0.136199054,0,0,1,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Lagos Mainland,Isoko South,0.136199054,0,0,2,0.136199054,0.009945494,0.262452614,51,1095,730,2013
