,LGA,repDS,State,year,comboACT,U5_coverage,adult_coverage,simday,duration,severe_cases
124,Askira-Uba,Darazo,Borno,2010,0.119159532,0.119159532,0.119159532,0,1095,0.49
125,Enugu East,Uzo-Uwani,Enugu,2010,0.390536036,0.390536036,0.390536036,0,1095,0.49
126,Bayo,Alkaleri,Borno,2010,0.089391527,0.089391527,0.089391527,0,1095,0.49
127,Biu,Darazo,Borno,2010,0.095231009,0.095231009,0.095231009,0,1095,0.49
128,Chibok,Darazo,Borno,2010,0.105591946,0.105591946,0.105591946,0,1095,0.49
129,Damboa,Darazo,Borno,2010,0.103700091,0.103700091,0.103700091,0,1095,0.49
130,Biase,Ngor-Okpala,Cross River,2010,0.205082792,0.205082792,0.205082792,0,1095,0.49
131,Dikwa,Darazo,Borno,2010,0.130434618,0.130434618,0.130434618,0,1095,0.49
132,Gubio,Gawabawa,Borno,2010,0.138420037,0.138420037,0.138420037,0,1095,0.49
133,Jere,Gawabawa,Borno,2010,0.141667077,0.141667077,0.141667077,0,1095,0.49
134,Guzamala,Babura,Borno,2010,0.153255554,0.153255554,0.153255554,0,1095,0.49
135,Hawul,Darazo,Borno,2010,0.108957006,0.108957006,0.108957006,0,1095,0.49
136,Kwaya Kusar,Alkaleri,Borno,2010,0.101155159,0.101155159,0.101155159,0,1095,0.49
137,Enugu North,Uzo-Uwani,Enugu,2010,0.285487656,0.285487656,0.285487656,0,1095,0.49
138,Kaga,Darazo,Borno,2010,0.09266777,0.09266777,0.09266777,0,1095,0.49
139,Mafa,Darazo,Borno,2010,0.133973434,0.133973434,0.133973434,0,1095,0.49
140,Obudu,Obubra,Cross River,2010,0.141546415,0.141546415,0.141546415,0,1095,0.49
141,Konduga,Darazo,Borno,2010,0.123823346,0.123823346,0.123823346,0,1095,0.49
142,Bomadi,Isoko South,Delta,2010,0.156804053,0.156804053,0.156804053,0,1095,0.49
143,Magumeri,Gawabawa,Borno,2010,0.10511653,0.10511653,0.10511653,0,1095,0.49
144,Maiduguri,Darazo,Borno,2010,0.181089089,0.181089089,0.181089089,0,1095,0.49
145,Shani,Alkaleri,Borno,2010,0.113043467,0.113043467,0.113043467,0,1095,0.49
146,Abi,Obubra,Cross River,2010,0.079927379,0.079927379,0.079927379,0,1095,0.49
147,Marte,Babura,Borno,2010,0.134123479,0.134123479,0.134123479,0,1095,0.49
