LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,scenario
Dandi,Birnin Kebbi,0.34910543,0.34910543,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dandume,Giwa,0.130508332,0.130508332,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dange-Shnsi,Gawabawa,0.125,0.125,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Danja,Giwa,0.130508332,0.130508332,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Darazo,Darazo,0.161152612,0.161152612,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dass,Alkaleri,0.234127553,0.234127553,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Daura,Babura,0.202230441,0.202230441,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dawakin Kudu,Gwarzo,0.272727273,0.272727273,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dawakin Tofa,Taura,0.181818182,0.181818182,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Degema,Ahoada West,0.25,0.25,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dekina,Owan East,0.190297763,0.190297763,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Demsa,Alkaleri,0.701986849,0.701986849,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dikwa,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Doguwa,Giwa,0.130434783,0.130434783,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Doma,Keana,0.177187213,0.177187213,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Donga,Keana,0.284919607,0.284919607,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dukku,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dunukofia,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dutse,Takali,0.148488039,0.148488039,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dutsi,Rimi,0.230769231,0.230769231,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Dutsin-Ma,Rimi,0.209995572,0.209995572,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Eastern Obolo,Nsit Ubium,0.6,0.6,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
