,LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round,beta_model_params,scale_values,scenario 
94,Eleme,Ahoada West,0.254213891,0.254213891,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
95,Eleme,Ahoada West,0.271300621,0.271300621,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
96,Eleme,Ahoada West,0.288387351,0.288387351,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
97,Eleme,Ahoada West,0.30547408,0.30547408,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
98,Eleme,Ahoada West,0.32256081,0.32256081,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
99,Eleme,Ahoada West,0.33964754,0.33964754,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
100,Emohua,Ahoada West,0.183753397,0.183753397,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
101,Emohua,Ahoada West,0.200840126,0.200840126,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
102,Emohua,Ahoada West,0.217926856,0.217926856,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
103,Emohua,Ahoada West,0.235013586,0.235013586,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
104,Emohua,Ahoada West,0.252100315,0.252100315,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
105,Emohua,Ahoada West,0.269187045,0.269187045,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
106,Emohua,Ahoada West,0.286273775,0.286273775,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
107,Emohua,Ahoada West,0.303360505,0.303360505,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
108,Emohua,Ahoada West,0.320447234,0.320447234,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
