"","LGA","Rep_DS","State","U5_coverage","adult_coverage","simday","duration","year","round","severe_cases","scale_m","scale_values"
"112","Abua-Odual","Ahoada West",NA,0.160048175264473,0.160048175264473,436,365,2021,2,0.545542258264473,3,0.0555422582644726
"113","Abua-Odual","Ahoada West",NA,0.17856226135263,0.17856226135263,801,365,2022,3,0.56405634435263,4,0.0740563443526301
"114","Abua-Odual","Ahoada West",NA,0.197076347440788,0.197076347440788,1166,365,2023,4,0.582570430440788,5,0.0925704304407876
"115","Abua-Odual","Ahoada West",NA,0.215590433528945,0.215590433528945,1531,365,2024,5,0.601084516528945,6,0.111084516528945
"116","Abua-Odual","Ahoada West",NA,0.234104519617103,0.234104519617103,1896,365,2025,6,0.619598602617103,7,0.129598602617103
"117","Abua-Odual","Ahoada West",NA,0.25261860570526,0.25261860570526,2261,365,2026,7,0.63811268870526,8,0.14811268870526
"118","Abua-Odual","Ahoada West",NA,0.271132691793418,0.271132691793418,2626,365,2027,8,0.656626774793418,9,0.166626774793418
"119","Abua-Odual","Ahoada West",NA,0.289646777881575,0.289646777881575,2991,365,2028,9,0.675140860881575,10,0.185140860881575
"120","Abua-Odual","Ahoada West",NA,0.308160863969733,0.308160863969733,3356,365,2029,10,0.693654946969733,11,0.203654946969733
"121","Abua-Odual","Ahoada West",NA,0.32667495005789,0.32667495005789,3721,365,2030,11,0.71216903305789,12,0.22216903305789
"122","Abuja Municipal","Keana",NA,0.0945812160937085,0.0945812160937085,71,365,2020,1,0.536457460093708,2,0.0464574600937085
"123","Abuja Municipal","Keana",NA,0.117809946140563,0.117809946140563,436,365,2021,2,0.559686190140563,3,0.0696861901405627
"124","Abuja Municipal","Keana",NA,0.141038676187417,0.141038676187417,801,365,2022,3,0.582914920187417,4,0.092914920187417
"125","Abuja Municipal","Keana",NA,0.164267406234271,0.164267406234271,1166,365,2023,4,0.606143650234271,5,0.116143650234271
"126","Abuja Municipal","Keana",NA,0.187496136281125,0.187496136281125,1531,365,2024,5,0.629372380281126,6,0.139372380281125
"127","Abuja Municipal","Keana",NA,0.21072486632798,0.21072486632798,1896,365,2025,6,0.65260111032798,7,0.16260111032798
"128","Abuja Municipal","Keana",NA,0.233953596374834,0.233953596374834,2261,365,2026,7,0.675829840374834,8,0.185829840374834
"129","Abuja Municipal","Keana",NA,0.257182326421688,0.257182326421688,2626,365,2027,8,0.699058570421688,9,0.209058570421688
"130","Abuja Municipal","Keana",NA,0.280411056468542,0.280411056468542,2991,365,2028,9,0.722287300468542,10,0.232287300468542
"131","Abuja Municipal","Keana",NA,0.303639786515397,0.303639786515397,3356,365,2029,10,0.745516030515397,11,0.255516030515397
"132","Abuja Municipal","Keana",NA,0.326868516562251,0.326868516562251,3721,365,2030,11,0.768744760562251,12,0.278744760562251
"133","Adavi","Owan East",NA,0.363787535289479,0.363787535289479,71,365,2020,1,0.574844756289479,2,0.0848447562894792
"134","Adavi","Owan East",NA,0.406209913434219,0.406209913434219,436,365,2021,2,0.617267134434219,3,0.127267134434219
