"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"6391","Kajuru","Soba",2025,"Kajuru",0.928571429,0.8,0.68,0.8,0.492999945,0.533070449,0.53,2,"july",2011
"6392","Kajuru","Soba",2028,"Kajuru",0.928571429,0.8,0.68,0.8,0.492999945,0.533070449,0.53,3,"july",3106
"1495","Kala-Balge","Darazo",2020,"Kala/Balge",0.652267101,0.527499677,0.460204646,0.692014848,0.645505958,0.63582369,0.53,1,"july",186
"14951","Kala-Balge","Darazo",2023,"Kala/Balge",0.652267101,0.527499677,0.460204646,0.692014848,0.645505958,0.63582369,0.53,2,"july",1281
"14952","Kala-Balge","Darazo",2026,"Kala/Balge",0.652267101,0.527499677,0.460204646,0.692014848,0.645505958,0.63582369,0.53,3,"july",2376
"14953","Kala-Balge","Darazo",2029,"Kala/Balge",0.652267101,0.527499677,0.460204646,0.692014848,0.645505958,0.63582369,0.53,4,"july",3471
"789","Kalgo","Birnin Kebbi",2021,"Kalgo",0.927737471,0.8,0.8,0.876524196,0.681068976,0.655765729,0.53,1,"august",588
"7891","Kalgo","Birnin Kebbi",2024,"Kalgo",0.927737471,0.8,0.8,0.876524196,0.681068976,0.655765729,0.53,2,"august",1683
"7892","Kalgo","Birnin Kebbi",2027,"Kalgo",0.927737471,0.8,0.8,0.876524196,0.681068976,0.655765729,0.53,3,"august",2778
"7893","Kalgo","Birnin Kebbi",2030,"Kalgo",0.927737471,0.8,0.8,0.876524196,0.681068976,0.655765729,0.53,4,"august",3873
"791","Kaltungo","Alkaleri",2021,"Kaltungo",0.684534717,0.581738609,0.538571783,0.697522113,0.500615672,0.538791259,0.53,1,"july",551
"7911","Kaltungo","Alkaleri",2024,"Kaltungo",0.684534717,0.581738609,0.538571783,0.697522113,0.500615672,0.538791259,0.53,2,"july",1646
"7912","Kaltungo","Alkaleri",2027,"Kaltungo",0.684534717,0.581738609,0.538571783,0.697522113,0.500615672,0.538791259,0.53,3,"july",2741
"7913","Kaltungo","Alkaleri",2030,"Kaltungo",0.684534717,0.581738609,0.538571783,0.697522113,0.500615672,0.538791259,0.53,4,"july",3836
"1213","Kanam","Alkaleri",2020,"Kanam",0.729240601,0.599926936,0.535198028,0.593608529,0.551419778,0.575511162,0.53,1,"july",186
"12131","Kanam","Alkaleri",2023,"Kanam",0.729240601,0.599926936,0.535198028,0.593608529,0.551419778,0.575511162,0.53,2,"july",1281
"12132","Kanam","Alkaleri",2026,"Kanam",0.729240601,0.599926936,0.535198028,0.593608529,0.551419778,0.575511162,0.53,3,"july",2376
"12133","Kanam","Alkaleri",2029,"Kanam",0.729240601,0.599926936,0.535198028,0.593608529,0.551419778,0.575511162,0.53,4,"july",3471
"795","Kankara","Rimi",2021,"Kankara",0.918032787,0.857142857,0.844444444,0.911392405,0.803891608,0.712510337,0.53,1,"march",435
"7951","Kankara","Rimi",2024,"Kankara",0.918032787,0.857142857,0.844444444,0.911392405,0.803891608,0.712510337,0.53,2,"march",1530
"7952","Kankara","Rimi",2027,"Kankara",0.918032787,0.857142857,0.844444444,0.911392405,0.803891608,0.712510337,0.53,3,"march",2625
"7953","Kankara","Rimi",2030,"Kankara",0.918032787,0.857142857,0.844444444,0.911392405,0.803891608,0.712510337,0.53,4,"march",3720
"1215","Kanke","Alkaleri",2020,"Kanke",0.622954199,0.508113923,0.51664203,0.614514415,0.64202109,0.633783346,0.53,1,"july",186
"12151","Kanke","Alkaleri",2023,"Kanke",0.622954199,0.508113923,0.51664203,0.614514415,0.64202109,0.633783346,0.53,2,"july",1281
"12152","Kanke","Alkaleri",2026,"Kanke",0.622954199,0.508113923,0.51664203,0.614514415,0.64202109,0.633783346,0.53,3,"july",2376
"12153","Kanke","Alkaleri",2029,"Kanke",0.622954199,0.508113923,0.51664203,0.614514415,0.64202109,0.633783346,0.53,4,"july",3471
"797","Kankia","Rimi",2021,"Kankia",0.85,0.821428571,0.833333333,0.835820896,0.757287742,0.693136955,0.53,1,"march",435
"7971","Kankia","Rimi",2024,"Kankia",0.85,0.821428571,0.833333333,0.835820896,0.757287742,0.693136955,0.53,2,"march",1530
"7972","Kankia","Rimi",2027,"Kankia",0.85,0.821428571,0.833333333,0.835820896,0.757287742,0.693136955,0.53,3,"march",2625
"7973","Kankia","Rimi",2030,"Kankia",0.85,0.821428571,0.833333333,0.835820896,0.757287742,0.693136955,0.53,4,"march",3720
"721","Kano Municipal","Alkaleri",2022,"Kano Municipal",0.684534717,0.581738609,0.538571783,0.697522113,0.636999309,0.630816237,0.53,1,"july",916
"7211","Kano Municipal","Alkaleri",2025,"Kano Municipal",0.684534717,0.581738609,0.538571783,0.697522113,0.636999309,0.630816237,0.53,2,"july",2011
"7212","Kano Municipal","Alkaleri",2028,"Kano Municipal",0.684534717,0.581738609,0.538571783,0.697522113,0.636999309,0.630816237,0.53,3,"july",3106
"1365","Karasuwa","Taura",2022,"Karasuwa",0.8,0.8,0.776678826,0.8,0.736988539,0.683888724,0.53,1,"july",916
"13651","Karasuwa","Taura",2025,"Karasuwa",0.8,0.8,0.776678826,0.8,0.736988539,0.683888724,0.53,2,"july",2011
"13652","Karasuwa","Taura",2028,"Karasuwa",0.8,0.8,0.776678826,0.8,0.736988539,0.683888724,0.53,3,"july",3106
"723","Karaye","Gwarzo",2022,"Karaye",0.826923077,0.8,0.8,0.833333333,0.844998327,0.727556296,0.53,1,"august",953
"7231","Karaye","Gwarzo",2025,"Karaye",0.826923077,0.8,0.8,0.833333333,0.844998327,0.727556296,0.53,2,"august",2048
"7232","Karaye","Gwarzo",2028,"Karaye",0.826923077,0.8,0.8,0.833333333,0.844998327,0.727556296,0.53,3,"august",3143
