LGA,State,IPTyn,ipti_cov_mean,ipti_cov_cil,ipti_cov_ciu,IPTicov
Egbado North,Ogun,1,0.277777778,0.277777778,0.277777778,0.277777778
Egbado South,Ogun,1,0.320951153,0.141699529,0.500202777,0.320951153
Egbeda,Oyo,1,0.502115889,0.413074597,0.591157181,0.502115889
Egbedore,Osun,1,0.638925592,0.360142004,0.917709179,0.638925592
Egor,Edo,1,0.82971016,0.70158618,0.95783414,0.82971016
Ehime-Mbano,Imo,1,0.869573176,0.720237548,1.018908803,0.869573176
Ejigbo,Osun,1,0.606775199,0.251135681,0.962414717,0.606775199
Ekeremor,Bayelsa,1,0.569799299,0.414079471,0.725519127,0.569799299
Eket,Akwa lbom,1,0.428571429,0.428571429,0.428571429,0.428571429
Ekiti,Kwara,0,0.587981276,0.421354785,0.754607767,0.587981276
Ekiti East,Ekiti,1,0.666666667,0.666666667,0.666666667,0.666666667
Ekiti South West,Ekiti,1,0.810578104,0.707965331,0.913190877,0.810578104
Ekiti West,Ekiti,1,0.597313342,0.380022984,0.8146037,0.597313342
Ekwusigo,Anambra,1,0.761904762,0.761904762,0.761904762,0.761904762
Eleme,Rivers,1,0.704659804,0.626591603,0.782728005,0.704659804
Emohua,Rivers,1,0.444444444,0.444444444,0.444444444,0.444444444
Emure,Ekiti,1,0.696969697,0.696969697,0.696969697,0.696969697
Enugu East,Enugu,1,0.812182741,0.753420311,0.870945171,0.812182741
Enugu North,Enugu,1,0.811377259,0.747472195,0.875282323,0.811377259
Enugu South,Enugu,1,0.837135674,0.808487021,0.865784327,0.837135674
Epe,Lagos,1,0.75,0.75,0.75,0.75
Esan Central,Edo,1,0.625,0.625,0.625,0.625
Esan North East,Edo,1,0.814814815,0.814814815,0.814814815,0.814814815
Esan South East,Edo,1,0.344645787,0.26280214,0.426489434,0.344645787
Esan West,Edo,1,0.833333333,0.833333333,0.833333333,0.833333333
Ese-Odo,Ondo,1,0.444444444,0.444444444,0.444444444,0.444444444
Esit Eket,Akwa lbom,1,0.509803922,0.509803922,0.509803922,0.509803922
Essien Udim,Akwa lbom,1,0.808961526,0.650250763,0.96767229,0.808961526
Etche,Rivers,1,0.72817531,0.590167323,0.866183297,0.72817531
Ethiope East,Delta,1,0.679059658,0.577742883,0.780376433,0.679059658
Ethiope West,Delta,1,0.166666667,0.166666667,0.166666667,0.2
Eti-Osa,Lagos,1,1,1,1,1
