"","LGA","kill_rate","round","simday","scenario","year"
"2251","Okpokwu",41.6399046,2,1226,"Scenario 1(Business as Usual)",2023
"2252","Okpokwu",41.6399046,3,2321,"Scenario 1(Business as Usual)",2026
"2253","Okpokwu",41.6399046,4,3416,"Scenario 1(Business as Usual)",2029
"2254","Okrika",34.467839,1,162,"Scenario 1(Business as Usual)",2020
"2255","Okrika",34.467839,2,1257,"Scenario 1(Business as Usual)",2023
"2256","Okrika",34.467839,3,2352,"Scenario 1(Business as Usual)",2026
"2257","Okrika",34.467839,4,3447,"Scenario 1(Business as Usual)",2029
"2258","Ola-oluwa",48.8454858,1,131,"Scenario 1(Business as Usual)",2020
"2259","Ola-oluwa",48.8454858,2,1226,"Scenario 1(Business as Usual)",2023
"2260","Ola-oluwa",48.8454858,3,2321,"Scenario 1(Business as Usual)",2026
"2261","Ola-oluwa",48.8454858,4,3416,"Scenario 1(Business as Usual)",2029
"2262","Olamabolo",39.1533051,1,70,"Scenario 1(Business as Usual)",2020
"2263","Olamabolo",39.1533051,2,1165,"Scenario 1(Business as Usual)",2023
"2264","Olamabolo",39.1533051,3,2260,"Scenario 1(Business as Usual)",2026
"2265","Olamabolo",39.1533051,4,3355,"Scenario 1(Business as Usual)",2029
"2266","Olorunda",48.5001715,1,131,"Scenario 1(Business as Usual)",2020
"2267","Olorunda",48.5001715,2,1226,"Scenario 1(Business as Usual)",2023
"2268","Olorunda",48.5001715,3,2321,"Scenario 1(Business as Usual)",2026
"2269","Olorunda",48.5001715,4,3416,"Scenario 1(Business as Usual)",2029
"2270","Olorunsogo",47.1433482,1,186,"Scenario 1(Business as Usual)",2020
"2271","Olorunsogo",47.1433482,2,1281,"Scenario 1(Business as Usual)",2023
"2272","Olorunsogo",47.1433482,3,2376,"Scenario 1(Business as Usual)",2026
"2273","Olorunsogo",47.1433482,4,3471,"Scenario 1(Business as Usual)",2029
"2274","Oluyole",36.806908,1,186,"Scenario 1(Business as Usual)",2020
"2275","Oluyole",36.806908,2,1281,"Scenario 1(Business as Usual)",2023
"2276","Oluyole",36.806908,3,2376,"Scenario 1(Business as Usual)",2026
"2277","Oluyole",36.806908,4,3471,"Scenario 1(Business as Usual)",2029
"2278","Omala",50.4091735,1,223,"Scenario 1(Business as Usual)",2020
"2279","Omala",50.4091735,2,1318,"Scenario 1(Business as Usual)",2023
"2280","Omala",50.4091735,3,2413,"Scenario 1(Business as Usual)",2026
"2281","Omala",50.4091735,4,3508,"Scenario 1(Business as Usual)",2029
"2282","Omumma",38.3538256,1,162,"Scenario 1(Business as Usual)",2020
"2283","Omumma",38.3538256,2,1257,"Scenario 1(Business as Usual)",2023
"2284","Omumma",38.3538256,3,2352,"Scenario 1(Business as Usual)",2026
"2285","Omumma",38.3538256,4,3447,"Scenario 1(Business as Usual)",2029
"2286","Ona-Ara",36.709896,1,131,"Scenario 1(Business as Usual)",2020
"2287","Ona-Ara",36.709896,2,1226,"Scenario 1(Business as Usual)",2023
"2288","Ona-Ara",36.709896,3,2321,"Scenario 1(Business as Usual)",2026
"2289","Ona-Ara",36.709896,4,3416,"Scenario 1(Business as Usual)",2029
"2290","Ondo East",42.6186667,1,131,"Scenario 1(Business as Usual)",2020
"2291","Ondo East",42.6186667,2,1226,"Scenario 1(Business as Usual)",2023
"2292","Ondo East",42.6186667,3,2321,"Scenario 1(Business as Usual)",2026
"2293","Ondo East",42.6186667,4,3416,"Scenario 1(Business as Usual)",2029
"2294","Ondo West",45.3136055,1,131,"Scenario 1(Business as Usual)",2020
"2295","Ondo West",45.3136055,2,1226,"Scenario 1(Business as Usual)",2023
"2296","Ondo West",45.3136055,3,2321,"Scenario 1(Business as Usual)",2026
"2297","Ondo West",45.3136055,4,3416,"Scenario 1(Business as Usual)",2029
"2298","Onicha",46.5831417,1,162,"Scenario 1(Business as Usual)",2020
"2299","Onicha",46.5831417,2,1257,"Scenario 1(Business as Usual)",2023
"2300","Onicha",46.5831417,3,2352,"Scenario 1(Business as Usual)",2026
"2301","Onicha",46.5831417,4,3447,"Scenario 1(Business as Usual)",2029
"2302","Onitsha North",44.5478249,1,162,"Scenario 1(Business as Usual)",2020
"2303","Onitsha North",44.5478249,2,1257,"Scenario 1(Business as Usual)",2023
"2304","Onitsha North",44.5478249,3,2352,"Scenario 1(Business as Usual)",2026
"2305","Onitsha North",44.5478249,4,3447,"Scenario 1(Business as Usual)",2029
"2306","Onitsha South",43.4081069,1,162,"Scenario 1(Business as Usual)",2020
"2307","Onitsha South",43.4081069,2,1257,"Scenario 1(Business as Usual)",2023
"2308","Onitsha South",43.4081069,3,2352,"Scenario 1(Business as Usual)",2026
"2309","Onitsha South",43.4081069,4,3447,"Scenario 1(Business as Usual)",2029
"2310","Onna",29.1878138,1,527,"Scenario 1(Business as Usual)",2021
"2311","Onna",29.1878138,2,1622,"Scenario 1(Business as Usual)",2024
"2312","Onna",29.1878138,3,2717,"Scenario 1(Business as Usual)",2027
"2313","Onna",29.1878138,4,3812,"Scenario 1(Business as Usual)",2030
"2314","Opobo-Nkoro",28.9388868,1,162,"Scenario 1(Business as Usual)",2020
"2315","Opobo-Nkoro",28.9388868,2,1257,"Scenario 1(Business as Usual)",2023
"2316","Opobo-Nkoro",28.9388868,3,2352,"Scenario 1(Business as Usual)",2026
"2317","Opobo-Nkoro",28.9388868,4,3447,"Scenario 1(Business as Usual)",2029
"2318","Oredo",44.5104909,1,162,"Scenario 1(Business as Usual)",2020
"2319","Oredo",44.5104909,2,1257,"Scenario 1(Business as Usual)",2023
"2320","Oredo",44.5104909,3,2352,"Scenario 1(Business as Usual)",2026
"2321","Oredo",44.5104909,4,3447,"Scenario 1(Business as Usual)",2029
"2322","Orelope",45.352717,1,186,"Scenario 1(Business as Usual)",2020
"2323","Orelope",45.352717,2,1281,"Scenario 1(Business as Usual)",2023
"2324","Orelope",45.352717,3,2376,"Scenario 1(Business as Usual)",2026
"2325","Orelope",45.352717,4,3471,"Scenario 1(Business as Usual)",2029
"2326","Orhionmwon",40.7105953,1,162,"Scenario 1(Business as Usual)",2020
"2327","Orhionmwon",40.7105953,2,1257,"Scenario 1(Business as Usual)",2023
"2328","Orhionmwon",40.7105953,3,2352,"Scenario 1(Business as Usual)",2026
"2329","Orhionmwon",40.7105953,4,3447,"Scenario 1(Business as Usual)",2029
"2330","Ori Ire",41.347974,1,186,"Scenario 1(Business as Usual)",2020
"2331","Ori Ire",41.347974,2,1281,"Scenario 1(Business as Usual)",2023
"2332","Ori Ire",41.347974,3,2376,"Scenario 1(Business as Usual)",2026
"2333","Ori Ire",41.347974,4,3471,"Scenario 1(Business as Usual)",2029
"2334","Oriade",46.6673765,1,186,"Scenario 1(Business as Usual)",2020
"2335","Oriade",46.6673765,2,1281,"Scenario 1(Business as Usual)",2023
"2336","Oriade",46.6673765,3,2376,"Scenario 1(Business as Usual)",2026
"2337","Oriade",46.6673765,4,3471,"Scenario 1(Business as Usual)",2029
"2338","Orlu",43.3950418,1,162,"Scenario 1(Business as Usual)",2020
"2339","Orlu",43.3950418,2,1257,"Scenario 1(Business as Usual)",2023
"2340","Orlu",43.3950418,3,2352,"Scenario 1(Business as Usual)",2026
"2341","Orlu",43.3950418,4,3447,"Scenario 1(Business as Usual)",2029
"2342","Orolu",53.7649782,1,186,"Scenario 1(Business as Usual)",2020
