LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,scenario
Funtua,Gwarzo,17.2172547,17.2172547,0,-1,2020,Scenario 1 (Business as Usual)
Gabasawa,Taura,17.4928041,17.4928041,0,-1,2020,Scenario 1 (Business as Usual)
Gada,Gawabawa,10.6631444,10.6631444,0,-1,2020,Scenario 1 (Business as Usual)
Gagarawa,Taura,17.4928041,17.4928041,0,-1,2020,Scenario 1 (Business as Usual)
Gamawa,Gwarzo,17.2172547,17.2172547,0,-1,2020,Scenario 1 (Business as Usual)
Ganaye,Alkaleri,23.4127553,23.4127553,0,-1,2020,Scenario 1 (Business as Usual)
Ganjuwa,Darazo,10.1826237,10.1826237,0,-1,2020,Scenario 1 (Business as Usual)
Garki,Babura,66.6666667,66.6666667,0,-1,2020,Scenario 1 (Business as Usual)
Garko,Gwarzo,17.2172547,17.2172547,0,-1,2020,Scenario 1 (Business as Usual)
Garum Mallam,Gwarzo,15.3846154,15.3846154,0,-1,2020,Scenario 1 (Business as Usual)
Gashaka,Oru West,41.1077428,41.1077428,0,-1,2020,Scenario 1 (Business as Usual)
Gassol,Keana,8.6136445,8.6136445,0,-1,2020,Scenario 1 (Business as Usual)
Gawabawa,Gawabawa,10.6631444,10.6631444,0,-1,2020,Scenario 1 (Business as Usual)
Gaya,Gwarzo,16.6666667,16.6666667,0,-1,2020,Scenario 1 (Business as Usual)
Gbako,Oke-Ero,46.1538462,46.1538462,0,-1,2020,Scenario 1 (Business as Usual)
Gboko,Keana,14.0281332,14.0281332,0,-1,2020,Scenario 1 (Business as Usual)
Gboyin,Obubra,43.8502596,43.8502596,0,-1,2020,Scenario 1 (Business as Usual)
Geidam,Babura,34.9277359,34.9277359,0,-1,2020,Scenario 1 (Business as Usual)
Gezawa,Gwarzo,25,25,0,-1,2020,Scenario 1 (Business as Usual)
Giade,Darazo,14.2857143,14.2857143,0,-1,2020,Scenario 1 (Business as Usual)
Gireri,Darazo,8.0992121,8.0992121,0,-1,2020,Scenario 1 (Business as Usual)
Giwa,Giwa,13.0508332,13.0508332,0,-1,2020,Scenario 1 (Business as Usual)
Gokana,Nsit Ubium,18.2111551,18.2111551,0,-1,2020,Scenario 1 (Business as Usual)
Gombe,Alkaleri,11.6169555,11.6169555,0,-1,2020,Scenario 1 (Business as Usual)
Gombi,Alkaleri,20.8835269,20.8835269,0,-1,2020,Scenario 1 (Business as Usual)
Goronyo,Gawabawa,10.6631444,10.6631444,0,-1,2020,Scenario 1 (Business as Usual)
Gubio,Gawabawa,10.6631444,10.6631444,0,-1,2020,Scenario 1 (Business as Usual)
Gudu,Gawabawa,10.6631444,10.6631444,0,-1,2020,Scenario 1 (Business as Usual)
Gujba,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Gulani,Alkaleri,23.4127553,23.4127553,0,-1,2020,Scenario 1 (Business as Usual)
Guma,Keana,31.5463952,31.5463952,0,-1,2020,Scenario 1 (Business as Usual)
Gumel,Babura,25,25,0,-1,2020,Scenario 1 (Business as Usual)
Gummi,Birnin Kebbi,42.225568,42.225568,0,-1,2020,Scenario 1 (Business as Usual)
Gurara,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Guri,Taura,17.4928041,17.4928041,0,-1,2020,Scenario 1 (Business as Usual)
Gusau,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Guyuk,Alkaleri,48.0706358,48.0706358,0,-1,2020,Scenario 1 (Business as Usual)
Guzamala,Babura,34.9277359,34.9277359,0,-1,2020,Scenario 1 (Business as Usual)
Gwagwalada,Keana,6.7621303,6.7621303,0,-1,2020,Scenario 1 (Business as Usual)
Gwale,Alkaleri,45.946767,45.946767,0,-1,2020,Scenario 1 (Business as Usual)
Gwandu,Birnin Kebbi,52.9411765,52.9411765,0,-1,2020,Scenario 1 (Business as Usual)
Gwaram,Takali,22.3498732,22.3498732,0,-1,2020,Scenario 1 (Business as Usual)
Gwarzo,Gwarzo,40,40,0,-1,2020,Scenario 1 (Business as Usual)
Gwer East,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Gwer West,Keana,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Gwiwa,Babura,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Gwoza,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Hadejia,Taura,17.4928041,17.4928041,0,-1,2020,Scenario 1 (Business as Usual)
Hawul,Darazo,22.1538462,22.1538462,0,-1,2020,Scenario 1 (Business as Usual)
Hong,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Ibadan North,Owan East,24.9042174,24.9042174,0,-1,2020,Scenario 1 (Business as Usual)
Ibadan North East,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Ibadan North West,Owan East,11.7739486,11.7739486,0,-1,2020,Scenario 1 (Business as Usual)
Ibadan South East,Akinyele,15.4926235,15.4926235,0,-1,2020,Scenario 1 (Business as Usual)
Ibadan South West,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Ibaji,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Ibarapa Central,Akinyele,15.4926235,15.4926235,0,-1,2020,Scenario 1 (Business as Usual)
Ibarapa East,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Ibarapa North,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Ibeju-Lekki,Uzo-Uwani,50,50,0,-1,2020,Scenario 1 (Business as Usual)
Ibeno,Nsit Ubium,29.7727761,29.7727761,0,-1,2020,Scenario 1 (Business as Usual)
Ibesikpo Asutan,Nsit Ubium,23.4042549,23.4042549,0,-1,2020,Scenario 1 (Business as Usual)
Ibi,Keana,17.7187213,17.7187213,0,-1,2020,Scenario 1 (Business as Usual)
Ibiono Ibom,Ngor-Okpala,14.2335763,14.2335763,0,-1,2020,Scenario 1 (Business as Usual)
