"","scenario","year","death_rate_mean_all_ages","death_rate_mean_all_ages_max","death_rate_mean_all_ages_min","death_rate_mean_U5","death_rate_mean_U5_max","death_rate_mean_U5_min","incidence_all_ages","incidence_all_ages_max","incidence_all_ages_min","incidence_U5","incidence_U5_max","incidence_U5_min","PfPR_all_ages","PfPR_all_ages_max","PfPR_all_ages_min","PfPR_U5","PfPR_U5_max","PfPR_U5_min"
"41","NGA projection scenario 3",2026,0.467041962508408,0.474542181191772,0.457971225022652,1.72789562216889,1.80927595832728,1.67410697689731,898.637789284141,903.514700254816,894.027211291966,1392.46583661042,1404.30989180204,1379.20293204873,0.150680086563193,0.151105933748681,0.149990095136333,0.130547921381664,0.130975234012665,0.129491236634304
"42","NGA projection scenario 3",2027,0.441196845717553,0.459359578323896,0.430881278398753,1.58524115182439,1.65217842250298,1.50989826863364,910.261780691261,912.39038716359,908.588283239309,1359.26877717085,1366.96442942867,1354.03160344863,0.147243029454593,0.147394087484398,0.147031431008338,0.122446322021388,0.122722833646894,0.121966986772928
"43","NGA projection scenario 3",2028,0.459188556906822,0.477520482190897,0.448130541824427,1.67957830541489,1.73668549028018,1.61449681902172,979.188762507102,984.267789199563,973.597578160607,1461.85402873665,1471.27289660583,1453.26018695655,0.154571919142656,0.155049230322849,0.154053380928277,0.1290164727747,0.129701249271981,0.127825330110167
"44","NGA projection scenario 3",2029,0.426311841132624,0.431481794838833,0.420428625677558,1.52779799233711,1.58810901646766,1.47685987477008,931.698286573867,945.29446090163,926.592156522884,1357.33655230561,1375.71557921286,1350.89058362265,0.143750007038357,0.145108001268406,0.142915366760006,0.116187767277351,0.117215744601026,0.115083560995493
"45","NGA projection scenario 3",2030,0.412677540545861,0.420086514240837,0.402920162233742,1.44334793219369,1.50040613383371,1.36734966537145,944.658164149873,950.029657235431,939.854868758984,1329.9428026069,1333.47789045012,1326.95629028614,0.141041250392459,0.141663613868105,0.140585031595307,0.110341220659367,0.110680552870788,0.109774967688472
"46","NGA projection scenario 4",2019,0.764890697537404,0.764890697537404,0.764890697537404,3.32454107376429,3.32454107376429,3.32454107376429,1115.46426160056,1115.46426160056,1115.46426160056,1949.04454183748,1949.04454183748,1949.04454183748,0.238204327221175,0.238204327221175,0.238204327221175,0.2384632225484,0.2384632225484,0.2384632225484
"47","NGA projection scenario 4",2020,0.652140318743306,0.685155371091811,0.636625673292256,2.68052269937658,2.82804156469709,2.57047346738603,1035.47184114638,1037.91044826974,1033.1855318166,1680.92422006029,1685.48476554374,1674.97388754411,0.202925345752826,0.203226946311969,0.202550212363186,0.191115418782789,0.191427824429439,0.190683516411813
"48","NGA projection scenario 4",2021,0.531798316658841,0.547989451482418,0.517175597413033,2.0574004608032,2.13186565273068,2.025685423335,897.396789447754,901.595342613841,894.836974129267,1429.29987428387,1432.93255392791,1420.37540225501,0.170738472699978,0.171381382462316,0.170215798549995,0.154396810097066,0.154966958597949,0.152924014204919
"49","NGA projection scenario 4",2022,0.552112808053189,0.581377088469369,0.524948972264063,2.18189138218959,2.31984673093395,2.08094717273257,926.913083615913,932.681500976805,924.738880357031,1492.68373206084,1496.96400937427,1485.00049511606,0.171192522757586,0.171964551656459,0.170712561168086,0.156330044745411,0.157022102684553,0.154932567627562
"50","NGA projection scenario 4",2023,0.502040320004711,0.52075400689957,0.484096192939761,1.96246562701787,2.03881347327947,1.88146195633059,856.074345553434,859.015770344448,853.267194843901,1347.79484096226,1356.53092021567,1340.54696339282,0.156003914788384,0.156702545911332,0.155570942348187,0.13861872217908,0.139743305146784,0.137807482326115
"51","NGA projection scenario 4",2024,0.450205095681252,0.460004142842676,0.441500035541851,1.65934781829349,1.7406651786524,1.61018203658592,862.867428120584,868.245817603611,859.091579986182,1302.7571789357,1317.3715117888,1293.29412966292,0.151344062462297,0.152342264340424,0.150460712203509,0.126960118363204,0.128115438116266,0.125851589449497
"52","NGA projection scenario 4",2025,0.487503218744062,0.506429003914504,0.475910953964974,1.81614067257774,1.89942678601825,1.77835942567922,940.413529542041,946.199888105117,938.219825882465,1438.74027851737,1446.28103040868,1431.14753969576,0.160951575091956,0.161723005636972,0.160359786970408,0.137911672980106,0.138438696303633,0.136516458199247
"53","NGA projection scenario 4",2026,0.451547206918146,0.461686233953205,0.442003148016896,1.63525273622025,1.73152169905665,1.52403508992275,885.475104246313,890.504775351529,880.204009382151,1320.05818281767,1329.70977689575,1309.72965309232,0.149258396249681,0.149813738448128,0.148610905303209,0.124307381663707,0.124647997961972,0.12329930446998
"54","NGA projection scenario 4",2027,0.42089964966036,0.431225485469429,0.411152650283345,1.45570495325565,1.51012389887916,1.39812084499105,895.950671089742,897.173411068295,895.458839159429,1273.49470024994,1282.38150412614,1268.56320637925,0.145760816139913,0.14599667687138,0.145413797635512,0.114365826028297,0.114800194626977,0.113730837322617
"55","NGA projection scenario 4",2028,0.444854846946152,0.463574720426388,0.434418262216338,1.59999648572019,1.65101996828761,1.52962982854073,969.481155201772,975.764712475991,966.157414649216,1396.66588060697,1404.1394816198,1392.64831508626,0.153498752654781,0.153961441343276,0.153116294570353,0.123133875592787,0.123749928240137,0.122088032000786
"56","NGA projection scenario 4",2029,0.410253599686766,0.416354461869744,0.405629112815949,1.42607407415576,1.46932250044059,1.39651139365687,920.891729880818,935.520869299257,915.55058862486,1287.80849810934,1307.03363485765,1276.76390468309,0.142744774705534,0.144050803267071,0.141965063005804,0.110885143599055,0.11169215673147,0.109670895634698
"57","NGA projection scenario 4",2030,0.391394092964924,0.404348307425248,0.382355867675903,1.28899556833267,1.34236248741673,1.21494679509616,931.625021680882,940.335143439426,926.69015446573,1241.67869275915,1251.45601602976,1236.10083379139,0.139748096963198,0.140379673936624,0.139274083114409,0.10288062460187,0.103474640983821,0.102324852005072
