04/02 09:54:06 [DEBUG] [18708] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
04/02 09:59:25 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:30 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:36 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:41 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:52 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:59:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:03 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:14 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:25 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:30 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:35 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:41 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:52 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:00:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:03 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:14 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:25 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:30 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:36 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:41 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:52 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:01:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:03 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:14 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:25 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:30 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:36 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:41 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:52 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:02:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:03 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:14 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:25 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:30 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:35 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:41 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:52 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:03:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:04:03 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 10:04:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
