"","X.1","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","mortality","llins_plan","kill_rate","block_initial","simday"
"991",991,991,"Gurara","Oke-Ero",2022,"Gurara",0.8,0.8,0.8,0.8,1,"july",0.530491978,"PBO(2021)",0.747669649,0.697881299,916
"9911",991,991,"Gurara","Oke-Ero",2025,"Gurara",0.8,0.8,0.8,0.8,2,"july",0.530491978,"PBO(2021)",0.747669649,0.697881299,2011
"9912",991,991,"Gurara","Oke-Ero",2028,"Gurara",0.8,0.8,0.8,0.8,3,"july",0.530491978,"PBO(2021)",0.747669649,0.697881299,3106
"607",607,607,"Guri","Taura",2021,"Guri",0.8,0.8,0.8,0.8,1,"july",0.666612333,"PBO(2021)",0.750557938,0.849662142,551
"6071",607,607,"Guri","Taura",2024,"Guri",0.8,0.8,0.8,0.8,2,"july",0.666612333,"PBO(2021)",0.750557938,0.849662142,1646
"6072",607,607,"Guri","Taura",2027,"Guri",0.8,0.8,0.8,0.8,3,"july",0.666612333,"PBO(2021)",0.750557938,0.849662142,2741
"6073",607,607,"Guri","Taura",2030,"Guri",0.8,0.8,0.8,0.8,4,"july",0.666612333,"PBO(2021)",0.750557938,0.849662142,3836
"1383",1383,1383,"Gusau","Darazo",2020,"Gusau",0.8,0.8,0.8,0.8,1,"july",0.74575499,"Standard 2020",0.68794435,0.862584663,186
"13831",1383,1383,"Gusau","Darazo",2023,"Gusau",0.8,0.8,0.8,0.8,2,"july",0.74575499,"Standard 2020",0.68794435,0.862584663,1281
"13832",1383,1383,"Gusau","Darazo",2026,"Gusau",0.8,0.8,0.8,0.8,3,"july",0.74575499,"Standard 2020",0.68794435,0.862584663,2376
"13833",1383,1383,"Gusau","Darazo",2029,"Gusau",0.8,0.8,0.8,0.8,4,"july",0.74575499,"Standard 2020",0.68794435,0.862584663,3471
"41",41,41,"Guyuk","Alkaleri",2020,"Guyuk",0.8,0.8,0.8,0.8,1,"july",0.571995521,"PBO(2021)",0.748844595,0.755853881,186
"412",41,41,"Guyuk","Alkaleri",2023,"Guyuk",0.8,0.8,0.8,0.8,2,"july",0.571995521,"PBO(2021)",0.748844595,0.755853881,1281
"414",41,41,"Guyuk","Alkaleri",2026,"Guyuk",0.8,0.8,0.8,0.8,3,"july",0.571995521,"PBO(2021)",0.748844595,0.755853881,2376
"416",41,41,"Guyuk","Alkaleri",2029,"Guyuk",0.8,0.8,0.8,0.8,4,"july",0.571995521,"PBO(2021)",0.748844595,0.755853881,3471
"267",267,267,"Guzamala","Babura",2020,"Guzamala",0.8,0.8,0.8,0.8,1,"may",0.777569747,"PBO(2021)",0.75163814,0.914006236,131
"2671",267,267,"Guzamala","Babura",2023,"Guzamala",0.8,0.8,0.8,0.8,2,"may",0.777569747,"PBO(2021)",0.75163814,0.914006236,1226
