DS,arabiensis_scale_factor,gambiae_scale_factor,funestus_scale_factor,DS_Name
Njaba,0.259272632,0.51357714,0.227150209,Njaba
Nkwerre,0.311460667,0.469901476,0.218637857,Nkwerre
Nwangele,0.358237607,0.451886874,0.189875507,Nwangele
Oyo East,0.13552812,0.47549903,0.388972844,Oyo East
Oguta,0.137909393,0.596968329,0.26512228,Oguta
Ohaji-Egbema,0.118285354,0.584011215,0.297703434,Ohaji-Egbema
Okigwe,0.113961918,0.635302123,0.250735962,Okigwe
Orlu,0.339741177,0.478548809,0.181710018,Orlu
Orsu,0.358853783,0.48562262,0.155523591,Orsu
Oru East,0.245736184,0.50927777,0.244986036,Oru East
Oru West,0.161580316,0.568714643,0.269705032,Oru West
Owerri-Municipal,0.228110454,0.441238155,0.330651394,Owerri-Municipal
Tofa,0.833203587,0.003760777,0.163035661,Tofa
Owerri North,0.290677334,0.414255775,0.29506689,Owerri North
Owerri West,0.124683246,0.557476761,0.317839979,Owerri West
Unuimo,0.135586291,0.631309039,0.233104662,Unuimo
Auyo,0.770092093,0.01005325,0.219854646,Auyo
Babura,0.902535921,0,0.097464072,Babura
Biriniwa,0.889403368,0,0.110596631,Biriniwa
Malam Madori,0.849771359,0.003843263,0.146385372,Malam Madori
Birni Kudu,0.744151036,0.001190737,0.254658224,Birni Kudu
Buji,0.785756404,0,0.214243596,Buji
Jahun,0.829818746,0,0.170181261,Jahun
Dutse,0.816982379,0,0.183017622,Dutse
Gagarawa,0.907484202,0,0.092515799,Gagarawa
Kafin Hausa,0.801175232,0.019929542,0.178895222,Kafin Hausa
Garki,0.911224118,0,0.088775885,Garki
Gumel,0.830706787,0,0.169293213,Gumel
Guri,0.78268873,0,0.217311273,Guri
Gwaram,0.669440825,0.002949258,0.327609918,Gwaram
Gwiwa,0.916796514,0,0.083203475,Gwiwa
Hadejia,0.813648037,9.84e-11,0.186351982,Hadejia
Kaugama,0.874128789,0,0.125871209,Kaugama
Kazaure,0.904154499,0,0.095845508,Kazaure
Kiri Kasamma,0.713323222,0.000735865,0.285940915,Kiri Kasamma
Tsanyawa,0.815737343,0,0.184262654,Tsanyawa
Miga,0.795445481,0.00918228,0.195372236,Miga
Ringim,0.860836276,0,0.139163714,Ringim
Roni,0.896286505,0,0.103713494,Roni
Taura,0.882568874,0,0.117431131,Taura
Yankwashi,0.934757866,0,0.065242135,Yankwashi
Kiyawa,0.814000608,0,0.185999393,Kiyawa
Dutsi,0.910533305,0,0.089466701,Dutsi
Birnin-Gwari,0.329206206,0.185923083,0.484870713,Birnin-Gwari
Kajuru,0.380002554,0.100180552,0.519816896,Kajuru
Chikun,0.333213105,0.221206888,0.445580009,Chikun
Giwa,0.429381064,0.149538534,0.421080407,Giwa
Koko-Besse,0.214449879,0.432784259,0.352765863,Koko-Besse
Igabi,0.385939556,0.117550201,0.496510245,Igabi
Ikara,0.595848838,0.059935273,0.344215882,Ikara
Jaba,0.348726084,0.299636221,0.351637699,Jaba
Ogori-Mangongo,0.278620673,0.425428111,0.295951229,Ogori-Mangongo
Jema'a,0.307488635,0.263635009,0.428876355,Jema'a
Kachia,0.311859879,0.280566546,0.407573575,Kachia
Kaduna North,0.335959197,0.082290426,0.581750384,Kaduna North
Kudan,0.616895807,0.08840028,0.294703924,Kudan
Kagarko,0.336200125,0.28463993,0.379159946,Kagarko
Kaura,0.368127244,0.221363382,0.410509371,Kaura
Kauru,0.339417173,0.144598542,0.51598428,Kauru
Kubau,0.510915997,0.05800357,0.431080431,Kubau
Lere,0.519845153,0.047263959,0.432890891,Lere
Markafi,0.606180088,0.084806756,0.309013157,Markafi
Sabon-Gari,0.436810796,0.119709707,0.443479492,Sabon-Gari
Sanga,0.271427222,0.293790078,0.434782699,Sanga
Soba,0.457183627,0.075145952,0.467670423,Soba
Zango-Kataf,0.315815805,0.26104375,0.423140446,Zango-Kataf
Zaria,0.407039957,0.12391762,0.469042432,Zaria
Kaduna South,0.370034311,0.060487631,0.569478032,Kaduna South
Bichi,0.817339327,0.002074786,0.180585887,Bichi
Ajingi,0.823590716,9.87e-12,0.176409286,Ajingi
Albasu,0.76902715,0,0.230972862,Albasu
Bagwai,0.841639914,1.19e-11,0.158360087,Bagwai
Bebeji,0.758297929,0.024811372,0.216890698,Bebeji
Dambatta,0.891230842,0,0.108769149,Dambatta
Dawakin Kudu,0.798903758,0.009982086,0.191114149,Dawakin Kudu
Dawakin Tofa,0.833835123,0.00117469,0.164990195,Dawakin Tofa
Doguwa,0.64354199,0.046079632,0.310378379,Doguwa
Gabasawa,0.854957175,0,0.145042821,Gabasawa
Garko,0.7456986,0.001316368,0.252985037,Garko
Garum Mallam,0.641609284,0,0.358390717,Garum Mallam
Gaya,0.792799431,0.002015461,0.205185113,Gaya
Gezawa,0.792102971,0.002304812,0.205592212,Gezawa
Gwale,0.533695186,2.52e-10,0.466304827,Gwale
Gwarzo,0.750623991,0.003646597,0.24572942,Gwarzo
Kabo,0.782096758,0.005708302,0.212194945,Kabo
Kano Municipal,0.447764931,0.019644445,0.532590646,Kano Municipal
Karaye,0.801442414,0.001592792,0.196964791,Karaye
Kibiya,0.761876693,1.76e-11,0.238123308,Kibiya
Kiru,0.750692853,0.013434536,0.235872602,Kiru
Kumbotso,0.651323106,0.020952983,0.327723917,Kumbotso
Yagba West,0.070836475,0.692701381,0.236462146,Yagba West
Kunchi,0.867216427,0,0.132783578,Kunchi
Kura,0.727049654,0.001966659,0.270983676,Kura
Madobi,0.862880759,0,0.137119251,Madobi
Makoda,0.896159726,0,0.10384027,Makoda
Ekiti,0.11773671,0.540807907,0.341455383,Ekiti
Minjibir,0.856365515,0,0.14363449,Minjibir
Nasarawa1,0.427946368,0.029854995,0.542198633,Nasarawa1
Rano,0.761177157,0.016468865,0.22235398,Rano
Rimin Gado,0.850748677,3.36e-11,0.149251344,Rimin Gado
Bindawa,0.844608769,0,0.155391227,Bindawa
Rogo,0.61651496,0.059399846,0.3240852,Rogo
Shanono,0.795528093,0.006264021,0.198207891,Shanono
Sumaila,0.736444251,0.003271817,0.260283929,Sumaila
Takali,0.775027171,0,0.224972831,Takali
Tarauni,0.360768499,0.04007537,0.599156165,Tarauni
Tudun Wada,0.656918213,0.030730385,0.312351403,Tudun Wada
Ungogo,0.723253721,0.008864655,0.267881624,Ungogo
Warawa,0.790501892,3.65e-11,0.20949811,Warawa
Wudil,0.790543733,0,0.209456266,Wudil
Daura,0.920847428,0,0.079152579,Daura
Bakori,0.5982248,0.061023368,0.340751838,Bakori
Batagarawa,0.880003496,0,0.1199965,Batagarawa
Batsari,0.887931311,0,0.112068686,Batsari
Charanchi,0.829534658,0,0.170465336,Charanchi
Dan Musa,0.770074536,0.015544012,0.214381451,Dan Musa
Dandume,0.546598445,0.097004957,0.356396608,Dandume
Danja,0.55233912,0.071808189,0.375852686,Danja
Dutsin-Ma,0.811290832,0,0.188709164,Dutsin-Ma
Faskari,0.501525783,0.086550316,0.411923895,Faskari
Funtua,0.565743784,0.109681598,0.324574611,Funtua
Asa,0.085257754,0.632315589,0.282426653,Asa
Ingawa,0.8805468,0,0.119453192,Ingawa
Kafur,0.645637183,0.028485607,0.325877211,Kafur
Kankara,0.690207681,0.042200866,0.267591454,Kankara
Kankia,0.812771731,0,0.187228271,Kankia
Katsina,0.857486487,0,0.142513507,Katsina
Kurfi,0.848870354,0.005108943,0.146020702,Kurfi
Kusada,0.831507398,0,0.168492607,Kusada
Malumfashi,0.653574763,0.033137644,0.313287582,Malumfashi
Mani,0.897171152,0,0.10282885,Mani
Matazuu,0.79217131,9.02e-12,0.207828688,Matazuu
Birnin Kebbi,0.309917288,0.250700159,0.439382547,Birnin Kebbi
Musawa,0.749189104,0.011676226,0.239134674,Musawa
Rimi,0.86392495,0,0.136075038,Rimi
Sabuwa,0.440074358,0.134753176,0.425172467,Sabuwa
Safana,0.932635015,0,0.067364982,Safana
Sandamu,0.796112624,0.00131011,0.202577265,Sandamu
Aleiro,0.282972612,0.286035507,0.430991881,Aleiro
Argungu,0.354505693,0.194534439,0.450959875,Argungu
Augie,0.476050171,0.101577964,0.422371869,Augie
Bunza,0.427523823,0.173196371,0.399279805,Bunza
Fakai,0.162724555,0.325392022,0.511883423,Fakai
Gwandu,0.313852194,0.213955462,0.472192344,Gwandu
Jega,0.28587948,0.276951283,0.437169238,Jega
Kalgo,0.398250624,0.146652302,0.455097073,Kalgo
Iseyin,0.078327413,0.646665301,0.275007287,Iseyin
Maiyama,0.270799522,0.236238881,0.492961603,Maiyama
Ngaski,0.151655045,0.529302652,0.319042305,Ngaski
Sakaba,0.23687661,0.331915878,0.431207513,Sakaba
Shanga,0.15929535,0.397753905,0.442950746,Shanga
Suru,0.283081551,0.235374779,0.48154367,Suru
Wasagu-Danko,0.287588321,0.189190693,0.523220985,Wasagu-Danko
Yauri,0.212536113,0.366326111,0.421137773,Yauri
Zuru,0.277209687,0.219066138,0.50372418,Zuru
Adavi,0.102991054,0.583351747,0.313657196,Adavi
Ajaokuta,0.107926727,0.636413442,0.255659834,Ajaokuta
Ankpa,0.135342776,0.516789679,0.347867547,Ankpa
Bassa1,0.108994389,0.598181022,0.292824588,Bassa1
Dekina,0.112091493,0.538730624,0.349177885,Dekina
Edu,0.165013814,0.637288976,0.19769721,Edu
Ibaji,0.113110083,0.585706826,0.30118309,Ibaji
Idah,0.126873712,0.726610953,0.14651536,Idah
Igalamela-Odolu,0.111832439,0.546699495,0.341468067,Igalamela-Odolu
Ijumu,0.153484542,0.516327598,0.330187858,Ijumu
Kabba-Bunu,0.112105644,0.655163937,0.23273042,Kabba-Bunu
Kogi,0.10061789,0.666862892,0.232519218,Kogi
Lokoja,0.106044018,0.685737538,0.201639495,Lokoja
Mopa-Muro,0.092469598,0.695789154,0.211741254,Mopa-Muro
Ofu,0.095077406,0.575347777,0.329574818,Ofu
Okehi,0.088711824,0.656744648,0.254543519,Okehi
Okene,0.09840093,0.623878061,0.277721011,Okene
Olamabolo,0.111043001,0.449401535,0.439555463,Olamabolo
Omala,0.078340811,0.638002249,0.283656942,Omala
Yagba East,0.085819462,0.688415357,0.225765181,Yagba East
Ifelodun1,0.094192327,0.626423614,0.279384063,Ifelodun1
Ilorin East,0.096930742,0.584711552,0.3183577,Ilorin East
Ilorin South,0.110794305,0.564935761,0.324269929,Ilorin South
Ilorin West,0.127926278,0.55299908,0.319074656,Ilorin West
Irepodun1,0.1392547,0.54492294,0.315822362,Irepodun1
Itesiwaju,0.091786812,0.624130812,0.284082378,Itesiwaju
Isin,0.12841771,0.543713453,0.327868839,Isin
Kaiama,0.110194043,0.727765861,0.162040096,Kaiama
Moro,0.119164524,0.654385335,0.226450141,Moro
Offa,0.144424628,0.58725465,0.268320727,Offa
Oke-Ero,0.107882725,0.582967531,0.309149752,Oke-Ero
Kajola,0.102092966,0.575844103,0.322062927,Kajola
Oyun,0.148664874,0.543635696,0.307699432,Oyun
Pategi,0.129361529,0.701019616,0.169618857,Pategi
Agege,0.154577447,0.450085533,0.395337005,Agege
Ajeromi-Ifelodun,0.156260623,0.690467238,0.153272135,Ajeromi-Ifelodun
Alimosho,0.184336855,0.282528567,0.533134588,Alimosho
Apapa,0.235394754,0.645506712,0.119098521,Apapa
Epe,0.20125078,0.726744999,0.035640579,Epe
Ifako-Ijaye,0.168699255,0.087494259,0.743806468,Ifako-Ijaye
Ikeja,0.112896049,0.525308555,0.361795396,Ikeja
Mushin,0.340825206,0.484071434,0.175103381,Mushin
Kokona,0.212524072,0.465948955,0.32152697,Kokona
Ojo,0.351417024,0.502303101,0.146279876,Ojo
Oshodi-Isolo,0.089960965,0.508566513,0.401472516,Oshodi-Isolo
Surulere1,0.202197644,0.605867119,0.191935237,Surulere1
Akwanga,0.285145873,0.295612005,0.419242122,Akwanga
Obi2,0.120975048,0.628176293,0.25084866,Obi2
