,LGA,time2,month,year ,PfPr_RDT,ci_l,ci_u,Number of Kids,PfPr_microscopy,ci_l,ci_u,Number of Kids
200,Ekeremor,18-Nov,11,2018,0.180812972,0.01190615,0.349719794,6,0.0862684,-0.029080317,0.201617117,4
201,Ekeremor,18-Dec,12,2018,0.253368691,0.071193388,0.435543994,9,0.060777112,-0.042535643,0.164089867,7
202,Eket,18-Nov,11,2018,0,0,0,4,0,0,0,4
203,Ekiti,18-Oct,10,2018,0.459855418,0.295517256,0.62419358,9,0.335441279,0.129514046,0.541368512,7
204,Ekiti East,18-Sep,9,2018,0.714285714,0.714285714,0.714285714,4,0.6,0.6,0.6,3
205,Ekiti South West,18-Nov,11,2018,0.5,0.5,0.5,2,0,0,0,1
206,Ekiti South West,18-Dec,12,2018,0.615384615,0.615384615,0.615384615,8,0.545454545,0.545454545,0.545454545,7
207,Ekiti West,18-Oct,10,2018,0.641720744,0.182340142,1.101101345,7,0.234457743,0.071003645,0.397911842,5
208,Ekiti West,18-Nov,11,2018,0.75,0.75,0.75,2,0,0,0,2
209,Ekwusigo,18-Nov,11,2018,0,0,0,20,0,0,0,16
210,Eleme,18-Sep,9,2018,0.076789524,-0.062506795,0.216085844,31,0.065370619,-0.044755273,0.17549651,18
211,Emohua,18-Nov,11,2018,0,0,0,1,0,0,0,1
212,Emure,18-Dec,12,2018,0.333333333,0.333333333,0.333333333,5,0,0,0,4
213,Enugu East,18-Nov,11,2018,0.184221884,-0.034313513,0.402757281,24,0.14825577,-0.054365164,0.350876705,18
214,Enugu North,18-Nov,11,2018,0,0,0,2,0,0,0,2
215,Enugu North,18-Dec,12,2018,0.125,0.125,0.125,7,0.142857143,0.142857143,0.142857143,6
216,Enugu South,18-Nov,11,2018,0,0,0,1,,,,
217,Enugu South,18-Dec,12,2018,0,0,0,9,0,0,0,7
218,Epe,18-Oct,10,2018,0.142857143,0.142857143,0.142857143,6,0,0,0,4
219,Esan Central,18-Oct,10,2018,0.5,0.5,0.5,1,0,0,0,1
220,Esan North East,18-Oct,10,2018,0,0,0,1,0,0,0,1
221,Esan South East,18-Oct,10,2018,0.209620461,0.115773955,0.303466967,3,0,0,0,2
222,Ese-Odo,18-Nov,11,2018,0.166666667,0.166666667,0.166666667,5,0.5,0.5,0.5,4
223,Esit Eket,18-Nov,11,2018,0.4,0.4,0.4,12,0.333333333,0.333333333,0.333333333,7
224,Essien Udim,18-Sep,9,2018,0.154873166,0.070505057,0.239241275,15,0.185826779,-0.143352263,0.51500582,13
225,Etche,18-Nov,11,2018,0.222222222,0.222222222,0.222222222,4,0.25,0.25,0.25,2
226,Etche,18-Dec,12,2018,0,0,0,2,0.5,0.5,0.5,2
227,Ethiope East,18-Sep,9,2018,0.712355898,0.629110372,0.795601423,18,0.52722493,0.380556725,0.673893135,13
228,Ethiope West,18-Dec,12,2018,1,1,1,1,0.5,0.5,0.5,1
229,Etinan,18-Sep,9,2018,0,0,0,1,0,0,0,1
230,Etsako Central,18-Oct,10,2018,0.5,0.5,0.5,1,0.5,0.5,0.5,1
231,Etsako Central,18-Sep,9,2018,0,0,0,0,0,0,0,0
232,Etsako East,18-Sep,9,2018,0.111111111,0.111111111,0.111111111,16,0.25,0.25,0.25,7
233,Etsako West,18-Oct,10,2018,0,0,0,10,0,0,0,7
234,Etsako West,18-Sep,9,2018,0,0,0,6,0,0,0,2
235,Etung,18-Oct,10,2018,0,0,0,2,,,,
236,Ewekoro,18-Sep,9,2018,0.484610769,0.411127234,0.558094303,21,0.439106455,0.413530105,0.464682805,13
