,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
268,Yakurr,15-Oct,10,2015,0.222222222,0.222222222,0.222222222,9,0.333333333,0.333333333,0.333333333,9
269,Yamaltu-Deba,15-Oct,10,2015,0.68,0.68,0.68,15,0.653846154,0.653846154,0.653846154,16
270,Yauri,15-Oct,10,2015,0.84,0.84,0.84,25,0.448275862,0.448275862,0.448275862,29
271,Yauri,15-Nov,11,2015,1,1,1,4,0.5,0.5,0.5,4
272,Yenegoa,15-Oct,10,2015,0.104682337,0.047887686,0.161476989,24,0.123968659,0.010379356,0.237557962,24
273,Yola North,15-Nov,11,2015,0.280160396,-0.079765415,0.640086206,22,0.457982563,0.026877848,0.889087278,22
274,Yorro,15-Oct,10,2015,0.782608696,0.782608696,0.782608696,15,0.826086957,0.826086957,0.826086957,15
275,Zaki,15-Oct,10,2015,0.5,0.5,0.5,17,0.769230769,0.769230769,0.769230769,19
276,Zango-Kataf,15-Oct,10,2015,0.556764089,0.164084563,0.949443615,91,0.736388398,0.485913342,0.986863454,99
277,Zaria,15-Oct,10,2015,0.263157895,0.263157895,0.263157895,18,0.263157895,0.263157895,0.263157895,18
278,Zaria,15-Nov,11,2015,0,0,0,5,0.4,0.4,0.4,5
279,Zurmi,15-Oct,10,2015,0.823529412,0.823529412,0.823529412,22,0.764705882,0.764705882,0.764705882,22
