,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
105,Ihitte-Uboma,10-Nov,11,2010,0,0,0,1,0,0,0,1
106,Ijebu North,10-Oct,10,2010,0.666666667,0.666666667,0.666666667,5,0.333333333,0.333333333,0.333333333,5
107,Ika South,10-Nov,11,2010,0.327222087,0.31525183,0.339192345,28,0.570666018,0.513208782,0.628123254,28
108,Ikeja,10-Nov,11,2010,0,0,0,5,0.161214048,0.072608073,0.249820023,5
109,Ikorodu,10-Nov,11,2010,0.230769231,0.230769231,0.230769231,9,0.230769231,0.230769231,0.230769231,9
110,Ikot Abasi,10-Nov,11,2010,0.133333333,0.133333333,0.133333333,36,0.8,0.8,0.8,36
111,Ikpoba-Okha,10-Oct,10,2010,0.346153846,0.346153846,0.346153846,33,0.230769231,0.230769231,0.230769231,33
112,Ikwerre,10-Nov,11,2010,0.368421053,0.368421053,0.368421053,17,0.684210526,0.684210526,0.684210526,17
113,Ikwo,10-Dec,12,2010,0.305356239,0.234420564,0.376291913,35,0.409672393,0.391938474,0.427406312,35
114,Illela,10-Nov,11,2010,0.5,0.5,0.5,28,0.857142857,0.857142857,0.857142857,28
115,Ilorin East,10-Oct,10,2010,0,0,0,43,0.416666667,0.416666667,0.416666667,43
116,Irepodun-Ifelodun,10-Oct,10,2010,0.690789852,0.640099711,0.741479993,37,0.569221803,0.547182612,0.591260995,37
117,Irepodun1,10-Oct,10,2010,0.272727273,0.272727273,0.272727273,11,0.166666667,0.166666667,0.166666667,12
118,Isiala Mbano,10-Oct,10,2010,0.197290761,0.158378337,0.236203185,15,0.25853895,0.141801679,0.375276222,15
119,Isiala-Ngwa North,10-Nov,11,2010,0.363636364,0.363636364,0.363636364,15,0.590909091,0.590909091,0.590909091,15
120,Isu,10-Oct,10,2010,0.2,0.2,0.2,15,0.133333333,0.133333333,0.133333333,15
121,Ivo,10-Nov,11,2010,0.5,0.5,0.5,11,0.571428571,0.571428571,0.571428571,11
122,Jos North,10-Oct,10,2010,0.072524683,-0.038073645,0.183123011,16,0,0,0,16
123,Kabba-Bunu,10-Nov,11,2010,0.714285714,0.714285714,0.714285714,15,0.571428571,0.571428571,0.571428571,15
124,Kabo,10-Nov,11,2010,0.529411765,0.529411765,0.529411765,13,0.941176471,0.941176471,0.941176471,13
125,Kaduna North,10-Nov,11,2010,0,0,0,11,0.0625,0.0625,0.0625,11
126,Kafin Hausa,10-Oct,10,2010,0.318181818,0.318181818,0.318181818,52,0.636363636,0.636363636,0.636363636,52
127,kaita,10-Oct,10,2010,0.787878788,0.787878788,0.787878788,58,0.757575758,0.757575758,0.757575758,58
128,Kajola,10-Dec,12,2010,0.5,0.5,0.5,23,0.6,0.6,0.6,23
129,Kala-Balge,10-Dec,12,2010,0,0,0,11,0,0,0,11
130,Kanke,10-Oct,10,2010,0.384615385,0.384615385,0.384615385,7,0.692307692,0.692307692,0.692307692,7
131,Karasuwa,10-Oct,10,2010,0.65,0.65,0.65,24,1,1,1,24
132,Katagum,10-Nov,11,2010,0.545454545,0.545454545,0.545454545,15,0.545454545,0.545454545,0.545454545,15
133,Katcha,10-Dec,12,2010,0.961538462,0.961538462,0.961538462,18,0.423076923,0.423076923,0.423076923,18
134,Kaura-Namoda,10-Oct,10,2010,0.739130435,0.739130435,0.739130435,35,0.739130435,0.739130435,0.739130435,35
135,Kauru,10-Nov,11,2010,0.714285714,0.714285714,0.714285714,12,1,1,1,14
136,Koko-Besse,10-Nov,11,2010,0.764705882,0.764705882,0.764705882,55,0.764705882,0.764705882,0.764705882,55
137,Konshisha,10-Oct,10,2010,0.551724138,0.551724138,0.551724138,46,0.448275862,0.448275862,0.448275862,46
138,Kura,10-Nov,11,2010,0.058823529,0.058823529,0.058823529,21,0.235294118,0.235294118,0.235294118,21
139,Lafia,10-Nov,11,2010,0.53125,0.53125,0.53125,26,0.3125,0.3125,0.3125,26
140,Lagos Mainland,10-Oct,10,2010,0,0,0,2,0,0,0,2
141,Lamurde,10-Oct,10,2010,0,0,0,1,0,0,0,1
142,Lamurde,10-Dec,12,2010,0.387096774,0.387096774,0.387096774,22,0.612903226,0.612903226,0.612903226,22
143,Lavun,10-Dec,12,2010,1,1,1,24,0.5,0.5,0.5,25
144,Lere,10-Nov,11,2010,0.413793103,0.413793103,0.413793103,25,0.24137931,0.24137931,0.24137931,25
145,Lokoja,10-Nov,11,2010,0.066666667,0.066666667,0.066666667,11,0.066666667,0.066666667,0.066666667,11
146,Madagali,10-Nov,11,2010,0.307692308,0.307692308,0.307692308,13,1,1,1,13
147,Mafa,10-Nov,11,2010,0.25,0.25,0.25,5,0.5,0.5,0.5,5
148,Magama,10-Dec,12,2010,0.441176471,0.441176471,0.441176471,46,0.382352941,0.382352941,0.382352941,46
149,Magumeri,10-Oct,10,2010,0.3,0.3,0.3,18,0.6,0.6,0.6,18
150,Maiduguri,10-Nov,11,2010,0,0,0,5,0,0,0,5
151,Makurdi,10-Oct,10,2010,0.25,0.25,0.25,9,0.25,0.25,0.25,9
152,Malam Madori,10-Oct,10,2010,0,0,0,35,0.3,0.3,0.3,35
153,Markafi,10-Nov,11,2010,0.033333333,0.033333333,0.033333333,26,0.1,0.1,0.1,26
154,Michika,10-Nov,11,2010,0.136363636,0.136363636,0.136363636,19,0,0,0,19
155,Michika,10-Dec,12,2010,0,0,0,11,0,0,0,11
156,Misau,10-Oct,10,2010,0.035714286,0.035714286,0.035714286,20,0.107142857,0.107142857,0.107142857,20
157,Moro,10-Oct,10,2010,0.619047619,0.619047619,0.619047619,19,0.666666667,0.666666667,0.666666667,19
158,Moro,10-Nov,11,2010,0.733333333,0.733333333,0.733333333,16,0.866666667,0.866666667,0.866666667,16
159,Mubi North,10-Dec,12,2010,0.117647059,0.117647059,0.117647059,8,0.117647059,0.117647059,0.117647059,8
160,Musawa,10-Oct,10,2010,0.457142857,0.457142857,0.457142857,68,0.571428571,0.571428571,0.571428571,68
161,Mushin,10-Oct,10,2010,0,0,0,2,0.333333333,0.333333333,0.333333333,2
162,Mushin,10-Nov,11,2010,0,0,0,2,0,0,0,2
163,Ndokwa West,10-Nov,11,2010,0.5,0.5,0.5,29,0.733333333,0.733333333,0.733333333,29
164,Nganzai,10-Nov,11,2010,0.5,0.5,0.5,35,1,1,1,35
165,Nguru,10-Oct,10,2010,0.259259259,0.259259259,0.259259259,40,0.962962963,0.962962963,0.962962963,40
166,Ningi,10-Oct,10,2010,0.702702703,0.702702703,0.702702703,41,0.621621622,0.621621622,0.621621622,41
167,Nkanu West,10-Nov,11,2010,0.363993988,0.069260659,0.658727318,24,0.422639247,0.132659681,0.712618812,24
168,Nnewi North,10-Oct,10,2010,0,0,0,15,0.142857143,0.142857143,0.142857143,15
169,Nsukka,10-Nov,11,2010,0.291666667,0.291666667,0.291666667,13,0.458333333,0.458333333,0.458333333,13
170,Obi Nwa,10-Nov,11,2010,0.277777778,0.277777778,0.277777778,15,0.277777778,0.277777778,0.277777778,15
171,Obi1,10-Nov,11,2010,0.5,0.5,0.5,25,0.5,0.5,0.5,25
172,Obi2,10-Nov,11,2010,0.333333333,0.333333333,0.333333333,19,0.25,0.25,0.25,19
173,Obia-Akpor,10-Nov,11,2010,0,0,0,34,0.586206897,0.586206897,0.586206897,34
174,Obokun,10-Nov,11,2010,0.625,0.625,0.625,19,0.75,0.75,0.75,19
175,Obot Akara,10-Nov,11,2010,0.266666667,0.266666667,0.266666667,10,0.566666667,0.566666667,0.566666667,10
176,Obubra,10-Oct,10,2010,0.571428571,0.571428571,0.571428571,34,0.761904762,0.761904762,0.761904762,34
177,Ogbia,10-Oct,10,2010,0.423076923,0.423076923,0.423076923,28,0.384615385,0.384615385,0.384615385,28
178,Ogbomosho North,10-Nov,11,2010,0.125,0.125,0.125,10,0,0,0,10
179,Ogu-Bolo,10-Nov,11,2010,0.125,0.125,0.125,14,0.76,0.76,0.76,15
180,Ohaji-Egbema,10-Oct,10,2010,0.5,0.5,0.5,15,0.65,0.65,0.65,15
181,Ohaozara,10-Dec,12,2010,0.333333333,0.333333333,0.333333333,6,0.571428571,0.571428571,0.571428571,7
182,Ojo,10-Nov,11,2010,0.125,0.125,0.125,9,0.125,0.125,0.125,9
183,Okene,10-Nov,11,2010,0.2,0.2,0.2,14,0.32,0.32,0.32,14
184,Okpokwu,10-Nov,11,2010,0.631578947,0.631578947,0.631578947,23,0.421052632,0.421052632,0.421052632,23
