"","LGA","measles","ci_l","ci_u","Number of Participants"
"267","Igbo-Etiti",0.844045600054496,0.73609873227113,0.951992467837863,22
"268","Igbo-Eze North",0.299299178137843,-0.0588316023823113,0.657429958657998,14
"269","Igbo-Eze South",0.464624677702083,0.230217652004079,0.699031703400086,9
"270","Igueben",0.445838027765578,0.377022969426013,0.514653086105142,6
"271","Ihiala",0.562637361798131,0.55159173267244,0.573682990923821,21
"272","Ijebu East",0.428571428571429,0.428571428571429,0.428571428571429,10
"273","Ijebu North",0.14269796357593,0.00115346079142944,0.284242466360431,15
"274","Ijebu North East",0.142857142857143,0.142857142857143,0.142857142857143,3
"275","Ijebu ode",0.373873853280912,0.28637133071009,0.461376375851734,17
"276","Ijero",0.633861132080056,0.242570439737081,1.02515182442303,6
"277","Ijumu",0.666666666666667,0.666666666666667,0.666666666666667,7
"278","Ika North East",0.555555555555556,0.555555555555555,0.555555555555556,9
"279","Ika South",0.5,0.5,0.5,3
"280","Ikara",0.256800364102377,0.130623421992981,0.382977306211774,70
"281","Ikeduru",0.730028437124407,0.686898548148092,0.773158326100722,10
"282","Ikeja",0.454545454545454,0.454545454545454,0.454545454545455,35
"283","Ikenne",0.333333333333333,0.333333333333333,0.333333333333333,2
"284","Ikere",0.5,0.5,0.5,1
"285","Ikole",0.701083227852084,0.655459704015139,0.746706751689029,45
"286","Ikom",0.450349670798487,0.335136635531469,0.565562706065505,10
"287","Ikono",0.5,0.5,0.5,9
"288","Ikorodu",0.527812580646814,0.408130521310048,0.64749463998358,61
"289","Ikot Abasi",0.625,0.625,0.625,13
"290","Ikot Ekpene",0.436791196932045,0.372332047218167,0.501250346645922,11
"291","Ikpoba-Okha",0.575965224509194,0.239110804997448,0.912819644020939,28
"292","Ikwerre",0.235603449556441,0.0853111099502582,0.385895789162624,55
"293","Ikwo",0.521217828559336,0.397642674897224,0.644792982221448,53
"294","Ikwuano",0.729393470892019,0.704788487276109,0.753998454507929,7
"295","Ila",0.714606819217305,0.568839933552086,0.860373704882524,17
"296","Ilaje",0.0909090909090909,0.0909090909090909,0.0909090909090909,11
"297","Ile-Oluji-Okeigbo",0.857142857142857,0.857142857142857,0.857142857142857,13
"298","Ilemeji",0.714285714285714,0.714285714285714,0.714285714285715,1
"299","Ilesha East",0.5,0.5,0.5,2
"300","Ilesha West",0.576200435739825,0.350727613367125,0.801673258112526,23
"301","Illela",0.200329325516613,0.154179394911578,0.246479256121648,47
"302","Ilorin East",0.831900258289354,0.729291451025922,0.934509065552787,19
"303","Ilorin West",0.603821678664918,0.433708865445797,0.773934491884039,34
"304","Imeko-Afon",0,0,0,2
"305","Ingawa",0.0434782608695652,0.0434782608695652,0.0434782608695652,31
"306","Ini",0.545454545454545,0.545454545454545,0.545454545454546,9
"307","Ipokia",0.3,0.3,0.3,12
"308","Irele",0.625,0.625,0.625,6
"309","Irepodun/Ifelodun",1,1,1,1
"310","Irepodun1",0.330255816449813,0.170645276314369,0.489866356585257,7
"311","Irepodun2",0.3,0.3,0.3,17
"312","Irewole",0.700712548957994,0.470891597158609,0.930533500757379,21
"313","Isa",0.285714285714286,0.285714285714286,0.285714285714286,12
"314","Ise/Orun",0.709677356301557,0.475453545994877,0.943901166608237,11
"315","Iseyin",0.242787987851203,0.0983342607106952,0.387241714991711,38
"316","Ishielu",0.537717425028345,0.428251790040723,0.647183060015966,33
"317","Isiala Mbano",0.393007451150883,0.346047170618294,0.439967731683471,7
"318","Isiala-Ngwa North",0.563744177314059,0.537045801719086,0.590442552909033,13
"319","Isiala-Ngwa South",0.494354624220449,0.315145649875007,0.673563598565891,18
"320","Isin",0.627363746663384,0.580466097984147,0.67426139534262,10
"321","Isoko North",0.6,0.6,0.6,15
"322","Isoko South",0.460980413863463,0.445669037424018,0.476291790302908,13
"323","Isu",0.333333333333333,0.333333333333333,0.333333333333333,3
"324","Isuikwato",0.494736775038945,0.203680997356481,0.785792552721408,7
"325","Itas/Gadau",0.335290859853807,0.141937077697847,0.528644642009766,12
"326","Itu",0,0,0,3
"327","Iwajowa",0.545454545454545,0.545454545454545,0.545454545454546,18
"328","Iwo",0.649820286658939,0.573851661332031,0.725788911985848,23
"329","Izzi",0.439730170445278,0.364032234106819,0.515428106783738,97
"330","Jaba",0.4,0.4,0.4,4
"331","Jada",0.554847188201895,0.328443787049089,0.7812505893547,37
"332","Jahun",0.439258243075166,0.388079648904509,0.490436837245823,78
"333","Jakusko",0.121677493180317,-0.00900238507420277,0.252357371434836,34
"334","Jalingo",0.572815480101285,0.297341841327091,0.84828911887548,19
"335","Jama'are",0.411882849021539,0.286010425497046,0.537755272546033,52
"336","Jega",0.236851569602382,0.234934885258916,0.238768253945849,32
"337","Jema'a",0.420118340927964,0.360042047018027,0.480194634837901,55
"338","Jere",0.39503075171223,0.27359973634278,0.51646176708168,66
"339","Jibia",0.37037037037037,0.37037037037037,0.37037037037037,59
"340","Jos East",0.379310344827586,0.379310344827586,0.379310344827586,14
"341","Jos North",0.487983776039452,0.355630910928534,0.620336641150369,48
"342","Jos South",0.420516684933377,0.267348210075074,0.573685159791679,11
"343","Kabba/Bunu",0.555555555555556,0.555555555555556,0.555555555555556,9
"344","Kabo",0.466404091065324,0.346176260750687,0.586631921379961,44
"345","Kachia",0.224114200915208,0.199059769403543,0.249168632426873,60
"346","Kaduna North",0.601851870045913,0.548213423403807,0.655490316688018,19
"347","Kaduna South",0.577293469046743,0.489074213896449,0.665512724197037,29
"348","Kafin Hausa",0.344642816223285,0.282359192564406,0.406926439882163,59
"349","Kafur",0.335697427884692,0.221467451976217,0.449927403793166,84
"350","Kaga",0.277777777777778,0.277777777777778,0.277777777777778,18
"351","Kagarko",0.571428571428571,0.571428571428571,0.571428571428572,27
"352","Kaiama",0.0869565217391304,0.0869565217391304,0.0869565217391305,12
"353","kaita",0.473684210526316,0.473684210526316,0.473684210526316,32
"354","Kajola",0.336580097073753,0.235115281306628,0.438044912840879,12
"355","Kajuru",0.647058823529412,0.647058823529412,0.647058823529412,18
"356","Kalgo",0.301793235122538,0.129035564416943,0.474550905828133,45
"357","Kanam",0.489782394823521,0.29554873108996,0.684016058557082,19
"358","Kankara",0.342105263157895,0.342105263157895,0.342105263157895,56
"359","Kanke",0.460221559180793,0.372723113438187,0.547720004923398,28
"360","Kankia",0.2,0.2,0.2,48
"361","Karasuwa",0.247497159295636,0.204754857511196,0.290239461080076,41
"362","Karaye",0.565217391304348,0.565217391304348,0.565217391304348,44
"363","Karin-Lamido",0.231679147167835,0.0340771555539254,0.429281138781746,37
"364","Karu",0.718059292425401,0.655708018845668,0.780410566005133,41
"365","Katagum",0.185455335526724,0.0461594397284538,0.324751231324995,64
"366","Katcha",0.251404513543085,0.111090599236993,0.391718427849177,25
"367","Katsina",0.379574007106694,0.287199565654218,0.47194844855917,50
"368","Katsina-Ala",0.516098531633874,0.44338510350421,0.588811959763538,37
"369","Kaugama",0.5,0.5,0.5,24
"370","Kaura",0.6,0.6,0.6,11
"371","Kaura-Namoda",0.0110027837371456,-0.00718902280491715,0.0291945902792083,62
"372","Kauru",0.428571428571429,0.428571428571429,0.428571428571429,11
"373","Kazaure",0.576923076923077,0.576923076923077,0.576923076923077,25
"374","Keana",0.598512701476469,0.122031029215522,1.07499437373742,4
"375","Keffi",0.559322016143886,0.240176161558131,0.878467870729641,6
"376","Khana",0.545454545454545,0.545454545454545,0.545454545454545,18
"377","Kirfi",0.157894736842105,0.157894736842105,0.157894736842105,17
"378","Kiri Kasamma",0.615526817700558,0.501326456277423,0.729727179123692,21
"379","Kiru",0.287664243704762,0.00712338206860352,0.56820510534092,37
"380","kiyawa",0.285714285714286,0.285714285714286,0.285714285714286,30
"381","Kogi",1,1,1,1
"382","Koko/Besse",0.233832793444704,0.173619585017469,0.294046001871939,28
"383","Kokona",0.444943795086185,0.37499894044708,0.514888649725291,19
"384","Kolokuma/Opokuma",0.461861893790724,0.328943528327352,0.594780259254095,15
"385","Konduga",0.45,0.45,0.45,40
"386","Konshisha",0.5625,0.5625,0.5625,16
"387","Kontagora",0.401952165575285,0.330473552121247,0.473430779029323,35
"388","Kosofe",0.549197194428745,0.440241487364164,0.658152901493326,71
"389","Kubau",0.417968912229539,0.271996657752455,0.563941166706624,64
"390","Kudan",0.22472749360711,0.139474085136709,0.309980902077511,61
"391","Kukawa",0.375,0.375,0.375,7
"392","Kunchi",0.259079919650416,0.0858660227941309,0.432293816506701,36
"393","Kura",0.529411764705882,0.529411764705882,0.529411764705882,16
"394","Kurmi",0.3,0.3,0.3,21
"395","Kusada",0.0416666666666667,0.0416666666666666,0.0416666666666667,27
"396","Kwali",0.404807931309692,0.260168078888788,0.549447783730596,21
"397","Kwami",0.156979464662076,0.0616452512169839,0.252313678107168,50
"398","Kwande",0.666666666666667,0.666666666666667,0.666666666666667,27
"399","Kware",0.0952380952380952,0.0952380952380952,0.0952380952380952,16
"400","Lafia",0.352190919213155,0.219367747263181,0.485014091163128,113
"401","Lagos Island",0.75,0.75,0.75,26
"402","Lagos Mainland",0.669421470319186,0.41693177230265,0.921911168335721,17
"403","Lamurde",0.272727272727273,0.272727272727273,0.272727272727273,7
"404","Langtang North",0.285714285714286,0.285714285714286,0.285714285714286,10
"405","Lau",0.48,0.231763439996068,0.728236560003932,11
"406","Lavun",0.304027661356461,0.0342002285127181,0.573855094200203,60
"407","Lere",0.430497921237752,0.344186693792819,0.516809148682685,58
"408","Lokoja",0.367266118320055,-0.08991449320601,0.82444672984612,18
"409","Machina",0.343925796154553,0.236655474094244,0.451196118214861,267
"410","Magama",0.131369670708231,0.0806604780993683,0.182078863317093,61
"411","Mai'Adua",0.363636363636364,0.363636363636364,0.363636363636364,21
"412","Maiduguri",0.36656056430099,0.235076880892323,0.498044247709657,129
"413","Maigatari",0.620912990339066,0.431650732431956,0.810175248246176,16
"414","Maiha",0.19047619047619,0.19047619047619,0.190476190476191,13
"415","Maiyama",0.473684210526316,0.473684210526316,0.473684210526316,22
"416","Makoda",0.518518518518519,0.518518518518518,0.518518518518519,11
"417","Makurdi",0.57982914658993,0.296016995197427,0.863641297982433,77
"418","Malam Madori",0.235294117647059,0.235294117647059,0.235294117647059,11
"419","Malumfashi",0.470588235294118,0.470588235294117,0.470588235294118,23
"420","Mangu",0.605483043051378,0.542794500566022,0.668171585536734,41
