"","LGA","pen1","ci_l","ci_u","Number of Participants"
"318","Isiala-Ngwa South",0.795574460765136,0.703784498295519,0.887364423234753,18
"319","Isiala Mbano",0.761303528729802,0.573462406599449,0.949144650860156,7
"320","Isin",0.941045619995075,0.870699146976221,1.01139209301393,10
"321","Isoko North",1,1,1,15
"322","Isoko South",0.964607723750952,0.880395153334005,1.0488202941679,13
"323","Isu",1,1,1,3
"324","Isuikwato",1,1,1,7
"325","Itas/Gadau",0.504698063649136,0.0406489864748318,0.968747140823439,12
"326","Itu",1,1,1,3
"327","Iwajowa",0.727272727272727,0.727272727272727,0.727272727272727,18
"328","Iwo",0.893664219756121,0.774822708526495,1.01250573098575,23
"329","Izzi",0.852887906326206,0.812194809170992,0.893581003481419,97
"330","Jaba",0.8,0.8,0.8,4
"331","Jada",0.786120213546631,0.719381094040997,0.852859333052264,37
"332","Jahun",0.579043331002909,0.380088023521561,0.777998638484257,78
"333","Jakusko",0.0980794303433049,0.00979009307695898,0.186368767609651,34
"334","Jalingo",0.742718451989871,0.715171088112452,0.770265815867291,19
"335","Jama'are",0.452202928774461,0.449056118186349,0.455349739362574,52
"336","Jega",0.0783511150499063,-0.0423999985884722,0.199102228688285,32
"337","Jema'a",0.808284018227114,0.664100912843266,0.952467123610963,55
"338","Jere",0.671133557137448,0.351578253533633,0.990688860741264,66
"339","Jibia",0.555555555555556,0.555555555555555,0.555555555555556,59
"340","Jos East",0.9,0.9,0.9,14
"341","Jos North",0.870048823355208,0.759961315117805,0.980136331592612,48
"342","Jos South",0.754528884017766,0.713683957388886,0.795373810646647,11
"343","Kabba/Bunu",0.888888888888889,0.888888888888889,0.888888888888889,9
"344","Kabo",0.47332224837524,0.202809630167307,0.743834866583174,44
"345","Kachia",0.308518977695356,0.207988275987486,0.409049679403226,60
"346","Kaduna North",0.745370324885218,0.611274208279954,0.879466441490482,19
"347","Kaduna South",0.788646734523372,0.744537106948225,0.832756362098518,29
"348","Kafin Hausa",0.362177563886022,0.0964249165720019,0.627930211200042,59
"349","Kafur",0.527186801740036,0.364001121870787,0.690372481609285,84
"350","Kaga",0.333333333333333,0.333333333333333,0.333333333333333,18
"351","Kagarko",0.928571428571428,0.928571428571428,0.928571428571429,27
"352","Kaiama",0.130434782608696,0.130434782608696,0.130434782608696,12
"353","kaita",0.684210526315789,0.684210526315789,0.684210526315789,32
"354","Kajola",0.778860032357918,0.745038427102209,0.812681637613626,12
"355","Kajuru",0.764705882352941,0.764705882352941,0.764705882352941,18
"356","Kalgo",0.165080821201304,0.105145775574933,0.225015866827675,45
"357","Kanam",0.800922831999995,0.685064155386994,0.916781508612996,19
"358","Kankara",0.657894736842105,0.657894736842105,0.657894736842105,56
"359","Kanke",0.610891102417276,0.47101252798753,0.750769676847022,29
"360","Kankia",0.36,0.36,0.36,48
"361","Karasuwa",0.409718933443201,0.279416652498813,0.540021214387588,41
"362","Karaye",0.869565217391304,0.869565217391304,0.869565217391304,44
"363","Karin-Lamido",0.630986692164829,0.33008263834949,0.931890745980169,37
"364","Karu",0.92143797513484,0.772532762514517,1.07034318775516,41
"365","Katagum",0.261990284933888,0.0450147047333027,0.478965865134473,64
"366","Katcha",0.150280902708617,0.122218119847399,0.178343685569835,25
"367","Katsina",0.599126168423988,0.409640134675319,0.788612202172657,50
"368","Katsina-Ala",0.730254694312287,0.679688376387119,0.780821012237455,37
"369","Kaugama",0.875,0.875,0.875,24
"370","Kaura",0.9,0.9,0.9,11
"371","Kaura-Namoda",0.0403435725695205,-0.00632983766926627,0.0870169828083072,62
"372","Kauru",0.571428571428571,0.571428571428571,0.571428571428571,11
"373","Kazaure",0.615384615384615,0.615384615384615,0.615384615384615,25
"374","Keana",0.804832495159861,0.468492491210957,1.14117249910876,4
"375","Keffi",0.772881344095924,0.560117441038754,0.985645247153094,6
"376","Khana",0.909090909090909,0.909090909090909,0.909090909090909,18
"377","Kirfi",0.526315789473684,0.526315789473684,0.526315789473684,17
"378","Kiri Kasamma",0.630314229891558,0.608108604059282,0.652519855723834,21
"379","Kiru",0.487209952351101,0.0266204780230804,0.947799426679122,37
"380","kiyawa",0.357142857142857,0.357142857142857,0.357142857142857,30
"381","Kogi",1,1,1,1
"382","Koko/Besse",0.108438461404488,0.0044338286665367,0.21244309414244,28
