State,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Benue,Oturkpo,Owan East,march,221,2020,4,-1,1,0.6,5
Benue,Tarka,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Tarka,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Tarka,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Tarka,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Ukum,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Ukum,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Ukum,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Ukum,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Ushongo,Oke-Ero,july,186,2020,1,-1,1,0.6,5
Benue,Ushongo,Oke-Ero,july,216,2020,2,-1,1,0.6,5
Benue,Ushongo,Oke-Ero,july,246,2020,3,-1,1,0.6,5
Benue,Ushongo,Oke-Ero,july,276,2020,4,-1,1,0.6,5
Benue,Vandeikya,Oke-Ero,july,186,2020,1,-1,1,0.6,5
Benue,Vandeikya,Oke-Ero,july,216,2020,2,-1,1,0.6,5
Benue,Vandeikya,Oke-Ero,july,246,2020,3,-1,1,0.6,5
Benue,Vandeikya,Oke-Ero,july,276,2020,4,-1,1,0.6,5
Borno,Abadam,Babura,may,131,2020,1,-1,1,0.6,5
Borno,Abadam,Babura,may,161,2020,2,-1,1,0.6,5
Borno,Abadam,Babura,may,191,2020,3,-1,1,0.6,5
Borno,Abadam,Babura,may,221,2020,4,-1,1,0.6,5
Borno,Askira-Uba,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Askira-Uba,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Askira-Uba,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Askira-Uba,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Bama,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Bama,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Bama,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Bama,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Bayo,Alkaleri,july,186,2020,1,-1,1,0.6,5
Borno,Bayo,Alkaleri,july,216,2020,2,-1,1,0.6,5
Borno,Bayo,Alkaleri,july,246,2020,3,-1,1,0.6,5
Borno,Bayo,Alkaleri,july,276,2020,4,-1,1,0.6,5
Borno,Biu,Darazo,july,186,2020,1,-1,1,0.6,5
Borno,Biu,Darazo,july,216,2020,2,-1,1,0.6,5
Borno,Biu,Darazo,july,246,2020,3,-1,1,0.6,5
Borno,Biu,Darazo,july,276,2020,4,-1,1,0.6,5
Borno,Chibok,Darazo,july,186,2020,1,-1,1,0.6,5
