LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins1,mortality,kill_rate,block_initial
Urue-Offong/Oruko,Nsit Ubium,2024,Urue-Offong-Oruko,0.505263158,0.36923077,0.25,0.385714285,2,june,1622,PBO,0.204236897,0.679485559,0.65
Ayamelum,Uzo-Uwani,2020,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,1,june,162,PBO,0.436497382,0.743147601,0.65
Ayamelum,Uzo-Uwani,2023,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,2,june,1257,PBO,0.436497382,0.743147601,0.65
Uyo,Nsit Ubium,2021,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,1,june,527,PBO,0.399966547,0.74018964,0.65
Uyo,Nsit Ubium,2024,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,2,june,1622,PBO,0.399966547,0.74018964,0.65
Aguata,Oru West,2020,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,1,june,162,PBO,0.454034567,0.744268911,0.65
Aguata,Oru West,2023,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,2,june,1257,PBO,0.454034567,0.744268911,0.65
Anambra East,Uzo-Uwani,2020,Anambra East,0.128571428,0.268927518,0.12,0.042105263,1,june,162,PBO,0.375672105,0.737607983,0.65
Anambra East,Uzo-Uwani,2023,Anambra East,0.128571428,0.268927518,0.12,0.042105263,2,june,1257,PBO,0.375672105,0.737607983,0.65
Anambra West,Uzo-Uwani,2020,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,1,june,162,PBO,0.39176502,0.739382126,0.65
Anambra West,Uzo-Uwani,2023,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,2,june,1257,PBO,0.39176502,0.739382126,0.65
Anaocha,Oru West,2020,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,1,june,162,PBO,0.420247823,0.741948071,0.65
Anaocha,Oru West,2023,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,2,june,1257,PBO,0.420247823,0.741948071,0.65
Dunukofia,Uzo-Uwani,2020,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,1,june,162,PBO,0.421451191,0.742042811,0.65
Dunukofia,Uzo-Uwani,2023,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,2,june,1257,PBO,0.421451191,0.742042811,0.65
Ekwusigo,Oru West,2020,Ekwusigo,0.44,0.1,0.05,0.244067797,1,june,162,PBO,0.255572543,0.70945305,0.65
Ekwusigo,Oru West,2023,Ekwusigo,0.44,0.1,0.05,0.244067797,2,june,1257,PBO,0.255572543,0.70945305,0.65
Idemili North,Uzo-Uwani,2020,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,1,june,162,PBO,0.422797782,0.742147653,0.65
Idemili North,Uzo-Uwani,2023,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,2,june,1257,PBO,0.422797782,0.742147653,0.65
Idemili South,Oru West,2020,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,1,june,162,PBO,0.377378695,0.737809061,0.65
Idemili South,Oru West,2023,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,2,june,1257,PBO,0.377378695,0.737809061,0.65
Ihiala,Oru West,2020,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,1,june,162,PBO,0.199598953,0.675748907,0.65
Ihiala,Oru West,2023,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,2,june,1257,PBO,0.199598953,0.675748907,0.65
Njikoka,Uzo-Uwani,2020,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,1,june,162,PBO,0.436915256,0.743176293,0.65
Njikoka,Uzo-Uwani,2023,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,2,june,1257,PBO,0.436915256,0.743176293,0.65
Nnewi North,Oru West,2020,Nnewi North,0.303469146,0.271135903,0.183318119,0.261179873,1,june,162,PBO,0.308642745,0.726310499,0.65
Nnewi North,Oru West,2023,Nnewi North,0.303469146,0.271135903,0.183318119,0.261179873,2,june,1257,PBO,0.308642745,0.726310499,0.65
Nnewi South,Oru West,2020,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,1,june,162,PBO,0.303374646,0.725045144,0.65
Nnewi South,Oru West,2023,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,2,june,1257,PBO,0.303374646,0.725045144,0.65
Ogbaru,Ahoada West,2020,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,1,may,131,PBO,0.230996863,0.697383872,0.65
Ogbaru,Ahoada West,2023,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,2,may,1226,PBO,0.230996863,0.697383872,0.65
Onitsha North,Uzo-Uwani,2020,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,1,june,162,PBO,0.382531956,0.738396974,0.65
Onitsha North,Uzo-Uwani,2023,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,2,june,1257,PBO,0.382531956,0.738396974,0.65
Onitsha South,Uzo-Uwani,2020,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,1,june,162,PBO,0.368656397,0.736746223,0.65
Onitsha South,Uzo-Uwani,2023,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,2,june,1257,PBO,0.368656397,0.736746223,0.65
Orumba North,Oru West,2020,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,1,june,162,PBO,0.403508225,0.74052015,0.65
Orumba North,Oru West,2023,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,2,june,1257,PBO,0.403508225,0.74052015,0.65
Orumba South,Oru West,2020,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,1,june,162,PBO,0.438379079,0.743276001,0.65
Orumba South,Oru West,2023,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,2,june,1257,PBO,0.438379079,0.743276001,0.65
Oyi,Uzo-Uwani,2020,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,1,june,162,PBO,0.387377598,0.738924512,0.65
Oyi,Uzo-Uwani,2023,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,2,june,1257,PBO,0.387377598,0.738924512,0.65
Alkaleri,Alkaleri,2021,Alkaleri,0.546465557,0.477507098,0.367950025,0.548931983,1,july,551,PBO,0.570092852,0.748797917,0.753454775
Alkaleri,Alkaleri,2024,Alkaleri,0.546465557,0.477507098,0.367950025,0.548931983,2,july,1646,PBO,0.570092852,0.748797917,0.753454775
Bauchi,Alkaleri,2021,Bauchi,0.539948435,0.305423227,0.330257372,0.495557944,1,july,551,PBO,0.627087591,0.749966427,0.816012104
Bauchi,Alkaleri,2024,Bauchi,0.539948435,0.305423227,0.330257372,0.495557944,2,july,1646,PBO,0.627087591,0.749966427,0.816012104
Bogoro,Alkaleri,2021,Bogoro,0.58144166,0.458086331,0.40628614,0.597026536,1,july,551,PBO,0.578959907,0.749010332,0.764438403
Bogoro,Alkaleri,2024,Bogoro,0.58144166,0.458086331,0.40628614,0.597026536,2,july,1646,PBO,0.578959907,0.749010332,0.764438403
Damban,Darazo,2021,Damban,0.38490566,0.39,0.339130435,0.623376623,1,july,551,PBO,0.81015375,0.751849022,0.926817289
Damban,Darazo,2024,Damban,0.38490566,0.39,0.339130435,0.623376623,2,july,1646,PBO,0.81015375,0.751849022,0.926817289
Darazo,Darazo,2021,Darazo,0.457371605,0.400608656,0.425561838,0.626577205,1,july,551,PBO,0.786253294,0.751697891,0.917634707
Darazo,Darazo,2024,Darazo,0.457371605,0.400608656,0.425561838,0.626577205,2,july,1646,PBO,0.786253294,0.751697891,0.917634707
Dass,Alkaleri,2021,Dass,0.861111111,0.553846154,0.436363637,0.8,1,july,551,PBO,0.466190501,0.744955755,0.65
Dass,Alkaleri,2024,Dass,0.861111111,0.553846154,0.436363637,0.8,2,july,1646,PBO,0.466190501,0.744955755,0.65
Gamawa,Gwarzo,2021,Gamawa,0.581818182,0.3,0.4,0.761904762,1,august,588,PBO,0.770682387,0.751588754,0.911009334
Gamawa,Gwarzo,2024,Gamawa,0.581818182,0.3,0.4,0.761904762,2,august,1683,PBO,0.770682387,0.751588754,0.911009334
Jama'are,Taura,2021,Jama'are,0.647215452,0.533577602,0.62008136,0.8,1,july,551,PBO,0.749263424,0.751422939,0.900969453
Jama'are,Taura,2024,Jama'are,0.647215452,0.533577602,0.62008136,0.8,2,july,1646,PBO,0.749263424,0.751422939,0.900969453
Ganjuwa,Darazo,2021,Ganjuwa,0.69164087,0.29303371,0.369298463,0.74926179,1,july,551,PBO,0.647484501,0.750289825,0.83424922
