LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Ikara,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Ikeduru,Ngor-Okpala,0.204481885,0.204481885,0.539,0,-1,2018,-1
Ikeja,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ikenne,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ikere,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ikole,Oke-Ero,0.02896121,0.02896121,0.539,0,-1,2018,-1
Ikom,Obubra,0.451107239,0.451107239,0.539,0,-1,2018,-1
Ikono,Ngor-Okpala,0.55,0.55,0.539,0,-1,2018,-1
Ikorodu,Uzo-Uwani,0.175458207,0.175458207,0.539,0,-1,2018,-1
Ikot Abasi,Nsit Ubium,0.55,0.55,0.539,0,-1,2018,-1
Ikot Ekpene,Ngor-Okpala,0.179641708,0.179641708,0.539,0,-1,2018,-1
Ikpoba-Okha,Uzo-Uwani,0.18824407,0.18824407,0.539,0,-1,2018,-1
Ikwerre,Oru West,0.351436385,0.351436385,0.539,0,-1,2018,-1
Ikwo,Obubra,0.521071561,0.521071561,0.539,0,-1,2018,-1
Ikwuano,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Ila,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ilaje,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ilemeji,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ile-Oluji-Okeigbo,Oke-Ero,0.488888888,0.488888888,0.539,0,-1,2018,-1
Ilesha East,Owan East,0.55,0.55,0.539,0,-1,2018,-1
Ilesha West,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Illela,Gawabawa,0.025833591,0.025833591,0.539,0,-1,2018,-1
Ilorin East,Oke-Ero,0.427824932,0.427824932,0.539,0,-1,2018,-1
Ilorin South,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ilorin West,Owan East,0.369599955,0.369599955,0.539,0,-1,2018,-1
Imeko-Afon,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ingawa,Rimi,0.061111112,0.061111112,0.539,0,-1,2018,-1
Ini,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Ipokia,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Irele,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Irepo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Irepodun1,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Irepodun2,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Irepodun-Ifelodun,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
