06/17 18:01:03 [DEBUG] [4504399296] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
06/17 18:09:20 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:26 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:32 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:37 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:42 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:48 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:53 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:59 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:10:04 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:10:10 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
