,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
215,Ukanafun,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
216,Ukanafun,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
217,Uruan,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
218,Uruan,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
219,Uruan,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
220,Uruan,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
221,Urue-Offong-Oruko,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
222,Urue-Offong-Oruko,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
223,Urue-Offong-Oruko,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
224,Urue-Offong-Oruko,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
225,Ayamelum,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
226,Ayamelum,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
227,Ayamelum,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
228,Ayamelum,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
229,Uyo,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
230,Uyo,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
231,Uyo,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
232,Uyo,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
233,Aguata,Oru West,june,162,2020,1,-1,1,0.6,15
234,Aguata,Oru West,june,192,2020,2,-1,1,0.6,15
235,Aguata,Oru West,june,222,2020,3,-1,1,0.6,15
236,Aguata,Oru West,june,252,2020,4,-1,1,0.6,15
237,Anambra East,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
238,Anambra East,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
239,Anambra East,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
240,Anambra East,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
241,Anambra West,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
242,Anambra West,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
243,Anambra West,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
244,Anambra West,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
245,Anaocha,Oru West,june,162,2020,1,-1,1,0.6,15
246,Anaocha,Oru West,june,192,2020,2,-1,1,0.6,15
247,Anaocha,Oru West,june,222,2020,3,-1,1,0.6,15
248,Anaocha,Oru West,june,252,2020,4,-1,1,0.6,15
249,Dunukofia,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
250,Dunukofia,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
251,Dunukofia,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
252,Dunukofia,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
253,Ekwusigo,Oru West,june,162,2020,1,-1,1,0.6,15
254,Ekwusigo,Oru West,june,192,2020,2,-1,1,0.6,15
255,Ekwusigo,Oru West,june,222,2020,3,-1,1,0.6,15
256,Ekwusigo,Oru West,june,252,2020,4,-1,1,0.6,15
257,Idemili North,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
258,Idemili North,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
259,Idemili North,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
260,Idemili North,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
261,Idemili South,Oru West,june,162,2020,1,-1,1,0.6,15
262,Idemili South,Oru West,june,192,2020,2,-1,1,0.6,15
263,Idemili South,Oru West,june,222,2020,3,-1,1,0.6,15
264,Idemili South,Oru West,june,252,2020,4,-1,1,0.6,15
265,Ihiala,Oru West,june,162,2020,1,-1,1,0.6,15
266,Ihiala,Oru West,june,192,2020,2,-1,1,0.6,15
267,Ihiala,Oru West,june,222,2020,3,-1,1,0.6,15
268,Ihiala,Oru West,june,252,2020,4,-1,1,0.6,15
269,Njikoka,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
270,Njikoka,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
271,Njikoka,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
272,Njikoka,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
273,Nnewi North,Oru West,june,162,2020,1,-1,1,0.6,15
274,Nnewi North,Oru West,june,192,2020,2,-1,1,0.6,15
275,Nnewi North,Oru West,june,222,2020,3,-1,1,0.6,15
276,Nnewi North,Oru West,june,252,2020,4,-1,1,0.6,15
277,Nnewi South,Oru West,june,162,2020,1,-1,1,0.6,15
278,Nnewi South,Oru West,june,192,2020,2,-1,1,0.6,15
279,Nnewi South,Oru West,june,222,2020,3,-1,1,0.6,15
280,Nnewi South,Oru West,june,252,2020,4,-1,1,0.6,15
281,Ogbaru,Ahoada West,may,131,2020,1,-1,1,0.6,15
282,Ogbaru,Ahoada West,may,161,2020,2,-1,1,0.6,15
283,Ogbaru,Ahoada West,may,191,2020,3,-1,1,0.6,15
284,Ogbaru,Ahoada West,may,221,2020,4,-1,1,0.6,15
285,Onitsha North,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
286,Onitsha North,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
287,Onitsha North,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
288,Onitsha North,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
289,Onitsha South,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
290,Onitsha South,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
291,Onitsha South,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
292,Onitsha South,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
293,Orumba North,Oru West,june,162,2020,1,-1,1,0.6,15
294,Orumba North,Oru West,june,192,2020,2,-1,1,0.6,15
295,Orumba North,Oru West,june,222,2020,3,-1,1,0.6,15
296,Orumba North,Oru West,june,252,2020,4,-1,1,0.6,15
297,Orumba South,Oru West,june,162,2020,1,-1,1,0.6,15
298,Orumba South,Oru West,june,192,2020,2,-1,1,0.6,15
299,Orumba South,Oru West,june,222,2020,3,-1,1,0.6,15
300,Orumba South,Oru West,june,252,2020,4,-1,1,0.6,15
301,Oyi,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
302,Oyi,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
303,Oyi,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
304,Oyi,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
305,Alkaleri,Alkaleri,july,186,2020,1,-1,1,0.6,15
306,Alkaleri,Alkaleri,july,216,2020,2,-1,1,0.6,15
307,Alkaleri,Alkaleri,july,246,2020,3,-1,1,0.6,15
308,Alkaleri,Alkaleri,july,276,2020,4,-1,1,0.6,15
309,Bauchi,Alkaleri,july,186,2020,1,-1,1,0.6,15
310,Bauchi,Alkaleri,july,216,2020,2,-1,1,0.6,15
311,Bauchi,Alkaleri,july,246,2020,3,-1,1,0.6,15
312,Bauchi,Alkaleri,july,276,2020,4,-1,1,0.6,15
313,Bogoro,Alkaleri,july,186,2020,1,-1,1,0.6,15
314,Bogoro,Alkaleri,july,216,2020,2,-1,1,0.6,15
315,Bogoro,Alkaleri,july,246,2020,3,-1,1,0.6,15
316,Bogoro,Alkaleri,july,276,2020,4,-1,1,0.6,15
317,Damban,Darazo,july,186,2020,1,-1,1,0.6,15
318,Damban,Darazo,july,216,2020,2,-1,1,0.6,15
319,Damban,Darazo,july,246,2020,3,-1,1,0.6,15
320,Damban,Darazo,july,276,2020,4,-1,1,0.6,15
321,Darazo,Darazo,july,186,2020,1,-1,1,0.6,15
322,Darazo,Darazo,july,216,2020,2,-1,1,0.6,15
323,Darazo,Darazo,july,246,2020,3,-1,1,0.6,15
324,Darazo,Darazo,july,276,2020,4,-1,1,0.6,15
325,Dass,Alkaleri,july,186,2020,1,-1,1,0.6,15
326,Dass,Alkaleri,july,216,2020,2,-1,1,0.6,15
327,Dass,Alkaleri,july,246,2020,3,-1,1,0.6,15
328,Dass,Alkaleri,july,276,2020,4,-1,1,0.6,15
329,Gamawa,Gwarzo,may,131,2020,1,-1,1,0.6,15
330,Gamawa,Gwarzo,may,161,2020,2,-1,1,0.6,15
331,Gamawa,Gwarzo,may,191,2020,3,-1,1,0.6,15
332,Gamawa,Gwarzo,may,221,2020,4,-1,1,0.6,15
333,Jama'are,Taura,november,250,2020,1,-1,1,0.6,15
334,Jama'are,Taura,november,280,2020,2,-1,1,0.6,15
335,Jama'are,Taura,november,310,2020,3,-1,1,0.6,15
336,Jama'are,Taura,november,340,2020,4,-1,1,0.6,15
337,Ganjuwa,Darazo,july,186,2020,1,-1,1,0.6,15
338,Ganjuwa,Darazo,july,216,2020,2,-1,1,0.6,15
339,Ganjuwa,Darazo,july,246,2020,3,-1,1,0.6,15
340,Ganjuwa,Darazo,july,276,2020,4,-1,1,0.6,15
341,Giade,Darazo,july,186,2020,1,-1,1,0.6,15
342,Giade,Darazo,july,216,2020,2,-1,1,0.6,15
343,Giade,Darazo,july,246,2020,3,-1,1,0.6,15
344,Giade,Darazo,july,276,2020,4,-1,1,0.6,15
345,Itas-Gadau,Taura,november,250,2020,1,-1,1,0.6,15
346,Itas-Gadau,Taura,november,280,2020,2,-1,1,0.6,15
347,Itas-Gadau,Taura,november,310,2020,3,-1,1,0.6,15
348,Itas-Gadau,Taura,november,340,2020,4,-1,1,0.6,15
349,Katagum,Gwarzo,may,131,2020,1,-1,1,0.6,15
350,Katagum,Gwarzo,may,161,2020,2,-1,1,0.6,15
351,Katagum,Gwarzo,may,191,2020,3,-1,1,0.6,15
352,Katagum,Gwarzo,may,221,2020,4,-1,1,0.6,15
353,Kirfi,Alkaleri,july,186,2020,1,-1,1,0.6,15
354,Kirfi,Alkaleri,july,216,2020,2,-1,1,0.6,15
355,Kirfi,Alkaleri,july,246,2020,3,-1,1,0.6,15
356,Kirfi,Alkaleri,july,276,2020,4,-1,1,0.6,15
357,Misau,Darazo,july,186,2020,1,-1,1,0.6,15
358,Misau,Darazo,july,216,2020,2,-1,1,0.6,15
359,Misau,Darazo,july,246,2020,3,-1,1,0.6,15
360,Misau,Darazo,july,276,2020,4,-1,1,0.6,15
361,Ningi,Takali,october,250,2020,1,-1,1,0.6,15
362,Ningi,Takali,october,280,2020,2,-1,1,0.6,15
363,Ningi,Takali,october,310,2020,3,-1,1,0.6,15
364,Ningi,Takali,october,340,2020,4,-1,1,0.6,15
365,Ukum,Keana,september,250,2020,1,-1,1,0.6,15
366,Ukum,Keana,september,280,2020,2,-1,1,0.6,15
