adm1,LGA,year,llins_yn,llins_num,llin_month
Taraba,Gassol,2019,1,217984,8
Sokoto,Gawabawa,2013,1,,12
Sokoto,Gawabawa,2017,1,147671,
Kano,Gaya,2015,1,,3
Kano,Gaya,2019,1,,10
Niger,Gbako,2014,1,,12
Niger,Gbako,2019,1,,12
Benue,Gboko,2016,1,244086,4
Ekiti,Gboyin,2014,1,,12
Yobe,Geidam,2018,1,141134,
Yobe,Geidam,2019,1,141134,6
Kano,Gezawa,2015,1,,3
Kano,Gezawa,2019,1,,10
Bauchi,Giade,2010,,,
Bauchi,Giade,2014,1,,10
Bauchi,Giade,2018,1,129550,
Adamawa,Gireri,2017,1,103211,9
Kaduna,Giwa,2015,1,,3
Kaduna,Giwa,2018,1,225499,
Kaduna,Giwa,2019,1,225499,8
Rivers,Gokana,2010,,,
Rivers,Gokana,2014,1,,10
Gombe,Gombe,2010,,,
Gombe,Gombe,2014,1,,10
Gombe,Gombe,2018,1,248696,12
Adamawa,Gombi,2017,1,121768,9
Sokoto,Goronyo,2013,1,,12
Sokoto,Goronyo,2017,1,72234,
Sokoto,Gudu,2013,1,,12
Sokoto,Gudu,2017,1,177219,
Yobe,Gujba,2018,1,118489,
Yobe,Gujba,2019,1,118489,6
Yobe,Gulani,2018,1,106140,
Yobe,Gulani,2019,1,106140,6
Benue,Guma,2016,1,132954,4
Jigawa,Gumel,2014,1,,10
Jigawa,Gumel,2018,1,84622,8
Zamfara,Gummi,2015,1,,9
Niger,Gurara,2014,1,,12
Niger,Gurara,2019,1,,12
Jigawa,Guri,2014,1,,10
Jigawa,Guri,2018,1,99275,8
Zamfara,Gusau,2015,1,,9
Adamawa,Guyuk,2017,1,132247,9
Kano,Gwale,2015,1,,3
Kano,Gwale,2019,1,,10
Kebbi,Gwandu,2010,,,
Kebbi,Gwandu,2015,1,,1
Kebbi,Gwandu,2018,1,116013,
Jigawa,Gwaram,2010,,,
Jigawa,Gwaram,2014,1,,10
Jigawa,Gwaram,2018,1,219747,8
Kano,Gwarzo,2015,1,,3
Kano,Gwarzo,2019,1,,10
Benue,Gwer East,2016,1,111598,4
Benue,Gwer West,2016,1,85630,4
Jigawa,Gwiwa,2014,1,,10
Jigawa,Gwiwa,2018,1,94893,8
Jigawa,Hadejia,2014,1,,10
Jigawa,Hadejia,2018,1,91995,8
Adamawa,Hong,2017,1,126061,9
