"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"150","Calabar-Municipal","Nsit Ubium",NA,NA,NA,1,NA,NA,1,NA
"151","Ikom","Obubra",NA,NA,NA,1,NA,NA,1,NA
"152","Obubra","Obubra",NA,NA,NA,1,NA,NA,1,NA
"153","Enugu South","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"154","Odukpani","Ngor-Okpala",NA,NA,NA,1,NA,NA,1,NA
"155","Ogoja","Obubra",NA,NA,NA,1,NA,NA,1,NA
"156","Yakurr","Obubra",NA,NA,NA,1,NA,NA,1,NA
"157","Ogbomosho North","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"158","Yala","Oke-Ero",NA,NA,NA,1,NA,NA,1,NA
"159","Aniocha North","Uzo-Uwani",NA,NA,NA,NA,NA,NA,1,1
"160","Aniocha South","Uzo-Uwani",NA,NA,NA,NA,NA,NA,1,1
"161","Ibadan South West","Owan East",NA,NA,NA,NA,1,NA,NA,NA
"162","Ethiope East","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"163","Ethiope West","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"164","Ika North East","Uzo-Uwani",NA,NA,NA,NA,NA,NA,1,1
"165","Ika South","Uzo-Uwani",NA,NA,NA,NA,NA,NA,1,1
"166","Isoko North","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"167","Ogbomosho South","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"168","Isoko South","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"169","Ndokwa East","Ahoada West",NA,NA,NA,NA,NA,NA,1,1
"170","Ndokwa West","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"171","Okpe","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"172","Oshimili North","Uzo-Uwani",NA,NA,NA,NA,NA,NA,1,1
"173","Oshimili South","Uzo-Uwani",NA,NA,NA,NA,NA,NA,1,1
"174","Patani","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"175","Sapele","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"176","Udu","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"177","Ughelli North","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"178","Ughelli South","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"179","Ukwuani","Uzo-Uwani",NA,NA,NA,NA,NA,NA,1,1
"180","Uvwie","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"181","Warri South","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"182","Ohaozara","Obubra",NA,NA,NA,1,NA,NA,NA,NA
"183","Abakaliki","Owan East",NA,NA,NA,1,NA,NA,NA,NA
"184","Afikpo North","Oru West",NA,NA,NA,1,NA,NA,NA,NA
"185","Afikpo South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"186","Ebonyi","Owan East",NA,NA,NA,1,NA,NA,NA,NA
"187","Ezza North","Owan East",NA,NA,NA,1,NA,NA,NA,NA
"188","Ezza South","Obubra",NA,NA,NA,1,NA,NA,NA,NA
"189","Ikwo","Obubra",NA,NA,NA,1,NA,NA,NA,NA
"190","Ishielu","Owan East",NA,NA,NA,1,NA,NA,NA,NA
"191","Ivo","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"192","Izzi","Owan East",NA,NA,NA,1,NA,NA,NA,NA
"193","Ohaukwu","Owan East",NA,NA,NA,1,NA,NA,NA,NA
"194","Onicha","Obubra",NA,NA,NA,1,NA,NA,NA,NA
"195","Akoko-Edo","Owan East",NA,NA,NA,NA,NA,1,NA,NA
