LGA_nu,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate
Binji,Binji,Gawabawa,0.466666667,0.444444444,0.290322581,0.804347826,0.828234368,0.721642545
Biriniwa,Biriniwa,Taura,0.749295991,0.646893034,0.947368421,0.767208089,0.694642094,0.662953681
Birni Kudu,Birni Kudu,Takali,0.879221521,0.780412827,0.840102739,0.8898771,0.79905925,0.710618621
Birnin Kebbi,Birnin Kebbi,Birnin Kebbi,0.874349018,0.714472081,0.540596894,0.784096173,0.745947987,0.688032578
Birnin Magaji,Birnin Magaji,Rimi,0.732019322,0.592426281,0.525823573,0.685107348,0.793671815,0.708478232
Birnin-Gwari,Birnin-Gwari,Giwa,0.582706192,0.469378753,0.328007795,0.532330697,0.585660468,0.598687691
Biu,Biu,Darazo,0.157894737,0.171428571,0.156862745,0.222222222,0.636944927,0.630783932
Bodinga,Bodinga,Gawabawa,0.427859204,0.270862569,0.394797566,0.596753141,0.845274742,0.727651305
Bogoro,Bogoro,Alkaleri,0.484534717,0.381738609,0.338571783,0.497522113,0.578959907,0.594258836
Boki,Boki,Obubra,0.125,0.25,0.111111111,0.183673469,0.433816783,0.487034109
Bokkos,Bokkos,Giwa,0.53538517,0.461116812,0.222917387,0.336216785,0.504790752,0.5419051
Boluwaduro,Boluwaduro,Akinyele,0.381254259,0.22239645,0.10724577,0.308492383,0.300398529,0.377867037
Bomadi,Bomadi,Isoko South,0.375,0.789473684,0.3,0.303571429,0.197303754,0.29598519
Bonny,Bonny,Nsit Ubium,0.1847398,0.304634901,0.071429267,0.108733131,0.215646982,0.310050826
Borgu,Borgu,Oke-Ero,0.142857143,0.043478261,0.181818182,0.134328358,0.335547745,0.406785099
Boripe,Boripe,Akinyele,0.473684211,0.2,0.583333333,0.436363636,0.354570478,0.422477334
Bosso,Bosso,Keana,0.359945185,0.318367248,0.268395424,0.398904399,0.45101388,0.500669413
Brass,Brass,Ahoada West,0.523182847,0.494260236,0.433477069,0.435870811,0.269238091,0.352505409
Buji,Buji,Takali,0.742088223,0.432266982,0.549887443,0.86602248,0.759566013,0.694143703
Bukkuyum,Bukkuyum,Alkaleri,0.360542629,0.089060106,0.064894365,0.530305213,0.698622761,0.665017493
Bungudu,Bungudu,Takali,0.620606501,0.324114918,0.260735507,0.59442566,0.78759069,0.706022165
Bunkure,Bunkure,Gwarzo,0.829787234,0.666666667,0.794117647,0.861111111,0.769743323,0.698564959
Bunza,Bunza,Birnin Kebbi,0.789226475,0.614967322,0.534978419,0.78771905,0.672182056,0.650932828
Bursari,Bursari,Taura,0.604166667,0.454545455,0.289473684,0.492063492,0.696388917,0.663861803
Buruku,Buruku,Keana,0.678571429,0.527777778,0.546875,0.523584906,0.37690999,0.440865552
Burutu,Burutu,Isoko South,0.291262183,0.42352942,0.540816316,0.273885364,0.209856161,0.305581011
Bwari,Bwari,Giwa,0.244205568,0.13000955,0.04295174,0.179001411,0.558433035,0.580366866
Calabar South,Calabar South,Nsit Ubium,0.503793657,0.289940862,0.179419564,0.230488395,0.442007326,0.4935513
Calabar-Municipal,Calabar-Municipal,Nsit Ubium,0.331461607,0.392374883,0.149901442,0.248555116,0.462134621,0.509382696
Chanchaga,Chanchaga,Keana,0.343627973,0.174183095,0.194156293,0.327245053,0.393820889,0.454714405
Charanchi,Charanchi,Rimi,0.861111111,0.818181818,0.742857143,0.803030303,0.738728442,0.684701159
Chibok,Chibok,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.652598314,0.639928775
Chikun,Chikun,Soba,0.8,0.846153846,0.52,0.508474576,0.576988044,0.59294545
Dala,Dala,Alkaleri,0.658560253,0.452861936,0.465236703,0.621102597,0.582690135,0.59673093
Damaturu,Damaturu,Darazo,0.161290323,0.121212121,0.075,0.115942029,0.713904356,0.672754775
Damban,Damban,Darazo,0.320754717,0.325,0.282608696,0.519480519,0.81015375,0.714922519
Dambatta,Dambatta,Babura,0.584615385,0.567567568,0.285714286,0.705882353,0.74901951,0.689430592
Damboa,Damboa,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.695319136,0.663306114
Dan Musa,Dan Musa,Rimi,0.954545455,0.818181818,0.826923077,0.873239437,0.814381216,0.7165261
Dandi,Dandi,Birnin Kebbi,0.865663905,0.82922218,0.503173764,0.757595484,0.635354493,0.629837503
Dandume,Dandume,Giwa,0.582706192,0.469378753,0.328007795,0.532330697,0.480345251,0.523452319
Dange-Shnsi,Dange-Shnsi,Gawabawa,0.764705882,0.529411765,0.166666667,0.827586207,0.776225122,0.701316559
Danja,Danja,Giwa,0.630434783,0.55,0.2,0.44,0.615786128,0.617933944
Darazo,Darazo,Darazo,0.381143004,0.333840547,0.354634865,0.522147671,0.786253294,0.705476275
Dass,Dass,Alkaleri,0.861111111,0.461538462,0.363636364,0.773584906,0.466190501,0.512538393
Daura,Daura,Babura,0.519412943,0.420582088,0.468171518,0.45305405,0.575080323,0.591670466
Dawakin Kudu,Dawakin Kudu,Gwarzo,0.85,0.681818182,0.611111111,0.694444444,0.806145696,0.713383698
Dawakin Tofa,Dawakin Tofa,Taura,0.829268293,0.794117647,0.62,0.793650794,0.798723746,0.710486296
Degema,Degema,Ahoada West,0.2,0.263960478,0.142857143,0.166666667,0.284841623,0.365159834
Dekina,Dekina,Owan East,0.22239362,0.223553422,0.186247591,0.329535015,0.371777405,0.436648124
Demsa,Demsa,Alkaleri,0.45367231,0.28476821,0.267025783,0.384980239,0.495212973,0.534738199
Dikwa,Dikwa,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.719398758,0.675465
Doguwa,Doguwa,Giwa,0.736111111,0.770833333,0.5,0.816091954,0.698189254,0.664793709
Doma,Doma,Keana,0.738946068,0.484623909,0.332206395,0.600357251,0.39040939,0.451927322
Donga,Donga,Keana,0.32305734,0.369040504,0.127395847,0.223881381,0.45406133,0.503065731
Dukku,Dukku,Darazo,0.233051961,0.096059125,0.098622582,0.422999526,0.67468816,0.652305857
Dunukofia,Dunukofia,Uzo-Uwani,0.276486564,0.224106265,0.160050482,0.188842186,0.421451191,0.477122595
Dutse,Dutse,Takali,0.740198607,0.8758553,0.622426255,0.767381241,0.790579855,0.707234774
Dutsi,Dutsi,Rimi,0.774193548,0.68,0.605263158,0.707692308,0.62280068,0.622255799
Dutsin-Ma,Dutsin-Ma,Rimi,0.732019322,0.592426281,0.525823573,0.685107348,0.731600297,0.681349048
Eastern Obolo,Eastern Obolo,Nsit Ubium,0.611111111,0.388888889,0.323529412,0.360655738,0.178491572,0.281859788
Ebonyi,Ebonyi,Owan East,0.464431748,0.418946669,0.343821936,0.380122437,0.429410898,0.483512158
Edati,Edati,Oke-Ero,0.470588235,0.375,0.266666667,0.536231884,0.417118573,0.473631021
Ede North,Ede North,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.389785625,0.451417326
Ede South,Ede South,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.412666127,0.470033533
Edu,Edu,Oke-Ero,0.275828235,0.222354339,0.238085868,0.365918206,0.339359862,0.409929917
Efon-Alayee,Efon-Alayee,Oke-Ero,0.209302326,0.375,0.166666667,0.225490196,0.32342441,0.396790109
Egbado North,Egbado North,Owan East,0.222222222,0.230769231,0.058823529,0.25,0.310892073,0.386477465
Egbado South,Egbado South,Uzo-Uwani,0.205496634,0.379322307,0.213980582,0.259901354,0.38366582,0.446407593
Egbeda,Egbeda,Akinyele,0.473740114,0.560115021,0.317784661,0.421938196,0.298595531,0.37639044
