LGA,pop,anc_total,preg_llin,coverage,kill_rate,block_initial,simday,duration,year
Dandi,208108.13,22721,1679,0.0886752,0.629837503,0.53,0,-1,2018
Dandume,207788.97,53405,3675,0.0825768,0.523452319,0.53,0,-1,2018
Dange-Shnsi,277376.08,18000,1048,0.0698664,0.701316559,0.53,0,-1,2018
Danja,179222.42,36358,2385,0.0787176,0.617933944,0.53,0,-1,2018
Darazo,375795.8,53601,3927,0.0879168,0.705476275,0.53,0,-1,2018
Dass,134342.63,31397,3417,0.1305984,0.512538393,0.53,0,-1,2018
Daura,313269.61,30794,6262,0.2440212,0.591670466,0.53,0,-1,2018
Dawakin Kudu,332764.18,42713,3750,0.105354,0.713383698,0.53,0,-1,2018
Dawakin Tofa,365962.5,41605,12353,0.3562932,0.710486296,0.53,0,-1,2018
Degema,373071.4,1454,394,0.3251724,0.365159834,0.53,0,-1,2018
Dekina,371142.67,15044,6414,0.5116188,0.436648124,0.53,0,-1,2018
Demsa,254016.65,33257,2644,0.0954024,0.534738199,0.53,0,-1,2018
Dikwa,158190.11,8115,3476,0.5140116,0.675465,0.53,0,-1,2018
Doguwa,223174.01,40994,6526,0.1910328,0.664793709,0.53,0,-1,2018
Doma,199046.2,25152,1753,0.0836352,0.451927322,0.53,0,-1,2018
Donga,188994.38,5866,1610,0.3293556,0.503065731,0.53,0,-1,2018
Dukku,302360.57,29690,4514,0.1824456,0.652305857,0.53,0,-1,2018
Dunukofia,134249.7,5242,1786,0.408852,0.477122595,0.53,0,-1,2018
Dutse,346874.19,79653,13859,0.2087904,0.707234774,0.53,0,-1,2018
Dutsi,171124.1,21613,2967,0.1647336,0.622255799,0.53,0,-1,2018
Dutsin-Ma,241910.28,26725,3145,0.141216,0.681349048,0.53,0,-1,2018
Eastern Obolo,90429.557,1859,607,0.391824,0.281859788,0.53,0,-1,2018
Ebonyi,176670.21,31684,2202,0.0833988,0.483512158,0.53,0,-1,2018
Edati,239462.15,4326,2302,0.6385572,0.473631021,0.53,0,-1,2018
Ede North,122342.28,7925,1639,0.2481768,0.451417326,0.53,0,-1,2018
Ede South,110960.89,8673,1584,0.2191632,0.470033533,0.53,0,-1,2018
Edu,287246.62,5638,1686,0.3588504,0.409929917,0.53,0,-1,2018
Efon-Alayee,198994.66,1688,313,0.2225124,0.396790109,0.53,0,-1,2018
Egbado North,88452.564,17565,2533,0.1730484,0.386477465,0.53,0,-1,2018
Egbado South,374137.32,21469,1679,0.0938472,0.446407593,0.53,0,-1,2018
Egbeda,420569.21,28054,787,0.0336636,0.37639044,0.53,0,-1,2018
Egbedore,108625.94,6231,1071,0.2062596,0.487780896,0.53,0,-1,2018
Egor,467945.43,11431,1054,0.110646,0.477643111,0.53,0,-1,2018
Ehime-Mbano,191072.79,4145,663,0.1919424,0.507563152,0.53,0,-1,2018
Ejigbo,193568.26,8001,1810,0.2714664,0.48553143,0.53,0,-1,2018
Ekeremor,380856.57,7766,259,0.0400212,0.397208796,0.53,0,-1,2018
Eket,257738.35,17877,1132,0.0759864,0.328021397,0.53,0,-1,2018
Ekiti,78202.985,1084,255,0.282288,0.390814415,0.53,0,-1,2018
Ekiti East,238405.57,3296,642,0.2337384,0.412351259,0.53,0,-1,2018
Ekiti South West,259487.14,4353,687,0.1893864,0.487961894,0.53,0,-1,2018
Ekiti West,135423.98,3551,262,0.0885384,0.404541983,0.53,0,-1,2018
Ekwusigo,220398.66,5217,1066,0.2451984,0.341515837,0.53,0,-1,2018
Eleme,285112.33,9796,331,0.0405468,0.337309328,0.53,0,-1,2018
Emohua,301567.78,3568,588,0.1977576,0.334292623,0.53,0,-1,2018
Emure,213762.58,1964,546,0.3336048,0.436863758,0.53,0,-1,2018
Enugu East,397914.18,10468,908,0.1040892,0.453287726,0.53,0,-1,2018
Enugu North,349100.4,41977,1288,0.0368196,0.476529889,0.53,0,-1,2018
Enugu South,283331.48,13028,0,0,0.52292855,0.53,0,-1,2018
Epe,264737.34,19396,1149,0.0710868,0.461173792,0.53,0,-1,2018
Esan Central,164305.91,6230,1420,0.2735148,0.413280793,0.53,0,-1,2018
Esan North East,144982.28,7817,979,0.150288,0.409684078,0.53,0,-1,2018
Esan South East,230904.7,5968,912,0.183378,0.463795838,0.53,0,-1,2018
Esan West,173249.08,6926,372,0.0644532,0.432241487,0.53,0,-1,2018
Ese-Odo,220961.57,13914,2822,0.2433804,0.376721268,0.53,0,-1,2018
Esit Eket,95146.478,2514,683,0.3260148,0.346897657,0.53,0,-1,2018
Essien Udim,287776.98,1444,448,0.3722988,0.435041855,0.53,0,-1,2018
Etche,372594.93,4097,747,0.2187948,0.340210321,0.53,0,-1,2018
Ethiope East,293023.72,8895,935,0.126138,0.305480359,0.53,0,-1,2018
Ethiope West,297109.87,7272,1677,0.2767332,0.412296673,0.53,0,-1,2018
Etim Ekpo,157456.73,2055,1027,0.5997084,0.399175674,0.53,0,-1,2018
Etinan,252849.66,4917,775,0.1891392,0.35413511,0.53,0,-1,2018
Eti-Osa,419976.05,59084,1870,0.03798,0.515425093,0.53,0,-1,2018
Etsako Central,130203.2,4213,1042,0.296796,0.377689484,0.53,0,-1,2018
Etsako East,200995.48,6198,986,0.1909008,0.389711717,0.53,0,-1,2018
Etsako West,272052.08,7284,707,0.1164744,0.36946828,0.53,0,-1,2018
Etung,113015.29,6112,2967,0.5825256,0.515572062,0.53,0,-1,2018
Ewekoro,268447.8,13519,2378,0.2110812,0.528528126,0.53,0,-1,2018
Ezeagu,241977.29,48,0,0,0.472696867,0.53,0,-1,2018
Ezinihitte,241656.42,4096,388,0.1136724,0.505227255,0.53,0,-1,2018
Ezza North,202831.51,7273,1808,0.2983092,0.469710667,0.53,0,-1,2018
Ezza South,185540.15,10134,2068,0.2448792,0.451434864,0.53,0,-1,2018
Fagge,293549.54,83103,8367,0.1208184,0.586251328,0.53,0,-1,2018
Fakai,217838.97,11957,3159,0.3170364,0.601533253,0.53,0,-1,2018
Faskari,279499.04,32541,1611,0.0594084,0.672768838,0.53,0,-1,2018
Fika,206857.74,28988,2931,0.1213332,0.692121556,0.53,0,-1,2018
Fufore,292116.82,51833,6242,0.14451,0.629966874,0.53,0,-1,2018
Funakaye,344531.11,41276,5476,0.1592016,0.627807972,0.53,0,-1,2018
Fune,454469.01,41099,5665,0.1654056,0.692809524,0.53,0,-1,2018
Funtua,321610.31,59608,10426,0.2098908,0.538540771,0.53,0,-1,2018
Gabasawa,311601.47,30956,7279,0.282168,0.689822821,0.53,0,-1,2018
Gada,353969.38,9362,435,0.0557568,0.676355095,0.53,0,-1,2018
Gagarawa,113294.32,22787,4627,0.2436648,0.673924789,0.53,0,-1,2018
Gamawa,427761.09,32018,1853,0.0694488,0.698966685,0.53,0,-1,2018
Ganaye,231237.72,58546,6638,0.1360572,0.481907173,0.53,0,-1,2018
Ganjuwa,418918.73,29617,2618,0.106074,0.636975276,0.53,0,-1,2018
Garki,214532.6,36019,7623,0.2539656,0.685656303,0.53,0,-1,2018
Garko,239914.9,33592,3999,0.1428552,0.698176678,0.53,0,-1,2018
Garum Mallam,171991.67,26430,4218,0.1915092,0.733346686,0.53,0,-1,2018
Gashaka,123704.36,7788,1762,0.2714952,0.461519779,0.53,0,-1,2018
Gassol,373094.48,32557,3049,0.1123812,0.439278935,0.53,0,-1,2018
Gawabawa,329861.19,26584,843,0.0380532,0.714253917,0.53,0,-1,2018
