LGA,MapA_mix,llin_type,smc_LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Misau,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Misau,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Misau,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Misau,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Ningi,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,250,2020,1,-1,0.8,0.2,5
Ningi,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,280,2020,2,-1,0.8,0.2,5
Ningi,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,310,2020,3,-1,0.8,0.2,5
Ningi,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,340,2020,4,-1,0.8,0.2,5
Shira,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,250,2020,1,-1,0.8,0.2,5
Shira,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,280,2020,2,-1,0.8,0.2,5
Shira,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,310,2020,3,-1,0.8,0.2,5
Shira,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,340,2020,4,-1,0.8,0.2,5
Tafawa-Balewa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Tafawa-Balewa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Tafawa-Balewa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Tafawa-Balewa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Toro,CM+IPTp+IRS+SMC,itn_pbo,smc,Giwa,august,223,2020,1,-1,0.8,0.2,5
Toro,CM+IPTp+IRS+SMC,itn_pbo,smc,Giwa,august,253,2020,2,-1,0.8,0.2,5
Toro,CM+IPTp+IRS+SMC,itn_pbo,smc,Giwa,august,283,2020,3,-1,0.8,0.2,5
Toro,CM+IPTp+IRS+SMC,itn_pbo,smc,Giwa,august,313,2020,4,-1,0.8,0.2,5
Warji,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,250,2020,1,-1,0.8,0.2,5
Warji,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,280,2020,2,-1,0.8,0.2,5
Warji,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,310,2020,3,-1,0.8,0.2,5
Warji,CM+IPTp+IRS+SMC,itn_pbo,smc,Takali,september,340,2020,4,-1,0.8,0.2,5
Zaki,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,186,2020,1,-1,0.8,0.2,5
Zaki,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,216,2020,2,-1,0.8,0.2,5
Zaki,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,246,2020,3,-1,0.8,0.2,5
Zaki,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,276,2020,4,-1,0.8,0.2,5
Ado,CM+IPTp+LLINs+SMC,itn,smc,Akinyele,may,131,2020,1,-1,0.8,0.2,5
Ado,CM+IPTp+LLINs+SMC,itn,smc,Akinyele,may,161,2020,2,-1,0.8,0.2,5
Ado,CM+IPTp+LLINs+SMC,itn,smc,Akinyele,may,191,2020,3,-1,0.8,0.2,5
Ado,CM+IPTp+LLINs+SMC,itn,smc,Akinyele,may,221,2020,4,-1,0.8,0.2,5
Agatu,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Agatu,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Agatu,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Agatu,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Apa,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Apa,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Apa,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Apa,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Buruku,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Buruku,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Buruku,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Buruku,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Gboko,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Gboko,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Gboko,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Gboko,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Guma,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Guma,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Guma,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Guma,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Gwer East,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,186,2020,1,-1,0.8,0.2,5
Gwer East,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,216,2020,2,-1,0.8,0.2,5
Gwer East,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,246,2020,3,-1,0.8,0.2,5
Gwer East,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,276,2020,4,-1,0.8,0.2,5
Gwer West,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Gwer West,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Gwer West,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Gwer West,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Katsina-Ala,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Katsina-Ala,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Katsina-Ala,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Katsina-Ala,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Konshisha,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,186,2020,1,-1,0.8,0.2,5
Konshisha,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,216,2020,2,-1,0.8,0.2,5
Konshisha,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,246,2020,3,-1,0.8,0.2,5
Konshisha,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,276,2020,4,-1,0.8,0.2,5
Kwande,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,186,2020,1,-1,0.8,0.2,5
Kwande,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,216,2020,2,-1,0.8,0.2,5
Kwande,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,246,2020,3,-1,0.8,0.2,5
Kwande,CM+IPTp+LLINs+SMC,itn,smc,Oke-Ero,july,276,2020,4,-1,0.8,0.2,5
Logo,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Logo,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Logo,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Logo,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Makurdi,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Makurdi,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Makurdi,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Makurdi,CM+IPTp+LLINs+SMC,itn,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Obi1,CM+IPTp+IRS+SMC,itn_pbo,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Obi1,CM+IPTp+IRS+SMC,itn_pbo,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Obi1,CM+IPTp+IRS+SMC,itn_pbo,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
