,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
107,Ukanafun,Nsit Ubium,2021,Ukanafun,0.8,0.8,0.8,0.8,0.7188,0.863,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
108,Ukanafun,Nsit Ubium,2024,Ukanafun,0.8,0.8,0.8,0.8,0.7188,0.863,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
109,Uruan,Nsit Ubium,2021,Uruan,0.8,0.8,0.8,0.8,0.460591042,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
110,Uruan,Nsit Ubium,2024,Uruan,0.8,0.8,0.8,0.8,0.460591042,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
111,Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.8,0.8,0.8,0.8,0.30126919,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
112,Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.8,0.8,0.8,0.8,0.30126919,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
113,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.8,0.8,0.8,0.8,0.489171465,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
114,Ayamelum,Uzo-Uwani,2023,Ayamelum,0.8,0.8,0.8,0.8,0.489171465,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
115,Uyo,Nsit Ubium,2021,Uyo,0.8,0.8,0.8,0.8,0.459725229,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
116,Uyo,Nsit Ubium,2024,Uyo,0.8,0.8,0.8,0.8,0.459725229,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
