,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
99,Obot Akara,Ngor-Okpala,2021,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,0.440171735,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
100,Obot Akara,Ngor-Okpala,2024,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,0.440171735,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
101,Okobo,Nsit Ubium,2021,Okobo,0.36,0.266666666,0.545454546,0.349090909,0.352520839,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
102,Okobo,Nsit Ubium,2024,Okobo,0.36,0.266666666,0.545454546,0.349090909,0.352520839,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
103,Onna,Nsit Ubium,2021,Onna,0.498435284,0.494188372,0.263743315,0.492723245,0.7188,0.863,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
104,Onna,Nsit Ubium,2024,Onna,0.498435284,0.494188372,0.263743315,0.492723245,0.7188,0.863,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
105,Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,0.387796568,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
106,Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,0.387796568,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
107,Ukanafun,Nsit Ubium,2021,Ukanafun,0.318543152,0.342115739,0.123103775,0.167608732,0.7188,0.863,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
108,Ukanafun,Nsit Ubium,2024,Ukanafun,0.318543152,0.342115739,0.123103775,0.167608732,0.7188,0.863,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
109,Uruan,Nsit Ubium,2021,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,0.460591042,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
110,Uruan,Nsit Ubium,2024,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,0.460591042,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
111,Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.505263158,0.36923077,0.25,0.385714285,0.30126919,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
112,Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.505263158,0.36923077,0.25,0.385714285,0.30126919,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
113,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,0.489171465,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
