adm1,LGA,smc_map_B,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Bauchi,Ningi,SMC,Takali,september,310,2020,3,-1,0.96,0.24,5
Bauchi,Ningi,SMC,Takali,september,340,2020,4,-1,0.96,0.24,5
Bauchi,Shira,SMC,Takali,september,250,2020,1,-1,0.96,0.24,5
Bauchi,Shira,SMC,Takali,september,280,2020,2,-1,0.96,0.24,5
Bauchi,Shira,SMC,Takali,september,310,2020,3,-1,0.96,0.24,5
Bauchi,Shira,SMC,Takali,september,340,2020,4,-1,0.96,0.24,5
Bauchi,Tafawa-Balewa,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Tafawa-Balewa,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Tafawa-Balewa,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Tafawa-Balewa,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Toro,SMC,Giwa,august,223,2020,1,-1,0.96,0.24,5
Bauchi,Toro,SMC,Giwa,august,253,2020,2,-1,0.96,0.24,5
Bauchi,Toro,SMC,Giwa,august,283,2020,3,-1,0.96,0.24,5
Bauchi,Toro,SMC,Giwa,august,313,2020,4,-1,0.96,0.24,5
Bauchi,Warji,SMC,Takali,september,250,2020,1,-1,0.96,0.24,5
Bauchi,Warji,SMC,Takali,september,280,2020,2,-1,0.96,0.24,5
Bauchi,Warji,SMC,Takali,september,310,2020,3,-1,0.96,0.24,5
Bauchi,Warji,SMC,Takali,september,340,2020,4,-1,0.96,0.24,5
Bauchi,Zaki,SMC,Taura,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Zaki,SMC,Taura,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Zaki,SMC,Taura,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Zaki,SMC,Taura,july,276,2020,4,-1,0.96,0.24,5
Benue,Agatu,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Agatu,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Agatu,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Agatu,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Apa,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Apa,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Apa,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Apa,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Buruku,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Benue,Buruku,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Benue,Buruku,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Benue,Buruku,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Benue,Gboko,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
