,adm1,LGA,MapB_mix,llin,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,round,peak,simday
55,Adamawa,Numan,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,1,july,186
56,Adamawa,Numan,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,2,july,1281
57,Adamawa,Shelleng,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2020,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,1,july,186
58,Adamawa,Shelleng,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2023,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,2,july,1281
59,Adamawa,Song,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2020,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,1,july,186
60,Adamawa,Song,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2023,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,2,july,1281
61,Adamawa,Toungo,CM+IPTp+IRS+SMC,itn_pbo,Keana,2020,Toungo,0.433333333,0.357142857,0.454545455,0.295081967,0.383744468,0.446472042,1,august,223
62,Adamawa,Toungo,CM+IPTp+IRS+SMC,itn_pbo,Keana,2023,Toungo,0.433333333,0.357142857,0.454545455,0.295081967,0.383744468,0.446472042,2,august,1318
63,Adamawa,Yola North,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,1,july,186
64,Adamawa,Yola North,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,2,july,1281
65,Adamawa,Yola South,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,1,july,186
66,Adamawa,Yola South,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,2,july,1281
67,Akwa Ibom,Abak,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,1,june,527
68,Akwa Ibom,Abak,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,2,june,1622
69,Akwa Ibom,Eastern Obolo,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2021,Eastern Obolo,0.611111111,0.388888889,0.323529412,0.360655738,0.178491572,0.281859788,1,june,527
70,Akwa Ibom,Eastern Obolo,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2024,Eastern Obolo,0.611111111,0.388888889,0.323529412,0.360655738,0.178491572,0.281859788,2,june,1622
71,Akwa Ibom,Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,1,june,527
72,Akwa Ibom,Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,2,june,1622
73,Akwa Ibom,Esit Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,1,june,527
74,Akwa Ibom,Esit Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,2,june,1622
75,Akwa Ibom,Essien Udim,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,1,june,527
76,Akwa Ibom,Essien Udim,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,2,june,1622
77,Akwa Ibom,Etim Ekpo,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,1,june,527
78,Akwa Ibom,Etim Ekpo,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,2,june,1622
79,Akwa Ibom,Etinan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,1,june,527
80,Akwa Ibom,Etinan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,2,june,1622
81,Akwa Ibom,Ibeno,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Ibeno,0.33446468,0.294193051,0.202569073,0.227821791,0.270147342,0.353239894,1,june,527
82,Akwa Ibom,Ibeno,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Ibeno,0.33446468,0.294193051,0.202569073,0.227821791,0.270147342,0.353239894,2,june,1622
83,Akwa Ibom,Ibesikpo Asutan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,1,june,527
84,Akwa Ibom,Ibesikpo Asutan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,2,june,1622
85,Akwa Ibom,Ibiono Ibom,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,1,june,527
86,Akwa Ibom,Ibiono Ibom,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,2,june,1622
87,Akwa Ibom,Ika,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,1,june,527
88,Akwa Ibom,Ika,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,2,june,1622
89,Akwa Ibom,Ikono,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,1,june,527
90,Akwa Ibom,Ikono,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,2,june,1622
91,Akwa Ibom,Ikot Abasi,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,1,june,527
92,Akwa Ibom,Ikot Abasi,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,2,june,1622
93,Akwa Ibom,Ikot Ekpene,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,1,june,527
94,Akwa Ibom,Ikot Ekpene,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,2,june,1622
95,Akwa Ibom,Ini,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,1,june,527
96,Akwa Ibom,Ini,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,2,june,1622
97,Akwa Ibom,Itu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,1,june,527
98,Akwa Ibom,Itu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,2,june,1622
99,Akwa Ibom,Mbo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Mbo,0.352941176,0.666666667,0.321428571,0.3,0.299002486,0.376723643,1,june,527
100,Akwa Ibom,Mbo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Mbo,0.352941176,0.666666667,0.321428571,0.3,0.299002486,0.376723643,2,june,1622
101,Akwa Ibom,Mkpat Enin,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2021,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.225930858,0.318051677,1,june,527
102,Akwa Ibom,Mkpat Enin,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2024,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.225930858,0.318051677,2,june,1622
103,Akwa Ibom,Nsit Atai,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,1,june,527
104,Akwa Ibom,Nsit Atai,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,2,june,1622
105,Akwa Ibom,Nsit Ibom,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,1,june,527
106,Akwa Ibom,Nsit Ibom,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,2,june,1622
107,Akwa Ibom,Nsit Ubium,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,1,june,527
108,Akwa Ibom,Nsit Ubium,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,2,june,1622
