LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Ekiti South West,Oke-Ero,,0.8,0.8,0,-1,2018
Ekiti West,Oke-Ero,,0.8,0.8,0,-1,2018
Ekwusigo,Oru West,,0.8,0.8,0,-1,2018
Eleme,Ahoada West,,0.8,0.8,0,-1,2018
Emohua,Ahoada West,,0.8,0.8,0,-1,2018
Emure,Oke-Ero,,0.8,0.8,0,-1,2018
Enugu East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Enugu North,Uzo-Uwani,,0.8,0.8,0,-1,2018
Enugu South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Epe,Uzo-Uwani,,0.8,0.8,0,-1,2018
Esan Central,Owan East,,0.8,0.8,0,-1,2018
Esan North East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Esan South East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Esan West,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ese-Odo,Owan East,,0.8,0.8,0,-1,2018
Esit Eket,Nsit Ubium,,0.8,0.8,0,-1,2018
Essien Udim,Ngor-Okpala,,0.8,0.8,0,-1,2018
Etche,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ethiope East,Isoko South,,0.8,0.8,0,-1,2018
Ethiope West,Isoko South,,0.8,0.8,0,-1,2018
Etim Ekpo,Isoko South,,0.8,0.8,0,-1,2018
Etinan,Ngor-Okpala,,0.8,0.8,0,-1,2018
Eti-Osa,Nsit Ubium,,0.8,0.8,0,-1,2018
Etsako Central,Owan East,,0.8,0.8,0,-1,2018
Etsako East,Owan East,,0.8,0.8,0,-1,2018
Etsako West,Owan East,,0.8,0.8,0,-1,2018
Etung,Obubra,,0.8,0.8,0,-1,2018
Ewekoro,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ezeagu,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ezinihitte,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ezza North,Owan East,,0.8,0.8,0,-1,2018
Ezza South,Obubra,,0.8,0.8,0,-1,2018
Fagge,Alkaleri,,0.8,0.8,0,-1,2018
Fakai,Birnin Kebbi,,0.8,0.8,0,-1,2018
Faskari,Giwa,,0.8,0.8,0,-1,2018
Fika,Darazo,,0.8,0.8,0,-1,2018
Fufore,Alkaleri,,0.8,0.8,0,-1,2018
Funakaye,Alkaleri,,0.8,0.8,0,-1,2018
Fune,Darazo,,0.8,0.8,0,-1,2018
Funtua,Gwarzo,,0.8,0.8,0,-1,2018
Gabasawa,Taura,,0.8,0.8,0,-1,2018
Gada,Gawabawa,,0.8,0.8,0,-1,2018
Gagarawa,Taura,,0.8,0.8,0,-1,2018
Gamawa,Gwarzo,,0.8,0.8,0,-1,2018
Ganaye,Alkaleri,,0.8,0.8,0,-1,2018
Ganjuwa,Darazo,,0.8,0.8,0,-1,2018
Garki,Babura,,0.8,0.8,0,-1,2018
Garko,Gwarzo,,0.8,0.8,0,-1,2018
Garum Mallam,Gwarzo,,0.8,0.8,0,-1,2018
Gashaka,Oru West,,0.8,0.8,0,-1,2018
Gassol,Keana,,0.8,0.8,0,-1,2018
Gawabawa,Gawabawa,,0.8,0.8,0,-1,2018
Gaya,Gwarzo,,0.8,0.8,0,-1,2018
Gbako,Oke-Ero,,0.8,0.8,0,-1,2018
Gboko,Keana,,0.8,0.8,0,-1,2018
Gboyin,Obubra,,0.8,0.8,0,-1,2018
Geidam,Babura,,0.8,0.8,0,-1,2018
Gezawa,Gwarzo,,0.8,0.8,0,-1,2018
Giade,Darazo,,0.8,0.8,0,-1,2018
Gireri,Darazo,,0.8,0.8,0,-1,2018
Giwa,Giwa,,0.8,0.8,0,-1,2018
Gokana,Nsit Ubium,,0.8,0.8,0,-1,2018
Gombe,Alkaleri,,0.8,0.8,0,-1,2018
Gombi,Alkaleri,,0.8,0.8,0,-1,2018
Goronyo,Gawabawa,,0.8,0.8,0,-1,2018
Gubio,Gawabawa,,0.8,0.8,0,-1,2018
Gudu,Gawabawa,,0.8,0.8,0,-1,2018
Gujba,Darazo,,0.8,0.8,0,-1,2018
Gulani,Alkaleri,,0.8,0.8,0,-1,2018
Guma,Keana,,0.8,0.8,0,-1,2018
Gumel,Babura,,0.8,0.8,0,-1,2018
Gummi,Birnin Kebbi,,0.8,0.8,0,-1,2018
Gurara,Oke-Ero,,0.8,0.8,0,-1,2018
Guri,Taura,,0.8,0.8,0,-1,2018
Gusau,Darazo,,0.8,0.8,0,-1,2018
Guyuk,Alkaleri,,0.8,0.8,0,-1,2018
Guzamala,Babura,,0.8,0.8,0,-1,2018
Gwagwalada,Keana,,0.8,0.8,0,-1,2018
Gwale,Alkaleri,,0.8,0.8,0,-1,2018
Gwandu,Birnin Kebbi,,0.8,0.8,0,-1,2018
Gwaram,Takali,,0.8,0.8,0,-1,2018
Gwarzo,Gwarzo,,0.8,0.8,0,-1,2018
Gwer East,Oke-Ero,,0.8,0.8,0,-1,2018
Gwer West,Keana,,0.8,0.8,0,-1,2018
Gwiwa,Babura,,0.8,0.8,0,-1,2018
Gwoza,Darazo,,0.8,0.8,0,-1,2018
Hadejia,Taura,,0.8,0.8,0,-1,2018
Hawul,Darazo,,0.8,0.8,0,-1,2018
Hong,Darazo,,0.8,0.8,0,-1,2018
Ibadan North,Owan East,,0.8,0.8,0,-1,2018
Ibadan North East,Owan East,,0.8,0.8,0,-1,2018
Ibadan North West,Owan East,,0.8,0.8,0,-1,2018
Ibadan South East,Akinyele,,0.8,0.8,0,-1,2018
Ibadan South West,Owan East,,0.8,0.8,0,-1,2018
Ibaji,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ibarapa Central,Akinyele,,0.8,0.8,0,-1,2018
Ibarapa East,Oke-Ero,,0.8,0.8,0,-1,2018
Ibarapa North,Oke-Ero,,0.8,0.8,0,-1,2018
Ibeju-Lekki,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ibeno,Nsit Ubium,,0.8,0.8,0,-1,2018
Ibesikpo Asutan,Nsit Ubium,,0.8,0.8,0,-1,2018
Ibi,Keana,,0.8,0.8,0,-1,2018
Ibiono Ibom,Ngor-Okpala,,0.8,0.8,0,-1,2018
Idah,Uzo-Uwani,,0.8,0.8,0,-1,2018
Idanre,Akinyele,,0.8,0.8,0,-1,2018
Ideato North,Oru West,,0.8,0.8,0,-1,2018
Ideato South,Ngor-Okpala,,0.8,0.8,0,-1,2018
Idemili North,Uzo-Uwani,,0.8,0.8,0,-1,2018
Idemili South,Oru West,,0.8,0.8,0,-1,2018
Ido,Akinyele,,0.8,0.8,0,-1,2018
Idosi-Osi,Oke-Ero,,0.8,0.8,0,-1,2018
Ifako-Ijaye,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ife Central,Akinyele,,0.8,0.8,0,-1,2018
Ife East,Akinyele,,0.8,0.8,0,-1,2018
Ife North,Akinyele,,0.8,0.8,0,-1,2018
Ife South,Akinyele,,0.8,0.8,0,-1,2018
Ifedayo,Oke-Ero,,0.8,0.8,0,-1,2018
Ifedore,Oke-Ero,,0.8,0.8,0,-1,2018
Ifelodun1,Oke-Ero,,0.8,0.8,0,-1,2018
Ifelodun2,Akinyele,,0.8,0.8,0,-1,2018
Ifo,Uzo-Uwani,,0.8,0.8,0,-1,2018
Igabi,Soba,,0.8,0.8,0,-1,2018
Igalamela-Odolu,Uzo-Uwani,,0.8,0.8,0,-1,2018
Igbo-Etiti,Uzo-Uwani,,0.8,0.8,0,-1,2018
Igbo-Eze North,Uzo-Uwani,,0.8,0.8,0,-1,2018
Igbo-Eze South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Igueben,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ihiala,Oru West,,0.8,0.8,0,-1,2018
Ihitte-Uboma,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ijebu East,Oke-Ero,,0.8,0.8,0,-1,2018
Ijebu North,Owan East,,0.8,0.8,0,-1,2018
Ijebu North East,Oke-Ero,,0.8,0.8,0,-1,2018
